size temperature mag energy mag_sus sp_heat
10 1.96 0.923302 -177.299 0.279021 0.655398 
10 1.96 0.92225 -177.284 0.312009 0.655667 
10 1.96 0.924012 -177.434 0.275358 0.640814 
10 1.96 0.923394 -177.468 0.298525 0.657814 
10 1.96 0.923412 -177.431 0.297153 0.66019 
10 1.98 0.916608 -176.024 0.368861 0.702241 
10 1.98 0.919344 -176.346 0.29658 0.653376 
10 1.98 0.916832 -175.93 0.327917 0.683734 
10 1.98 0.918722 -176.256 0.328905 0.675997 
10 1.98 0.916376 -175.784 0.35282 0.692451 
10 2 0.911066 -174.64 0.401787 0.738481 
10 2 0.911102 -174.415 0.376639 0.726746 
10 2 0.91261 -174.805 0.371867 0.703531 
10 2 0.91274 -174.782 0.361257 0.711833 
10 2 0.910674 -174.556 0.397733 0.71693 
10 2.02 0.904294 -173.078 0.436725 0.774885 
10 2.02 0.905136 -173.247 0.42734 0.753259 
10 2.02 0.905056 -173.195 0.419055 0.739585 
10 2.02 0.906088 -173.395 0.417765 0.747939 
10 2.02 0.90449 -173.078 0.42605 0.74503 
10 2.04 0.89709 -171.47 0.483642 0.777045 
10 2.04 0.896434 -171.413 0.4993 0.79627 
10 2.04 0.895646 -171.347 0.528649 0.817348 
10 2.04 0.896946 -171.507 0.485549 0.800801 
10 2.04 0.899 -171.83 0.444512 0.766413 
10 2.06 0.888664 -169.894 0.571999 0.853453 
10 2.06 0.888544 -169.681 0.53526 0.847237 
10 2.06 0.889548 -170.062 0.557536 0.851442 
10 2.06 0.889588 -169.978 0.551728 0.834339 
10 2.06 0.888498 -169.95 0.585786 0.847418 
10 2.08 0.879104 -167.91 0.636369 0.88068 
10 2.08 0.879584 -168.093 0.647796 0.902661 
10 2.08 0.880986 -168.295 0.633024 0.871507 
10 2.08 0.883498 -168.656 0.572025 0.850144 
10 2.08 0.87978 -168.045 0.627567 0.871434 
10 2.1 0.870434 -166.397 0.74081 0.945363 
10 2.1 0.873412 -166.679 0.700558 0.897059 
10 2.1 0.872728 -166.605 0.692347 0.894603 
10 2.1 0.870992 -166.367 0.718536 0.921309 
10 2.1 0.87086 -166.468 0.74249 0.927722 
10 2.12 0.861504 -164.484 0.805542 0.969948 
10 2.12 0.85879 -164.398 0.874133 0.993218 
10 2.12 0.857106 -163.844 0.841954 0.986895 
10 2.12 0.861008 -164.512 0.82285 0.979234 
10 2.12 0.861046 -164.481 0.807599 0.983995 
10 2.14 0.846782 -162.017 0.971546 1.04371 
10 2.14 0.849002 -162.589 0.971299 1.04664 
10 2.14 0.849166 -162.488 0.951396 1.02196 
10 2.14 0.850894 -162.604 0.900897 0.993255 
10 2.14 0.850324 -162.534 0.911939 1.02489 
10 2.16 0.835856 -160.025 1.03141 1.04756 
