size temperature m m^2 m^4 mag_sus
64 2.023 0.90344 0.816433 0.667299 0.462521 
64 2.023 0.903501 0.81654 0.667469 0.459009 
64 2.024 0.902768 0.815227 0.66536 0.480487 
64 2.024 0.90277 0.815223 0.665327 0.463217 
64 2.024 0.903113 0.815842 0.66634 0.464831 
64 2.024 0.902761 0.815207 0.665304 0.465111 
64 2.024 0.903066 0.815758 0.666207 0.467223 
64 2.025 0.902957 0.815557 0.665858 0.454871 
64 2.025 0.902486 0.81471 0.664492 0.46373 
64 2.025 0.902641 0.814989 0.664941 0.460212 
64 2.025 0.902641 0.814989 0.664944 0.462164 
64 2.025 0.902666 0.81504 0.665045 0.474262 
64 2.026 0.902292 0.814363 0.663935 0.46922 
64 2.026 0.902163 0.814136 0.66358 0.479351 
64 2.026 0.902158 0.814126 0.663563 0.478731 
64 2.026 0.90229 0.814364 0.663951 0.479622 
64 2.026 0.902168 0.814139 0.663572 0.470264 
64 2.027 0.901927 0.8137 0.662844 0.461369 
64 2.027 0.901527 0.81299 0.661722 0.483615 
64 2.027 0.901813 0.8135 0.662533 0.471218 
64 2.027 0.901904 0.813661 0.662787 0.465875 
64 2.027 0.901931 0.81371 0.662867 0.466532 
64 2.028 0.901392 0.812748 0.661328 0.484083 
64 2.028 0.901642 0.813193 0.662041 0.475863 
64 2.028 0.901473 0.812892 0.66156 0.482412 
64 2.028 0.901315 0.81261 0.661108 0.486808 
64 2.028 0.901135 0.812288 0.660593 0.490965 
64 2.029 0.901043 0.812116 0.6603 0.481815 
64 2.029 0.900899 0.811858 0.659882 0.482836 
64 2.029 0.900873 0.811812 0.659806 0.482806 
64 2.029 0.90113 0.812274 0.660558 0.482268 
64 2.029 0.90118 0.81236 0.660684 0.474913 
64 2.03 0.900848 0.811763 0.659716 0.475343 
64 2.03 0.900594 0.811309 0.658994 0.484532 
64 2.03 0.900741 0.811581 0.65945 0.495813 
64 2.03 0.900576 0.81128 0.658951 0.487963 
64 2.03 0.900822 0.811727 0.659693 0.49866 
64 2.031 0.900458 0.811063 0.658585 0.479129 
64 2.031 0.900128 0.810469 0.657625 0.480393 
64 2.031 0.900335 0.810857 0.6583 0.511635 
64 2.031 0.900283 0.810754 0.658104 0.491905 
64 2.031 0.900304 0.810792 0.658169 0.494547 
64 2.032 0.899872 0.810013 0.656899 0.4893 
64 2.032 0.899965 0.81018 0.657173 0.491295 
64 2.032 0.899783 0.809854 0.656649 0.493649 
64 2.032 0.900012 0.810269 0.657332 0.500552 
64 2.032 0.899705 0.809726 0.656476 0.51689 
64 2.033 0.899685 0.809679 0.656367 0.495174 
64 2.033 0.89953 0.809399 0.655913 0.49437 
64 2.033 0.899605 0.809536 0.656137 0.49648 
64 2.033 0.899629 0.809581 0.656217 0.500774 
64 2.033 0.899504 0.809357 0.655855 0.501473 
64 2.034 0.899171 0.808758 0.654885 0.501824 
64 2.034 0.899228 0.808858 0.655041 0.497625 
64 2.034 0.899398 0.809164 0.655538 0.497853 
64 2.034 0.89921 0.808822 0.654975 0.492222 
