size temperature m m2 m4 ms e sp_h 
10 1.635 0.991518 0.983384 0.968073 0.0169111 -216.429 0.146579 
10 1.64 0.991162 0.982687 0.966739 0.0173664 -216.293 0.153411 
10 1.64 0.991116 0.982597 0.966566 0.0174167 -216.278 0.153252 
10 1.64 0.991164 0.982686 0.966722 0.017054 -216.286 0.151287 
10 1.645 0.990594 0.981595 0.964708 0.0193488 -216.094 0.159687 
10 1.645 0.990784 0.981939 0.96528 0.0173876 -216.117 0.157678 
10 1.645 0.99125 0.982857 0.96706 0.0170673 -216.307 0.151855 
10 1.65 0.990406 0.981219 0.963968 0.0190785 -216.024 0.16226 
10 1.65 0.990584 0.981556 0.964573 0.0181224 -216.052 0.159677 
10 1.65 0.990754 0.981902 0.965281 0.0186855 -216.158 0.156086 
10 1.655 0.990704 0.981798 0.965063 0.0183676 -216.104 0.158536 
10 1.655 0.990402 0.981215 0.963967 0.0192386 -216.01 0.158946 
10 1.655 0.990806 0.982004 0.965478 0.0185952 -216.184 0.154724 
10 1.66 0.990364 0.981137 0.96381 0.0190474 -215.992 0.160241 
10 1.66 0.990628 0.98165 0.964778 0.0184293 -216.072 0.158481 
10 1.66 0.99039 0.981188 0.963907 0.0190414 -215.99 0.160229 
10 1.665 0.990492 0.98138 0.964252 0.0183542 -216.034 0.157888 
10 1.665 0.989974 0.980402 0.962491 0.0212468 -215.867 0.167894 
10 1.665 0.989996 0.980425 0.962474 0.0199928 -215.829 0.170539 
10 1.67 0.990154 0.980715 0.962965 0.0185519 -215.879 0.161847 
10 1.67 0.98989 0.980235 0.962162 0.0211011 -215.842 0.167944 
10 1.67 0.98982 0.980088 0.961849 0.0206017 -215.777 0.16864 
10 1.675 0.98976 0.979967 0.961611 0.020424 -215.753 0.170052 
10 1.675 0.98943 0.979337 0.960449 0.0217836 -215.653 0.169503 
10 1.675 0.989384 0.979232 0.960202 0.0209684 -215.619 0.170834 
10 1.68 0.989412 0.979299 0.960359 0.0215842 -215.603 0.173462 
10 1.68 0.989388 0.97925 0.960274 0.0215253 -215.607 0.175276 
10 1.68 0.989722 0.979901 0.961508 0.0209049 -215.734 0.16999 
10 1.685 0.989436 0.979332 0.960391 0.0206719 -215.63 0.169677 
10 1.685 0.98916 0.978826 0.959536 0.023075 -215.566 0.178544 
