J: 10.0714 1.25154 -0.104843 0 
nth temperature m m2 m4 ms e sp_h 
2 1.205 0.99922 0.998459 0.996994 0.00155615 -219.643 0.0250077 
2 1.21 0.98537 0.981148 0.978559 0.84246 -218.6 0.406601 
2 1.21 0.999162 0.998347 0.99678 0.00180312 -219.628 0.0264193 
2 1.215 0.999054 0.998132 0.996357 0.00189836 -219.568 0.0301481 
2 1.215 0.999082 0.998185 0.996453 0.0016722 -219.572 0.0289854 
2 1.22 0.999064 0.998151 0.996392 0.00182983 -219.57 0.0296111 
2 1.22 0.999074 0.998171 0.996434 0.00184775 -219.582 0.0288485 
2 1.225 0.999154 0.998328 0.996736 0.00161015 -219.612 0.0260378 
2 1.225 0.952642 0.945168 0.942236 3.07276 -216.317 1.26496 
2 1.23 0.999026 0.998076 0.996243 0.00184482 -219.549 0.0307321 
2 1.23 0.99905 0.998123 0.996337 0.00181606 -219.566 0.0289672 
2 1.235 0.999016 0.998056 0.996204 0.00184549 -219.545 0.0307583 
2 1.235 0.999008 0.998039 0.996169 0.00179886 -219.541 0.0296495 
2 1.24 0.998924 0.997884 0.995907 0.00284857 -219.542 0.0326496 
2 1.24 0.992502 0.990968 0.988871 0.476411 -218.949 0.334693 
2 1.245 0.78667 0.756065 0.747481 11.0213 -203.067 5.40527 
2 1.245 0.998898 0.997823 0.99575 0.00205828 -219.498 0.0321077 
2 1.25 0.9952 0.992102 0.988333 0.134336 -219.061 0.182682 
2 1.25 0.921184 0.91763 0.915612 5.52401 -214.622 1.7942 
2 1.255 0.998824 0.99768 0.995483 0.0024396 -219.464 0.0349842 
2 1.255 0.998692 0.997427 0.995016 0.00327403 -219.425 0.0421979 
2 1.26 0.998728 0.997488 0.995098 0.00238587 -219.419 0.0373119 
2 1.26 0.998802 0.997639 0.995412 0.00265752 -219.472 0.0349011 
2 1.265 0.971458 0.963247 0.958567 1.54276 -216.499 1.4205 
2 1.265 0.99873 0.997496 0.995131 0.00272151 -219.435 0.0378373 
2 1.27 0.99879 0.997609 0.995329 0.00214298 -219.439 0.0345299 
2 1.27 0.998656 0.997347 0.994832 0.00264202 -219.391 0.0395814 
2 1.275 0.998644 0.997321 0.994771 0.00245971 -219.378 0.0384209 
2 1.275 0.998576 0.997208 0.994627 0.00425821 -219.404 0.0420632 
2 1.28 0.998734 0.997497 0.99511 0.00217791 -219.411 0.0345547 
2 1.28 0.998544 0.997129 0.994414 0.00300938 -219.347 0.043442 
2 1.285 0.998568 0.997172 0.994486 0.0026731 -219.351 0.039179 
2 1.285 0.998576 0.99719 0.994528 0.00280562 -219.367 0.0390799 
2 1.29 0.998476 0.996992 0.994137 0.00289592 -219.309 0.0429227 
2 1.29 0.99862 0.997275 0.994684 0.00254384 -219.369 0.0385576 
2 1.295 0.998536 0.997109 0.994363 0.00271326 -219.334 0.0396144 
2 1.295 0.998528 0.997094 0.994337 0.00278558 -219.341 0.040008 
2 1.3 0.998328 0.996701 0.993575 0.00323726 -219.248 0.0460873 
2 1.3 0.976468 0.967837 0.96183 1.10366 -217.137 0.852281 
2 1.305 0.998376 0.996796 0.993762 0.00316955 -219.272 0.0444855 
2 1.305 0.99844 0.996923 0.994014 0.00313612 -219.308 0.0426902 
2 1.31 0.998456 0.99695 0.99405 0.00274932 -219.294 0.0412591 
2 1.31 0.998236 0.996523 0.993241 0.00365254 -219.21 0.0484474 
2 1.315 0.99839 0.996819 0.99379 0.00277475 -219.261 0.0420197 
2 1.315 0.998364 0.996769 0.993697 0.00290521 -219.252 0.0431669 
2 1.32 0.998044 0.996154 0.992561 0.00474652 -219.175 0.0496454 
2 1.32 0.998198 0.996446 0.993087 0.00356915 -219.202 0.046941 
2 1.325 0.998286 0.996616 0.993403 0.00310809 -219.229 0.0432831 
2 1.325 0.998294 0.996631 0.99343 0.0030377 -219.229 0.0432468 
2 1.33 0.998136 0.996324 0.992849 0.00364853 -219.166 0.0503391 
2 1.33 0.998052 0.996156 0.992515 0.00365453 -219.121 0.0511045 
2 1.335 0.998258 0.996565 0.993315 0.00340715 -219.217 0.044922 
2 1.335 0.974906 0.9699 0.965089 1.45753 -217.026 0.93933 
2 1.34 0.998136 0.996327 0.992866 0.00386011 -219.168 0.0507665 
2 1.34 0.99805 0.996151 0.992502 0.00354608 -219.127 0.0492257 
2 1.345 0.998038 0.99613 0.992469 0.00373759 -219.119 0.0505669 
2 1.345 0.998032 0.996114 0.992422 0.00342951 -219.101 0.0495909 
2 1.35 0.997858 0.995775 0.991776 0.00400088 -219.046 0.053481 
2 1.35 0.99774 0.995539 0.991308 0.00401277 -218.986 0.055142 
2 1.355 0.997874 0.995813 0.991877 0.00448119 -219.075 0.0536099 
2 1.355 0.997942 0.99594 0.992099 0.00384684 -219.082 0.0517636 
2 1.36 0.997732 0.995527 0.991294 0.00422178 -218.984 0.0558563 
2 1.36 0.997924 0.995902 0.992013 0.00365369 -219.056 0.0509291 
2 1.365 0.997682 0.995427 0.991099 0.00423347 -218.963 0.0567323 
2 1.365 0.997582 0.995241 0.990775 0.00518925 -218.94 0.0648491 
2 1.37 0.997682 0.995427 0.991095 0.0041713 -218.967 0.0548835 
2 1.37 0.99772 0.995504 0.991258 0.00432712 -218.983 0.0569692 
2 1.375 0.997468 0.99501 0.990307 0.00494465 -218.882 0.0619362 
2 1.375 0.997606 0.995279 0.990818 0.00447336 -218.935 0.0585612 
2 1.38 0.997516 0.995101 0.990471 0.00458476 -218.889 0.0604736 
2 1.38 0.997512 0.995098 0.990479 0.00490216 -218.896 0.0616828 
2 1.385 0.99759 0.995246 0.990749 0.00437198 -218.928 0.0561042 
2 1.385 0.99754 0.995147 0.990555 0.0044266 -218.902 0.0578314 
2 1.39 0.997612 0.99529 0.990838 0.00437248 -218.935 0.0561648 
2 1.39 0.997402 0.994877 0.990038 0.00478924 -218.847 0.0602963 
2 1.395 0.99735 0.994778 0.989855 0.00507366 -218.816 0.0659613 
2 1.395 0.997152 0.994399 0.98916 0.00624293 -218.779 0.0664629 
2 1.4 0.997246 0.994569 0.989436 0.00496396 -218.767 0.0647011 
2 1.4 0.997346 0.994766 0.989815 0.00475116 -218.813 0.0620282 
2 1.405 0.997084 0.994251 0.98882 0.00527665 -218.702 0.0672245 
2 1.405 0.997174 0.994428 0.989165 0.00513407 -218.725 0.0678587 
2 1.41 0.997028 0.994151 0.988665 0.00611399 -218.694 0.0732377 
2 1.41 0.997076 0.994245 0.988843 0.00597519 -218.726 0.0661636 
2 1.415 0.997008 0.994101 0.988531 0.00538855 -218.666 0.0691149 
2 1.415 0.99701 0.99411 0.988566 0.00573144 -218.683 0.0689715 
2 1.42 0.997026 0.994143 0.988635 0.00577432 -218.702 0.0674337 
2 1.42 0.996866 0.993831 0.988043 0.00629141 -218.625 0.076049 
2 1.425 0.996962 0.99401 0.98835 0.00535653 -218.648 0.0675675 
2 1.425 0.99704 0.994159 0.988626 0.00494866 -218.669 0.0648874 
2 1.43 0.996888 0.99387 0.988103 0.00591297 -218.625 0.0728436 
2 1.43 0.996478 0.993084 0.986649 0.00805283 -218.494 0.0829581 
2 1.435 0.996792 0.993681 0.987733 0.00601733 -218.584 0.0726808 
2 1.435 0.996614 0.993335 0.987077 0.00662404 -218.522 0.0764803 
2 1.44 0.99665 0.993402 0.987198 0.00633455 -218.518 0.0754183 
2 1.44 0.996698 0.993504 0.98742 0.00676783 -218.575 0.0695633 
2 1.445 0.996532 0.993173 0.986759 0.00668048 -218.479 0.0760697 
2 1.445 0.996522 0.993154 0.986728 0.00675595 -218.477 0.0786772 
2 1.45 0.996424 0.992956 0.986328 0.00656636 -218.42 0.080236 
2 1.45 0.996258 0.99265 0.985808 0.008295 -218.422 0.0798798 
2 1.455 0.996418 0.992942 0.98629 0.00638414 -218.399 0.0787732 
2 1.455 0.99622 0.992557 0.985562 0.00704547 -218.343 0.0814735 
2 1.46 0.996148 0.992416 0.985291 0.00718644 -218.309 0.0836231 
2 1.46 0.99619 0.992509 0.985512 0.00787424 -218.368 0.0819655 
2 1.465 0.996134 0.992381 0.985197 0.00668219 -218.281 0.0821978 
2 1.465 0.996288 0.992688 0.985804 0.00667174 -218.369 0.0765358 
2 1.47 0.996086 0.992287 0.985017 0.00677555 -218.267 0.0826853 
2 1.47 0.99606 0.992244 0.984963 0.0073739 -218.278 0.0844987 
2 1.475 0.995858 0.991856 0.984247 0.00833653 -218.191 0.0939049 
2 1.475 0.99563 0.991418 0.983433 0.00941445 -218.135 0.0932301 
2 1.48 0.99588 0.991896 0.98431 0.00802605 -218.209 0.0883838 
2 1.48 0.995836 0.991804 0.984117 0.0077798 -218.178 0.0893314 
2 1.485 0.995738 0.991616 0.983768 0.00820171 -218.173 0.0869512 
2 1.485 0.995672 0.991479 0.983477 0.00782683 -218.12 0.0880515 
2 1.49 0.995998 0.992118 0.984705 0.00710497 -218.239 0.0833297 
2 1.49 0.99569 0.991512 0.983533 0.00762577 -218.104 0.088385 
2 1.495 0.99569 0.991513 0.983534 0.00762702 -218.106 0.087175 
2 1.495 0.995806 0.991736 0.983951 0.00713113 -218.137 0.0852624 
2 1.5 0.995302 0.990752 0.982075 0.00842459 -217.945 0.0958339 
2 1.5 0.9952 0.990569 0.981778 0.00970667 -217.965 0.0955906 
2 1.505 0.995228 0.990608 0.9818 0.00859189 -217.928 0.0943531 
2 1.505 0.995236 0.990625 0.981837 0.00868733 -217.933 0.0923754 
2 1.51 0.994934 0.990049 0.980786 0.0102871 -217.818 0.107206 
2 1.51 0.995214 0.990577 0.981729 0.0083824 -217.908 0.0932581 
2 1.515 0.995096 0.990351 0.981309 0.0088786 -217.857 0.0989648 
2 1.515 0.995154 0.990462 0.981517 0.00864398 -217.869 0.0985578 
2 1.52 0.994854 0.989897 0.980507 0.0107236 -217.8 0.101907 
2 1.52 0.995036 0.990231 0.981072 0.00884202 -217.852 0.0952188 
2 1.525 0.994342 0.98889 0.978564 0.0114378 -217.582 0.115228 
2 1.525 0.994946 0.990058 0.980751 0.00920243 -217.792 0.102316 
2 1.53 0.99486 0.989895 0.980459 0.00973467 -217.778 0.101037 
2 1.53 0.99473 0.989645 0.979994 0.0102867 -217.729 0.105499 
2 1.535 0.99457 0.989342 0.979448 0.0112466 -217.69 0.10756 
2 1.535 0.994664 0.989505 0.979686 0.00967343 -217.682 0.102336 
2 1.54 0.994628 0.989428 0.979515 0.00927933 -217.652 0.1036 
2 1.54 0.994256 0.988731 0.978288 0.0121069 -217.534 0.12015 
2 1.545 0.994302 0.988796 0.978324 0.0102973 -217.538 0.108896 
2 1.545 0.993992 0.98819 0.977165 0.0109867 -217.404 0.11394 
2 1.55 0.993778 0.987787 0.976451 0.0124211 -217.348 0.122024 
2 1.55 0.99412 0.988434 0.977614 0.0103165 -217.448 0.111552 
2 1.555 0.993722 0.987674 0.976221 0.0122487 -217.304 0.124854 
2 1.555 0.993804 0.987847 0.976594 0.0128778 -217.378 0.120812 
2 1.56 0.993814 0.987849 0.976539 0.0117086 -217.344 0.11841 
2 1.56 0.994042 0.988283 0.97733 0.0105117 -217.437 0.107137 
2 1.565 0.99384 0.987899 0.976629 0.011546 -217.33 0.118376 
2 1.565 0.993762 0.987748 0.976348 0.0118292 -217.309 0.121374 
2 1.57 0.993604 0.987442 0.975772 0.0122988 -217.27 0.119196 
2 1.57 0.993516 0.987272 0.975455 0.012619 -217.235 0.121041 
2 1.575 0.993624 0.987474 0.975806 0.0117477 -217.253 0.116349 
2 1.575 0.9931 0.986457 0.973888 0.0132971 -217.038 0.132479 
2 1.58 0.993116 0.986529 0.974146 0.0157905 -217.114 0.126119 
2 1.58 0.99327 0.986771 0.974425 0.0117384 -217.105 0.122324 
2 1.585 0.993256 0.98676 0.97446 0.0127469 -217.123 0.124312 
2 1.585 0.993508 0.98725 0.975392 0.0121296 -217.204 0.122073 
2 1.59 0.993294 0.986819 0.974521 0.011705 -217.095 0.120566 
2 1.59 0.992556 0.985421 0.972 0.0159312 -216.935 0.130965 
2 1.595 0.993078 0.986391 0.97368 0.0117044 -217.005 0.122407 
2 1.595 0.992442 0.985177 0.971461 0.0147584 -216.789 0.142155 
2 1.6 0.992456 0.9852 0.971494 0.014468 -216.787 0.13985 
2 1.6 0.992202 0.984754 0.970804 0.0180819 -216.784 0.144144 
2 1.605 0.992356 0.98502 0.971195 0.0155445 -216.792 0.133107 
2 1.605 0.992386 0.985055 0.971187 0.0140353 -216.758 0.134769 
2 1.61 0.991518 0.983433 0.968331 0.0202146 -216.49 0.160067 
2 1.61 0.992352 0.984985 0.971037 0.013798 -216.736 0.1336 
2 1.615 0.991958 0.984232 0.969661 0.0155793 -216.618 0.141515 
2 1.615 0.992134 0.984572 0.970296 0.0149849 -216.706 0.134664 
2 1.62 0.992224 0.984751 0.970644 0.0149589 -216.701 0.13583 
2 1.62 0.992352 0.984984 0.971031 0.0136585 -216.711 0.13346 
2 1.625 0.991872 0.984068 0.969354 0.0158927 -216.541 0.144787 
2 1.625 0.991778 0.983889 0.96903 0.0163322 -216.56 0.140713 
2 1.63 0.991268 0.982912 0.967231 0.0183848 -216.352 0.157332 
2 1.63 0.99185 0.984009 0.969193 0.0149017 -216.523 0.141678 
2 1.635 0.991696 0.983705 0.968599 0.0149189 -216.479 0.13894 
2 1.635 0.991472 0.983281 0.967834 0.0161757 -216.387 0.145852 
2 1.64 0.99047 0.981369 0.964333 0.0205963 -216.052 0.169701 
2 1.64 0.990786 0.981998 0.965571 0.0208014 -216.233 0.158706 
2 1.645 0.9913 0.982934 0.967133 0.0156784 -216.33 0.143308 
2 1.645 0.990794 0.981988 0.965468 0.0191714 -216.186 0.155783 
2 1.65 0.991238 0.982812 0.966901 0.0157035 -216.273 0.150715 
2 1.65 0.990718 0.981821 0.965084 0.0180924 -216.09 0.157453 
2 1.655 0.990962 0.982291 0.965965 0.0172299 -216.196 0.152032 
2 1.655 0.990722 0.981829 0.965111 0.0180857 -216.145 0.154164 
2 1.66 0.990424 0.981275 0.964136 0.0201868 -216.002 0.167287 
2 1.66 0.990644 0.98166 0.964724 0.0171075 -216.046 0.153898 
2 1.665 0.990416 0.98127 0.964156 0.0207848 -216.01 0.167731 
2 1.665 0.990246 0.980892 0.963296 0.0183123 -215.91 0.161381 
2 1.67 0.989486 0.979464 0.960757 0.0228536 -215.696 0.177093 
2 1.67 0.989372 0.979214 0.960188 0.0213704 -215.582 0.180115 
2 1.675 0.989686 0.979824 0.961346 0.0206508 -215.738 0.169062 
2 1.675 0.989862 0.980154 0.961928 0.0195475 -215.763 0.16838 
2 1.68 0.989866 0.980156 0.961909 0.0191418 -215.755 0.163423 
2 1.68 0.989484 0.979505 0.96097 0.0253937 -215.699 0.188246 
2 1.685 0.989228 0.978931 0.959646 0.0213059 -215.515 0.181686 
2 1.685 0.989516 0.979505 0.960769 0.0215695 -215.661 0.170483 
2 1.69 0.988824 0.978173 0.958304 0.0237004 -215.41 0.185137 
2 1.69 0.989056 0.978595 0.959002 0.0214999 -215.468 0.175886 
2 1.695 0.989184 0.97885 0.959506 0.0215395 -215.533 0.175126 
2 1.695 0.98853 0.977609 0.957254 0.024656 -215.351 0.181948 
2 1.7 0.98822 0.976999 0.956083 0.0247124 -215.172 0.194678 
2 1.7 0.988388 0.9773 0.956567 0.0229107 -215.181 0.189535 
2 1.705 0.988932 0.978336 0.958451 0.0205032 -215.372 0.174603 
2 1.705 0.98825 0.977064 0.956217 0.0249652 -215.163 0.194142 
2 1.71 0.987902 0.976377 0.954893 0.0249543 -215.046 0.194689 
2 1.71 0.98828 0.977069 0.956054 0.0217124 -215.132 0.182414 
2 1.715 0.987822 0.976238 0.954686 0.0260091 -215.088 0.191033 
2 1.715 0.987664 0.97595 0.954195 0.0274136 -215.006 0.202145 
2 1.72 0.987464 0.975611 0.95366 0.0305656 -214.932 0.194978 
2 1.72 0.986846 0.974399 0.951362 0.0310682 -214.725 0.204435 
2 1.725 0.988162 0.976845 0.955643 0.0220558 -215.054 0.180491 
2 1.725 0.987002 0.974726 0.952078 0.0320726 -214.797 0.207777 
2 1.73 0.987394 0.975365 0.952891 0.0241624 -214.774 0.195166 
2 1.73 0.987398 0.975371 0.952892 0.024048 -214.793 0.192131 
2 1.735 0.986786 0.974186 0.950675 0.0253458 -214.604 0.198633 
2 1.735 0.987322 0.975227 0.952634 0.0243336 -214.775 0.190649 
2 1.74 0.987158 0.974904 0.952012 0.0242944 -214.69 0.198833 
2 1.74 0.986832 0.974319 0.951054 0.0276853 -214.637 0.19889 
2 1.745 0.986816 0.974248 0.950795 0.025317 -214.578 0.194996 
2 1.745 0.986628 0.97391 0.950242 0.027204 -214.548 0.196635 
2 1.75 0.985976 0.97264 0.947842 0.0280759 -214.281 0.212706 
2 1.75 0.986596 0.973823 0.949997 0.0258064 -214.516 0.194755 
2 1.755 0.985498 0.971746 0.946249 0.0307403 -214.098 0.222345 
