J: 3.57825 1.11248 0 0 
nth temperature m m2 m4 ms e sp_h 
1 1.2 0.999164 0.998349 0.996777 0.00165509 -219.618 0.0269267 
1 1.205 0.999162 0.998344 0.996764 0.0015716 -219.614 0.026344 
1 1.205 0.999242 0.998502 0.997077 0.00148261 -219.654 0.0240909 
1 1.21 0.999134 0.998289 0.996659 0.00166033 -219.602 0.027449 
1 1.21 0.999126 0.998274 0.996632 0.00173191 -219.604 0.0271779 
1 1.215 0.999154 0.998328 0.996733 0.00157731 -219.609 0.0265294 
1 1.215 0.99913 0.998281 0.996646 0.0017056 -219.603 0.0272071 
1 1.22 0.99907 0.998163 0.996414 0.00178812 -219.577 0.0285178 
1 1.22 0.999172 0.998365 0.996813 0.00169462 -219.624 0.026107 
1 1.225 0.999052 0.998128 0.996346 0.00184664 -219.567 0.0292756 
1 1.225 0.99908 0.998183 0.996454 0.0017856 -219.577 0.0288554 
1 1.23 0.999064 0.998151 0.996392 0.00180845 -219.576 0.0283384 
1 1.23 0.998984 0.997992 0.99608 0.00190632 -219.533 0.030944 
1 1.235 0.999072 0.998166 0.99642 0.00175051 -219.574 0.0279015 
1 1.235 0.999 0.998025 0.996147 0.00194008 -219.545 0.0302358 
1 1.24 0.998972 0.99797 0.99604 0.00199865 -219.532 0.0312603 
1 1.24 0.99899 0.998006 0.996112 0.00199838 -219.543 0.0302335 
1 1.245 0.998878 0.997784 0.995674 0.00211254 -219.486 0.0332161 
1 1.245 0.998916 0.99786 0.995828 0.00214819 -219.512 0.0322897 
1 1.25 0.998826 0.997682 0.99548 0.00228654 -219.47 0.0343729 
1 1.25 0.998834 0.997698 0.995514 0.00231364 -219.473 0.0346174 
1 1.255 0.99889 0.997808 0.995726 0.00216159 -219.494 0.0326569 
1 1.255 0.998954 0.997935 0.995972 0.00202597 -219.524 0.0308229 
1 1.26 0.998858 0.997745 0.995604 0.00222348 -219.483 0.0332455 
1 1.26 0.998752 0.997535 0.995191 0.00234623 -219.431 0.035952 
