size temperature err_m err_ms
16 2.186 0.00267247 0.103781
16 2.186 0.00285425 0.113283
16 2.186 0.0028182 0.117903
16 2.186 0.00274753 0.110689
16 2.186 0.00270717 0.10712
16 2.187 0.00288132 0.113043
16 2.187 0.00285149 0.103982
16 2.187 0.00277846 0.108579
16 2.187 0.00256207 0.0873818
16 2.187 0.00263705 0.090895
16 2.188 0.00284071 0.115857
16 2.188 0.00283782 0.107746
16 2.188 0.00277272 0.10347
16 2.188 0.0028219 0.11486
16 2.188 0.0026113 0.0927972
16 2.189 0.00276693 0.10963
16 2.189 0.00285973 0.125158
16 2.189 0.00305667 0.118525
16 2.189 0.00265998 0.101442
16 2.189 0.00289907 0.109146
16 2.19 0.00273562 0.0945576
16 2.19 0.00279654 0.104651
16 2.19 0.00276166 0.105582
16 2.19 0.00276339 0.11688
16 2.19 0.00288523 0.113906
16 2.191 0.00293225 0.109378
16 2.191 0.00288672 0.110794
16 2.191 0.00285905 0.106004
16 2.191 0.002669 0.095681
16 2.191 0.00296566 0.118824
16 2.192 0.00289467 0.108656
16 2.192 0.00293998 0.11978
16 2.192 0.00308492 0.121505
16 2.192 0.00293683 0.115964
16 2.192 0.00281681 0.102512
16 2.193 0.00277679 0.115462
16 2.193 0.00298825 0.130366
16 2.193 0.00277419 0.104295
16 2.193 0.00287529 0.112505
16 2.193 0.00267682 0.0947908
16 2.194 0.00270764 0.101383
16 2.194 0.00295197 0.116629
16 2.194 0.00300302 0.121082
16 2.194 0.00283151 0.111981
16 2.194 0.00293355 0.113674
16 2.195 0.00307799 0.124439
16 2.195 0.00285727 0.10741
16 2.195 0.00312685 0.129038
16 2.195 0.00296413 0.111867
16 2.195 0.00295093 0.111982
16 2.196 0.00286811 0.108288
16 2.196 0.00282252 0.109225
16 2.196 0.00285484 0.109256
16 2.196 0.00290379 0.11873
16 2.196 0.00284441 0.103569
16 2.197 0.00311843 0.13065
16 2.197 0.00307175 0.124905
16 2.197 0.0027871 0.108208
16 2.197 0.00302809 0.115841
16 2.197 0.00289586 0.112247
16 2.198 0.00303741 0.125861
16 2.198 0.00268452 0.0993995
16 2.198 0.00281561 0.10205
16 2.198 0.00280692 0.100785
16 2.198 0.00296425 0.118727
16 2.199 0.00285588 0.114962
16 2.199 0.00283132 0.101839
16 2.199 0.00267017 0.0978733
16 2.199 0.00289403 0.111359
16 2.199 0.00274797 0.103443
16 2.2 0.00301017 0.113191
16 2.2 0.00297511 0.106608
16 2.2 0.00295865 0.115305
16 2.2 0.00300922 0.102929
16 2.2 0.00283625 0.107073
16 2.201 0.00298265 0.115533
16 2.201 0.00302285 0.109156
