size temperature m mag_sus 
32 2.237 0.725439 8.79361 
32 2.237 0.725206 8.81589 
32 2.237 0.729842 7.80273 
32 2.238 0.724515 8.86714 
32 2.238 0.725409 8.64956 
32 2.238 0.726404 8.31314 
32 2.238 0.725954 8.26287 
32 2.238 0.72604 8.57262 
32 2.239 0.723086 8.66185 
32 2.239 0.724332 8.63915 
32 2.239 0.723802 8.62856 
32 2.239 0.723326 8.78157 
32 2.239 0.722156 8.83047 
32 2.24 0.720251 9.1806 
32 2.24 0.725613 8.00287 
32 2.24 0.721771 8.87223 
32 2.24 0.719495 9.04385 
32 2.24 0.72173 8.62946 
32 2.241 0.719062 9.02598 
32 2.241 0.718304 9.08352 
32 2.241 0.715574 9.68122 
32 2.241 0.717225 9.46528 
32 2.241 0.720213 8.79751 
32 2.242 0.713976 10.1797 
32 2.242 0.717198 9.30138 
32 2.242 0.718912 8.89388 
32 2.242 0.714333 9.72455 
32 2.242 0.716863 9.43022 
32 2.243 0.713101 9.61204 
32 2.243 0.711945 9.82567 
32 2.243 0.71613 9.02985 
32 2.243 0.7124 9.81931 
32 2.243 0.712355 9.85703 
32 2.244 0.710117 10.054 
32 2.244 0.710684 10.0032 
32 2.244 0.714938 9.14864 
32 2.244 0.711698 9.98119 
32 2.244 0.710963 9.78179 
32 2.245 0.711593 9.65002 
32 2.245 0.709703 10.1871 
32 2.245 0.708434 10.1587 
32 2.245 0.707071 10.4733 
32 2.245 0.713848 9.22119 
32 2.246 0.710117 9.86102 
32 2.246 0.70762 9.93247 
32 2.246 0.709978 9.8975 
32 2.246 0.707699 9.96753 
32 2.246 0.708076 10.3886 
32 2.247 0.707985 9.79479 
32 2.247 0.704749 10.3994 
32 2.247 0.712011 9.23585 
32 2.247 0.707611 9.52374 
32 2.247 0.705564 10.2903 
32 2.248 0.703123 10.4695 
32 2.248 0.705203 10.2059 
32 2.248 0.707922 9.73272 
32 2.248 0.703255 10.3975 
32 2.248 0.703592 10.4922 
32 2.249 0.703661 10.1427 
32 2.249 0.70288 10.3323 
32 2.249 0.700986 10.3385 
32 2.249 0.701792 10.4163 
32 2.249 0.702641 10.4732 
32 2.25 0.700577 10.6882 
32 2.25 0.698867 10.8205 
32 2.25 0.702417 10.1273 
32 2.25 0.702729 10.1132 
32 2.25 0.698796 10.5815 
32 2.251 0.695818 11.1536 
32 2.251 0.695035 10.8319 
32 2.251 0.694395 10.9405 
32 2.251 0.698288 10.367 
32 2.251 0.700731 10.2792 
32 2.252 0.696202 10.8259 
32 2.252 0.696839 10.8446 
32 2.252 0.696971 10.4349 
32 2.252 0.698009 10.6446 
32 2.252 0.692193 11.4012 
32 2.253 0.695578 10.6213 
32 2.253 0.694966 10.5446 
32 2.253 0.695303 10.7342 
32 2.253 0.690097 11.3407 
32 2.253 0.692118 11.0401 
32 2.254 0.690852 11.5045 
32 2.254 0.690426 11.3828 
32 2.254 0.691789 11.05 
32 2.254 0.692463 10.8519 
32 2.254 0.691825 11.2609 
32 2.255 0.688024 11.735 
32 2.255 0.687778 11.1248 
32 2.255 0.689353 11.4528 
32 2.255 0.69256 10.9368 
32 2.255 0.68883 11.1447 
32 2.256 0.687506 11.5662 
32 2.256 0.685349 11.6474 
32 2.256 0.682928 12.0731 
32 2.256 0.688805 11.518 
32 2.256 0.683479 12.0618 
32 2.257 0.683527 12.0075 
32 2.257 0.682765 11.8392 
32 2.257 0.682224 12.0411 
32 2.257 0.684215 11.7366 
32 2.257 0.680885 12.2173 
32 2.258 0.682809 11.7367 
32 2.258 0.682015 11.7233 
32 2.258 0.680381 12.0568 
32 2.258 0.6842 11.8121 
32 2.258 0.681508 11.8123 
32 2.259 0.680911 11.974 
32 2.259 0.680042 11.8094 
32 2.259 0.681612 11.6666 
32 2.259 0.681354 11.9647 
32 2.259 0.678645 12.1091 
32 2.26 0.677272 12.6202 
32 2.26 0.678035 12.4442 
32 2.26 0.678346 11.8395 
32 2.26 0.675378 12.7379 
32 2.26 0.677594 12.1066 
32 2.261 0.676868 11.8507 
32 2.261 0.673541 12.4821 
32 2.261 0.671689 12.7089 
32 2.261 0.676778 11.9599 
32 2.261 0.673565 12.5747 
32 2.262 0.670721 13.0786 
32 2.262 0.673802 12.2449 
32 2.262 0.671856 12.5025 
32 2.262 0.670164 12.5204 
32 2.262 0.671083 12.9582 
32 2.263 0.671321 12.2993 
32 2.263 0.66801 12.9744 
32 2.263 0.669966 12.8479 
32 2.263 0.671239 12.6808 
32 2.263 0.666838 13.223 
32 2.264 0.666853 13.0343 
32 2.264 0.669015 12.9195 
32 2.264 0.668311 13.0326 
32 2.264 0.665857 12.9663 
32 2.264 0.665218 13.2225 
32 2.265 0.66329 13.3151 
32 2.265 0.6641 13.1419 
32 2.265 0.661132 13.4179 
32 2.265 0.663195 13.2431 
32 2.265 0.665205 13.1177 
32 2.266 0.667627 12.8158 
32 2.266 0.666466 12.8792 
32 2.266 0.661621 13.6021 
32 2.266 0.662215 13.5933 
32 2.266 0.65999 13.5991 
32 2.267 0.660847 13.3881 
32 2.267 0.661035 13.2637 
32 2.267 0.657919 13.9758 
32 2.267 0.662105 13.301 
32 2.267 0.661692 13.1157 
32 2.268 0.658394 13.8305 
32 2.268 0.663056 13.0352 
32 2.268 0.656484 13.9294 
32 2.268 0.657566 13.3784 
32 2.268 0.65749 13.793 
32 2.269 0.654513 13.6947 
32 2.269 0.652117 14.072 
32 2.269 0.654956 13.6452 
32 2.269 0.655812 13.5633 
32 2.269 0.65477 14.0352 
32 2.27 0.652546 13.9452 
32 2.27 0.652602 13.8889 
32 2.27 0.649318 14.5082 
32 2.27 0.650996 14.3883 
32 2.27 0.652386 14.2851 
32 2.271 0.65035 14.3797 
32 2.271 0.64698 14.4283 
32 2.271 0.649633 14.4691 
32 2.271 0.648676 14.4915 
32 2.271 0.650407 14.1129 
32 2.272 0.645518 14.5537 
32 2.272 0.646025 14.3009 
32 2.272 0.648824 14.061 
32 2.272 0.645853 14.3286 
32 2.272 0.648258 14.3933 
32 2.273 0.646003 14.5326 
32 2.273 0.642761 15.0092 
32 2.273 0.646742 14.142 
32 2.273 0.644408 14.5936 
32 2.273 0.645479 13.9353 
32 2.274 0.643772 14.8418 
32 2.274 0.644138 14.236 
32 2.274 0.641716 14.5692 
32 2.274 0.642227 14.9594 
32 2.274 0.643054 14.5518 
32 2.275 0.642619 14.6417 
32 2.275 0.637602 15.2082 
32 2.275 0.636402 15.1279 
32 2.275 0.637652 15.2049 
32 2.275 0.64274 14.6732 
32 2.276 0.636121 15.0377 
32 2.276 0.638932 15.0129 
32 2.276 0.637144 14.8386 
32 2.276 0.634352 15.4534 
32 2.276 0.639017 14.6409 
32 2.277 0.634472 15.2433 
32 2.277 0.637142 14.8844 
32 2.277 0.637494 15.0424 
32 2.277 0.637462 14.7269 
32 2.277 0.636007 14.8847 
32 2.278 0.629096 15.6782 
32 2.278 0.632587 15.1464 
32 2.278 0.632175 15.1787 
32 2.278 0.632161 15.2366 
32 2.278 0.629916 15.5642 
32 2.279 0.626671 15.9884 
32 2.279 0.627765 15.7576 
32 2.279 0.627483 15.5203 
32 2.279 0.624389 15.9532 
32 2.279 0.62705 15.59 
32 2.28 0.625429 15.6395 
32 2.28 0.628423 15.0784 
32 2.28 0.621527 15.7865 
32 2.28 0.629115 15.6172 
32 2.28 0.625692 15.8657 
32 2.281 0.620595 16.3153 
32 2.281 0.624272 15.4463 
32 2.281 0.621987 15.9323 
32 2.281 0.623149 16.0181 
32 2.281 0.622113 16.2195 
32 2.282 0.622131 15.7439 
32 2.282 0.620423 16.289 
32 2.282 0.62298 15.7175 
32 2.282 0.62089 15.9852 
32 2.282 0.623401 16.0302 
32 2.283 0.620543 15.8232 
32 2.283 0.620321 16.052 
32 2.283 0.61717 16.3525 
32 2.283 0.619027 16.7436 
32 2.283 0.618992 16.1564 
32 2.284 0.617237 16.4016 
32 2.284 0.610576 16.7374 
32 2.284 0.617424 16.4714 
32 2.284 0.61596 16.4357 
32 2.284 0.612092 16.8863 
32 2.285 0.610555 16.6874 
32 2.285 0.612178 16.2646 
32 2.285 0.607162 17.3608 
32 2.285 0.614201 16.4826 
32 2.285 0.612651 16.2033 
32 2.286 0.607942 17.1094 
32 2.286 0.610459 16.8251 
32 2.286 0.607599 16.9478 
32 2.286 0.60843 17.0018 
32 2.286 0.605434 16.9384 
32 2.287 0.607447 16.2881 
32 2.287 0.606103 16.7895 
32 2.287 0.605074 17.1539 
32 2.287 0.606008 16.7322 
32 2.287 0.606805 17.1042 
32 2.288 0.602034 17.4935 
32 2.288 0.599535 17.5245 
32 2.288 0.601389 16.9523 
32 2.288 0.605475 16.4509 
32 2.288 0.601618 17.3779 
32 2.289 0.601923 16.8545 
32 2.289 0.602145 16.8931 
32 2.289 0.599874 17.197 
32 2.289 0.599685 17.2804 
32 2.289 0.600509 16.9162 
32 2.29 0.598879 17.013 
32 2.29 0.59902 17.0543 
32 2.29 0.598958 17.2 
32 2.29 0.595146 17.5192 
32 2.29 0.597167 17.486 
32 2.291 0.59629 16.946 
32 2.291 0.593344 17.6778 
32 2.291 0.597131 17.1214 
32 2.291 0.59482 17.2616 
32 2.291 0.592019 17.3692 
32 2.292 0.587759 18.2077 
32 2.292 0.59195 17.4061 
