size temperature m m^2 m^4 mag_sus 
16 1.96 0.922042 0.852586 0.734067 0.316682 
16 1.96 0.923624 0.855268 0.738287 0.285527 
16 1.96 0.923388 0.854898 0.737778 0.294153 
16 1.96 0.922484 0.853439 0.735735 0.32166 
16 1.96 0.923901 0.855804 0.739243 0.28887 
16 1.98 0.917483 0.844231 0.720188 0.317599 
16 1.98 0.918085 0.845358 0.722084 0.320375 
16 1.98 0.917784 0.844998 0.721915 0.345212 
16 1.98 0.91718 0.843854 0.719719 0.340545 
16 1.98 0.917266 0.843892 0.719783 0.32528 
16 2 0.912051 0.834701 0.705238 0.366637 
16 2 0.911754 0.834376 0.705041 0.394328 
16 2 0.910291 0.831778 0.700957 0.402868 
16 2 0.910999 0.832997 0.702663 0.393967 
16 2 0.91158 0.834034 0.704477 0.391009 
16 2.02 0.905013 0.822602 0.686653 0.450246 
16 2.02 0.904798 0.822126 0.685666 0.439196 
16 2.02 0.904671 0.821948 0.685396 0.44584 
16 2.02 0.904937 0.822568 0.686581 0.46336 
16 2.02 0.90462 0.821781 0.685126 0.436519 
16 2.04 0.898525 0.811439 0.669486 0.513499 
16 2.04 0.896784 0.808481 0.665076 0.53465 
16 2.04 0.896673 0.808493 0.665239 0.56085 
16 2.04 0.898095 0.810358 0.667237 0.474648 
16 2.04 0.896925 0.808848 0.665825 0.548794 
16 2.06 0.889054 0.795519 0.645751 0.634048 
16 2.06 0.888588 0.794733 0.644803 0.639177 
16 2.06 0.88738 0.793106 0.642762 0.703615 
16 2.06 0.88836 0.794238 0.643864 0.62816 
16 2.06 0.887695 0.793254 0.642521 0.652611 
16 2.08 0.878988 0.77892 0.621891 0.775492 
16 2.08 0.879713 0.780081 0.623205 0.761344 
16 2.08 0.879473 0.779517 0.622607 0.74382 
16 2.08 0.879628 0.77993 0.623184 0.761187 
16 2.08 0.879934 0.7802 0.623317 0.728237 
16 2.1 0.869618 0.763358 0.599619 0.86826 
16 2.1 0.870077 0.76435 0.60119 0.892002 
16 2.1 0.867328 0.760182 0.595872 0.965922 
16 2.1 0.869988 0.764153 0.600938 0.886823 
16 2.1 0.868325 0.761505 0.597203 0.916266 
16 2.12 0.856404 0.742833 0.571987 1.13572 
16 2.12 0.857391 0.744334 0.573709 1.11265 
16 2.12 0.856915 0.743293 0.572566 1.08562 
16 2.12 0.855643 0.742187 0.57181 1.21499 
16 2.12 0.856803 0.743794 0.573735 1.16917 
16 2.14 0.844813 0.724923 0.548166 1.34141 
16 2.14 0.844567 0.72421 0.547285 1.3059 
16 2.14 0.845022 0.725573 0.549348 1.37705 
16 2.14 0.842903 0.722069 0.544986 1.38563 
16 2.14 0.841711 0.720612 0.543204 1.45158 
16 2.16 0.828319 0.700092 0.516884 1.65692 
16 2.16 0.828894 0.701203 0.51872 1.67569 
16 2.16 0.829359 0.70141 0.518309 1.60879 
16 2.16 0.829918 0.702559 0.519846 1.63496 
16 2.16 0.831448 0.704569 0.522592 1.57205 
16 2.18 0.811237 0.675101 0.486609 1.99585 
16 2.18 0.813948 0.679115 0.491284 1.94967 
16 2.18 0.814142 0.680078 0.492941 2.02577 
16 2.18 0.810088 0.674118 0.486339 2.09907 
16 2.18 0.813405 0.679024 0.491832 2.04283 
16 2.2 0.79492 0.652127 0.459689 2.35409 
16 2.2 0.79742 0.65582 0.46385 2.32059 
16 2.2 0.795102 0.652673 0.46068 2.38392 
16 2.2 0.794834 0.652464 0.460613 2.40919 
16 2.2 0.795552 0.652918 0.460927 2.32907 
16 2.22 0.774 0.623455 0.427694 2.81129 
16 2.22 0.773396 0.623024 0.427182 2.86928 
16 2.22 0.774169 0.623564 0.427502 2.79373 
16 2.22 0.772473 0.6215 0.425461 2.85812 
16 2.22 0.770889 0.619501 0.423053 2.90951 
16 2.24 0.748335 0.589686 0.391363 3.39209 
16 2.24 0.753748 0.596857 0.399185 3.28244 
16 2.24 0.752084 0.59466 0.396685 3.31777 
16 2.24 0.750202 0.592623 0.395344 3.40803 
16 2.24 0.749683 0.592235 0.395045 3.45266 
16 2.26 0.725934 0.561026 0.362591 3.85658 
16 2.26 0.724225 0.55889 0.359742 3.8953 
16 2.26 0.727523 0.56247 0.363043 3.75853 
16 2.26 0.723583 0.558245 0.359567 3.92756 
16 2.26 0.727809 0.563112 0.363557 3.78409 
16 2.28 0.698656 0.527335 0.329314 4.40305 
16 2.28 0.697787 0.526126 0.328146 4.40366 
16 2.28 0.695931 0.523598 0.325483 4.41015 
16 2.28 0.698179 0.526741 0.329097 4.41121 
16 2.28 0.698466 0.527297 0.329559 4.42858 
16 2.3 0.670539 0.493888 0.298525 4.92696 
16 2.3 0.665853 0.48825 0.293227 4.99637 
16 2.3 0.668514 0.491038 0.295178 4.91149 
16 2.3 0.669724 0.492521 0.296465 4.89629 
16 2.3 0.670604 0.492771 0.296387 4.79294 
16 2.32 0.638223 0.454462 0.261659 5.20082 
16 2.32 0.641235 0.459326 0.267062 5.31235 
16 2.32 0.640683 0.45889 0.266041 5.34236 
16 2.32 0.637937 0.454073 0.260845 5.19831 
16 2.32 0.636484 0.454561 0.262952 5.45655 
16 2.34 0.609668 0.422979 0.235059 5.61051 
16 2.34 0.607349 0.420077 0.23261 5.60178 
16 2.34 0.610584 0.423393 0.234668 5.53356 
16 2.34 0.609109 0.421673 0.233073 5.54219 
16 2.34 0.608411 0.422362 0.234958 5.71057 
16 2.36 0.574448 0.385259 0.204972 5.99513 
16 2.36 0.572799 0.385282 0.206522 6.20292 
16 2.36 0.58036 0.390916 0.208338 5.86827 
16 2.36 0.58232 0.392789 0.210558 5.82431 
16 2.36 0.576989 0.386963 0.205175 5.86266 
16 2.38 0.543645 0.351882 0.177724 6.05926 
16 2.38 0.545916 0.354672 0.180851 6.09318 
16 2.38 0.54844 0.356075 0.180343 5.94707 
16 2.38 0.547901 0.356095 0.18094 6.01272 
16 2.38 0.547784 0.356471 0.18217 6.06693 
16 2.4 0.518629 0.326087 0.158712 6.09181 
16 2.4 0.518623 0.32602 0.158762 6.08527 
16 2.4 0.516131 0.323225 0.156121 6.06225 
16 2.4 0.519023 0.325457 0.157436 5.98099 
16 2.4 0.520273 0.327904 0.160205 6.10351 
16 2.42 0.489432 0.296277 0.137221 6.00151 
16 2.42 0.487473 0.295231 0.136536 6.09334 
16 2.42 0.485469 0.291272 0.132974 5.88084 
16 2.42 0.485913 0.292751 0.134419 5.99169 
16 2.42 0.484734 0.292176 0.134779 6.0519 
16 2.44 0.461459 0.269418 0.118694 5.9251 
16 2.44 0.462247 0.269591 0.117472 5.86689 
16 2.44 0.456293 0.265219 0.116468 5.98196 
16 2.44 0.458208 0.267016 0.117749 5.98683 
16 2.44 0.459591 0.267296 0.116973 5.88291 
16 2.46 0.435772 0.24522 0.102893 5.75714 
16 2.46 0.436258 0.244442 0.100953 5.63214 
16 2.46 0.431551 0.241336 0.100308 5.73396 
16 2.46 0.437298 0.246462 0.10323 5.7478 
16 2.46 0.433249 0.242695 0.101227 5.7225 
16 2.48 0.409441 0.219989 0.0861419 5.40353 
16 2.48 0.413648 0.224314 0.089064 5.49257 
16 2.48 0.406551 0.21897 0.0865907 5.54178 
16 2.48 0.408608 0.21871 0.0850033 5.34193 
16 2.48 0.413116 0.223487 0.0882977 5.45257 
16 2.5 0.39035 0.203492 0.0763426 5.23462 
16 2.5 0.387957 0.201262 0.0752072 5.19694 
16 2.5 0.386955 0.200658 0.074777 5.21451 
16 2.5 0.387357 0.201673 0.0760127 5.28669 
16 2.5 0.387675 0.200634 0.0743987 5.15501 
16 2.52 0.366398 0.182938 0.0650036 4.94632 
16 2.52 0.36888 0.184313 0.065176 4.90058 
16 2.52 0.37025 0.186103 0.0664512 4.97964 
16 2.52 0.367298 0.182868 0.0643539 4.87211 
16 2.52 0.367166 0.18322 0.0646048 4.91773 
16 2.54 0.351687 0.169699 0.0566664 4.63773 
16 2.54 0.349982 0.169111 0.0570196 4.69907 
16 2.54 0.353369 0.172019 0.0585811 4.7521 
16 2.54 0.348837 0.167721 0.0559505 4.63968 
16 2.54 0.350638 0.169395 0.0570318 4.68135 
16 2.56 0.330913 0.152832 0.0480435 4.33286 
16 2.56 0.331642 0.153289 0.0480043 4.33026 
16 2.56 0.33497 0.156964 0.0508743 4.47588 
16 2.56 0.334355 0.155219 0.0492332 4.34262 
16 2.56 0.33296 0.155373 0.0497989 4.45109 
16 2.58 0.31812 0.143036 0.0433565 4.15114 
16 2.58 0.318562 0.142275 0.0424547 4.04774 
16 2.58 0.319208 0.143404 0.0435211 4.11887 
16 2.58 0.318673 0.142635 0.0426857 4.07646 
16 2.58 0.320577 0.144305 0.0437108 4.12135 
16 2.6 0.305426 0.132307 0.0379842 3.84217 
16 2.6 0.305569 0.132097 0.0377391 3.81285 
16 2.6 0.302221 0.13019 0.0369029 3.82549 
16 2.6 0.306903 0.133552 0.0384681 3.87566 
16 2.6 0.302216 0.13044 0.0371666 3.85042 
16 2.62 0.291965 0.121818 0.0325335 3.57366 
16 2.62 0.290595 0.121612 0.0332035 3.63161 
16 2.62 0.295051 0.124474 0.0341181 3.65622 
16 2.62 0.288874 0.120105 0.032209 3.58171 
16 2.62 0.289393 0.1212 0.033229 3.65945 
16 2.64 0.278565 0.112397 0.0287308 3.37439 
16 2.64 0.275791 0.110171 0.0278923 3.30767 
16 2.64 0.28009 0.112857 0.0286995 3.33639 
16 2.64 0.279838 0.113767 0.0297294 3.43829 
16 2.64 0.281456 0.114367 0.029556 3.40842 
16 2.66 0.269294 0.105771 0.0259108 3.2002 
16 2.66 0.272246 0.107803 0.0268627 3.2419 
