size temperature m m2 m4 ms e sp_h  
20 1.635 0.99119 0.982529 0.965639 0.0173383 -865.284 0.149178 
20 1.64 0.991173 0.982494 0.965565 0.0170339 -865.159 0.148805 
20 1.64 0.991296 0.982739 0.966055 0.0174696 -865.403 0.15196 
20 1.64 0.991273 0.982695 0.965973 0.0177926 -865.417 0.150869 
20 1.645 0.991084 0.982319 0.965227 0.017324 -865.078 0.147992 
20 1.645 0.990946 0.98205 0.964717 0.0184961 -864.84 0.156939 
20 1.645 0.990985 0.982127 0.964867 0.0184024 -864.934 0.156735 
20 1.65 0.990708 0.981579 0.963792 0.0184785 -864.47 0.158121 
20 1.65 0.990765 0.981689 0.964001 0.017949 -864.498 0.155394 
20 1.65 0.990709 0.981581 0.963797 0.018529 -864.46 0.156429 
20 1.655 0.99057 0.981306 0.963259 0.0184875 -864.238 0.159719 
20 1.655 0.990674 0.981515 0.96368 0.0192981 -864.454 0.1571 
20 1.655 0.990659 0.981484 0.963611 0.0187607 -864.408 0.15719 
20 1.66 0.990258 0.980694 0.962084 0.0201177 -863.801 0.167598 
20 1.66 0.990482 0.981136 0.962939 0.0193951 -864.185 0.158462 
20 1.66 0.990182 0.980544 0.961789 0.020092 -863.648 0.168925 
20 1.665 0.990236 0.980647 0.961973 0.0189061 -863.647 0.162594 
20 1.665 0.990055 0.980296 0.961315 0.0208725 -863.541 0.166349 
20 1.665 0.990066 0.980312 0.961329 0.0196398 -863.453 0.162908 
20 1.67 0.98994 0.980066 0.960857 0.0203393 -863.314 0.163836 
20 1.67 0.989859 0.979907 0.960551 0.0206479 -863.152 0.16951 
20 1.67 0.989885 0.979959 0.96065 0.0204969 -863.241 0.166581 
20 1.675 0.989773 0.979736 0.960214 0.0204677 -862.993 0.168811 
20 1.675 0.989899 0.979988 0.960713 0.0208006 -863.199 0.170437 
20 1.675 0.989753 0.979697 0.960136 0.0203467 -862.945 0.166915 
20 1.68 0.989554 0.979306 0.959386 0.021261 -862.687 0.173172 
20 1.68 0.989415 0.979033 0.958858 0.0217019 -862.465 0.172984 
20 1.68 0.989582 0.979359 0.959481 0.020687 -862.732 0.168739 
20 1.685 0.989243 0.978692 0.958189 0.0215447 -862.156 0.173181 
20 1.685 0.989412 0.979027 0.958838 0.0212255 -862.464 0.170732 
20 1.685 0.989172 0.978554 0.957925 0.0219975 -862.16 0.171238 
20 1.69 0.988973 0.978164 0.957174 0.0227243 -861.819 0.17757 
20 1.69 0.989021 0.978256 0.957343 0.0219491 -861.902 0.174467 
20 1.69 0.989013 0.97824 0.957314 0.0220984 -861.798 0.176892 
20 1.695 0.988724 0.977672 0.956216 0.0228559 -861.322 0.183903 
20 1.695 0.988725 0.977677 0.956231 0.0232255 -861.365 0.182443 
20 1.695 0.988865 0.977951 0.956756 0.0225511 -861.628 0.180347 
20 1.7 0.988612 0.977452 0.95579 0.0230538 -861.203 0.182822 
20 1.7 0.98835 0.976939 0.954808 0.0243582 -860.872 0.182595 
20 1.7 0.988642 0.977513 0.955915 0.023367 -861.3 0.182264 
20 1.705 0.988347 0.97693 0.95478 0.0235725 -860.821 0.18311 
20 1.705 0.98832 0.976878 0.954677 0.0235371 -860.722 0.18574 
20 1.705 0.988472 0.97718 0.955275 0.0239916 -861.042 0.184592 
20 1.71 0.988286 0.976813 0.95456 0.0240623 -860.751 0.184007 
20 1.71 0.988046 0.976342 0.953655 0.0250402 -860.355 0.190849 
20 1.71 0.988114 0.976477 0.953917 0.0249316 -860.519 0.190375 
20 1.715 0.987797 0.975855 0.952721 0.0259584 -860.068 0.192677 
20 1.715 0.987779 0.975814 0.952623 0.0248588 -859.944 0.191405 
20 1.715 0.98795 0.976152 0.953281 0.0247597 -860.191 0.187606 
20 1.72 0.987533 0.975333 0.951704 0.025987 -859.579 0.197953 
20 1.72 0.987632 0.975523 0.952053 0.0246587 -859.657 0.193501 
20 1.72 0.987585 0.975435 0.951901 0.025846 -859.699 0.197 
20 1.725 0.98755 0.975366 0.951764 0.0256678 -859.542 0.194822 
20 1.725 0.987297 0.974873 0.950826 0.0272333 -859.297 0.198459 
20 1.725 0.987419 0.975105 0.951247 0.0250826 -859.39 0.193699 
20 1.73 0.987169 0.974619 0.950328 0.0268787 -859.099 0.19878 
20 1.73 0.987097 0.974477 0.950048 0.0266851 -858.94 0.197569 
20 1.73 0.987234 0.974742 0.950546 0.0254889 -859.09 0.190906 
20 1.735 0.98682 0.973935 0.949009 0.0276849 -858.526 0.203336 
20 1.735 0.986806 0.973903 0.948935 0.0269333 -858.497 0.199899 
20 1.735 0.986933 0.974152 0.949416 0.0266694 -858.623 0.196566 
20 1.74 0.986574 0.973451 0.948076 0.0281661 -858.089 0.207514 
20 1.74 0.986663 0.973623 0.948401 0.0274527 -858.264 0.202983 
20 1.74 0.98659 0.973482 0.948134 0.0280372 -858.116 0.206017 
20 1.745 0.98608 0.972482 0.946213 0.0294438 -857.381 0.212121 
20 1.745 0.986161 0.972641 0.946517 0.029061 -857.547 0.209148 
20 1.745 0.986249 0.972813 0.946847 0.0288424 -857.704 0.207762 
20 1.75 0.98589 0.972107 0.945481 0.0292098 -857.114 0.212959 
20 1.75 0.985976 0.972276 0.945803 0.028818 -857.198 0.208839 
20 1.75 0.985966 0.972257 0.945769 0.0289802 -857.199 0.212281 
20 1.755 0.98577 0.971872 0.945029 0.0294318 -856.922 0.212937 
20 1.755 0.985878 0.972091 0.945479 0.0309217 -857.102 0.217974 
20 1.755 0.985573 0.971491 0.944312 0.0309125 -856.72 0.214366 
20 1.76 0.985439 0.971224 0.943787 0.0304119 -856.439 0.215912 
20 1.76 0.985396 0.971139 0.943621 0.0303246 -856.285 0.218806 
20 1.76 0.985195 0.970746 0.942867 0.0308828 -856.092 0.21733 
20 1.765 0.985056 0.970476 0.942359 0.0317449 -855.892 0.22092 
20 1.765 0.985376 0.971099 0.943541 0.0300971 -856.317 0.216086 
20 1.765 0.985178 0.970719 0.942841 0.0324223 -856.188 0.221715 
20 1.77 0.984931 0.97023 0.941887 0.0319526 -855.746 0.220968 
20 1.77 0.984828 0.970025 0.941479 0.0313911 -855.507 0.217692 
20 1.77 0.984669 0.96972 0.940913 0.0329657 -855.327 0.225662 
20 1.775 0.984439 0.969271 0.94006 0.033982 -855.049 0.225343 
20 1.775 0.98428 0.968961 0.939468 0.0345773 -854.724 0.234647 
20 1.775 0.984366 0.969125 0.939763 0.0331755 -854.795 0.226516 
20 1.78 0.983835 0.968089 0.937791 0.0351632 -854.122 0.232658 
20 1.78 0.984036 0.968478 0.938525 0.0339552 -854.369 0.230836 
20 1.78 0.984315 0.96903 0.939601 0.0343661 -854.783 0.233186 
20 1.785 0.983976 0.968371 0.938355 0.0361434 -854.26 0.241915 
20 1.785 0.983885 0.968188 0.937988 0.035357 -854.186 0.234028 
20 1.785 0.983769 0.967961 0.937552 0.0356503 -853.991 0.237539 
20 1.79 0.983586 0.967605 0.936875 0.0362379 -853.761 0.236306 
20 1.79 0.983556 0.967537 0.936714 0.0344704 -853.614 0.23442 
20 1.79 0.983797 0.968008 0.937611 0.0335389 -853.967 0.228249 
20 1.795 0.983317 0.967076 0.935858 0.0364685 -853.392 0.241771 
20 1.795 0.983178 0.96681 0.935369 0.0380736 -853.189 0.246426 
20 1.795 0.983145 0.966739 0.935207 0.0365311 -853.183 0.23853 
20 1.8 0.983027 0.96651 0.934777 0.0371782 -852.908 0.241285 
20 1.8 0.982688 0.965842 0.933477 0.036671 -852.425 0.241692 
20 1.8 0.983071 0.966599 0.934957 0.0377975 -853.009 0.242129 
20 1.805 0.98246 0.965402 0.932656 0.0383343 -852.06 0.249689 
20 1.805 0.982437 0.965358 0.93258 0.0387504 -852.07 0.254033 
20 1.805 0.982939 0.966334 0.934426 0.0364747 -852.707 0.240308 
20 1.81 0.982016 0.964533 0.930995 0.0391814 -851.41 0.250016 
20 1.81 0.98209 0.964681 0.931286 0.0395486 -851.617 0.251122 
20 1.81 0.982241 0.964976 0.931853 0.039404 -851.834 0.251444 
20 1.815 0.981728 0.963974 0.929937 0.0402953 -851.096 0.254413 
20 1.815 0.982011 0.964523 0.93097 0.0387761 -851.391 0.248911 
20 1.815 0.981895 0.964297 0.930549 0.0395403 -851.319 0.249849 
20 1.82 0.981403 0.963343 0.928753 0.0421102 -850.57 0.261082 
20 1.82 0.981848 0.964214 0.930418 0.0413285 -851.242 0.257726 
20 1.82 0.981381 0.963294 0.928638 0.0408193 -850.498 0.259682 
20 1.825 0.981105 0.96276 0.927637 0.0423866 -850.151 0.26102 
20 1.825 0.981163 0.962878 0.927873 0.0429773 -850.356 0.260809 
20 1.825 0.981251 0.96305 0.9282 0.0428255 -850.415 0.259704 
20 1.83 0.981067 0.962684 0.927482 0.041675 -850.192 0.25596 
20 1.83 0.980661 0.961896 0.925995 0.0434929 -849.532 0.267305 
