size temperature m m2 m4 mag_sus 
10 2.19 0.967088 0.936798 0.882774 0.0702758 
10 2.19 0.967224 0.937068 0.883269 0.0705705 
10 2.19 0.966972 0.936544 0.882139 0.0689074 
10 2.195 0.966438 0.935574 0.880561 0.0715896 
10 2.195 0.966396 0.935387 0.879976 0.0667577 
10 2.195 0.967304 0.93719 0.883426 0.0689172 
10 2.2 0.965992 0.934682 0.878896 0.0700662 
10 2.2 0.96667 0.935977 0.881201 0.0693469 
10 2.2 0.966374 0.93549 0.880422 0.0732278 
10 2.205 0.965192 0.933173 0.876169 0.0715212 
10 2.205 0.96488 0.93276 0.875851 0.0801281 
10 2.205 0.96538 0.9335 0.87668 0.0699291 
10 2.21 0.965918 0.934509 0.878414 0.0684116 
10 2.21 0.964324 0.931676 0.873817 0.0794291 
10 2.21 0.964934 0.932771 0.875666 0.0757111 
10 2.215 0.96477 0.932409 0.874826 0.0734811 
10 2.215 0.964004 0.931069 0.872772 0.0796807 
10 2.215 0.964028 0.931097 0.872643 0.0788594 
10 2.22 0.963664 0.93049 0.871777 0.0829376 
10 2.22 0.963644 0.930302 0.871097 0.0762415 
10 2.22 0.962926 0.929081 0.869323 0.0835225 
10 2.225 0.962412 0.928221 0.867838 0.0891875 
10 2.225 0.963216 0.929492 0.869685 0.0767019 
10 2.225 0.963048 0.929317 0.869689 0.0834153 
10 2.23 0.962964 0.929068 0.86896 0.079276 
10 2.23 0.962552 0.928371 0.868 0.0836003 
10 2.23 0.962196 0.927678 0.866637 0.0832528 
10 2.235 0.962208 0.927733 0.866924 0.0845246 
10 2.235 0.962498 0.928173 0.867444 0.0792179 
10 2.235 0.962408 0.928069 0.867366 0.0823392 
10 2.24 0.961316 0.92618 0.864315 0.0915941 
10 2.24 0.961204 0.925917 0.863781 0.0894567 
10 2.24 0.96202 0.927364 0.866118 0.0839893 
10 2.245 0.960416 0.924451 0.861241 0.0914025 
10 2.245 0.960458 0.924498 0.861285 0.0898989 
10 2.245 0.961318 0.925943 0.863424 0.0806335 
10 2.25 0.960194 0.924016 0.860482 0.0908019 
10 2.25 0.959956 0.923584 0.859749 0.0919217 
10 2.25 0.960184 0.923906 0.860086 0.0867683 
10 2.255 0.9604 0.924381 0.861062 0.0892665 
10 2.255 0.958986 0.921709 0.856256 0.0911455 
10 2.255 0.959842 0.923478 0.859548 0.0967528 
10 2.26 0.95834 0.920628 0.854673 0.0978958 
10 2.26 0.959208 0.922231 0.857497 0.0951793 
10 2.26 0.95848 0.92077 0.854567 0.0922907 
10 2.265 0.958966 0.921653 0.856174 0.0899254 
10 2.265 0.958058 0.920086 0.853674 0.0976189 
10 2.265 0.958916 0.92156 0.855981 0.0900709 
10 2.27 0.958314 0.920563 0.854396 0.0967787 
10 2.27 0.957744 0.919485 0.852514 0.0974216 
10 2.27 0.957582 0.919199 0.852019 0.0984896 
10 2.275 0.958264 0.920342 0.853841 0.0910886 
10 2.275 0.956786 0.917758 0.849645 0.101913 
10 2.275 0.9585 0.920883 0.855 0.0949587 
10 2.28 0.957072 0.918198 0.850161 0.0969959 
10 2.28 0.956926 0.918005 0.85004 0.100759 
10 2.28 0.957108 0.918384 0.850755 0.102114 
10 2.285 0.955482 0.915346 0.845505 0.105059 
10 2.285 0.956126 0.916505 0.847374 0.101892 
10 2.285 0.955916 0.916124 0.846834 0.102766 
10 2.29 0.955334 0.915027 0.844757 0.10324 
10 2.29 0.955326 0.915036 0.844982 0.104298 
10 2.29 0.954798 0.913965 0.842881 0.101573 
10 2.295 0.95522 0.914775 0.844373 0.101499 
10 2.295 0.953238 0.911384 0.83894 0.118574 
10 2.295 0.954764 0.913884 0.842696 0.100634 
10 2.3 0.953136 0.911085 0.838228 0.11376 
10 2.3 0.953276 0.911321 0.838785 0.112417 
10 2.3 0.954254 0.91298 0.84112 0.103443 
10 2.305 0.952778 0.910641 0.83786 0.123868 
10 2.305 0.953328 0.911388 0.838751 0.110798 
10 2.305 0.953136 0.911215 0.838732 0.119157 
10 2.31 0.951698 0.908656 0.834472 0.126722 
10 2.31 0.953156 0.910979 0.8378 0.107025 
10 2.31 0.952284 0.909628 0.836033 0.120495 
10 2.315 0.951166 0.907417 0.832008 0.116645 
10 2.315 0.950964 0.907087 0.831354 0.118965 
10 2.315 0.950678 0.907031 0.831966 0.140068 
10 2.32 0.950526 0.906397 0.830433 0.124878 
10 2.32 0.95045 0.906293 0.830464 0.126612 
10 2.32 0.951888 0.908736 0.834098 0.114019 
10 2.325 0.949374 0.904471 0.82757 0.135935 
10 2.325 0.950032 0.905566 0.829131 0.129277 
10 2.325 0.951078 0.907437 0.83208 0.124217 
10 2.33 0.949526 0.904557 0.827297 0.126926 
10 2.33 0.94967 0.904883 0.827923 0.129173 
10 2.33 0.94944 0.904338 0.826852 0.124543 
10 2.335 0.948662 0.902826 0.824202 0.12275 
10 2.335 0.94934 0.904189 0.826611 0.126022 
10 2.335 0.948952 0.903451 0.825309 0.125966 
10 2.34 0.94834 0.9023 0.823442 0.126111 
10 2.34 0.947842 0.90156 0.822458 0.134864 
10 2.34 0.94818 0.902127 0.82308 0.131698 
10 2.345 0.94767 0.901234 0.821906 0.134551 
10 2.345 0.946654 0.899547 0.819266 0.144679 
10 2.345 0.946978 0.899847 0.81913 0.131309 
10 2.35 0.94741 0.900702 0.820881 0.132596 
10 2.35 0.946352 0.899076 0.818475 0.148663 
10 2.35 0.946226 0.898647 0.817394 0.140562 
10 2.355 0.946684 0.899371 0.818466 0.134205 
10 2.355 0.94508 0.896366 0.813345 0.135431 
10 2.355 0.945358 0.89711 0.815006 0.144733 
10 2.36 0.944108 0.894742 0.810772 0.144143 
