size temperature m m2 m4 mag_sus 
20 1.61 0.992396 0.984909 0.970274 0.0145849 
20 1.615 0.992134 0.984392 0.969268 0.0152301 
20 1.615 0.992012 0.984154 0.968814 0.0162853 
20 1.615 0.992092 0.984311 0.969114 0.015679 
20 1.615 0.992 0.984126 0.968744 0.0152941 
20 1.615 0.99223 0.984581 0.969638 0.0151101 
20 1.62 0.992055 0.984236 0.968963 0.0154375 
20 1.62 0.991846 0.983822 0.968151 0.0155378 
20 1.62 0.992079 0.984284 0.969058 0.0155032 
20 1.62 0.992002 0.984127 0.968738 0.0146388 
20 1.62 0.991921 0.983972 0.968449 0.0157593 
20 1.625 0.991741 0.983616 0.967753 0.0159618 
20 1.625 0.991915 0.98396 0.968426 0.0157374 
20 1.625 0.991773 0.983679 0.967876 0.0159905 
20 1.625 0.991807 0.983746 0.968004 0.0156936 
20 1.625 0.991681 0.983498 0.96753 0.0165229 
20 1.63 0.991489 0.983121 0.9668 0.0173013 
20 1.63 0.991618 0.983373 0.967277 0.0160989 
20 1.63 0.991545 0.98323 0.967004 0.0166108 
20 1.63 0.99155 0.983238 0.967013 0.0161604 
20 1.63 0.991712 0.983559 0.967647 0.0163176 
20 1.635 0.991605 0.983347 0.96723 0.0162689 
20 1.635 0.99141 0.982963 0.966484 0.0169118 
20 1.635 0.991307 0.98276 0.96609 0.0171919 
20 1.635 0.991428 0.982997 0.966545 0.016503 
20 1.635 0.991345 0.982836 0.966239 0.0172822 
20 1.64 0.991133 0.982415 0.965408 0.0169116 
20 1.64 0.991126 0.982405 0.965405 0.018003 
20 1.64 0.991209 0.982565 0.965703 0.0168633 
20 1.64 0.991079 0.98231 0.965212 0.0174932 
20 1.64 0.991165 0.98248 0.965542 0.0172973 
20 1.645 0.990919 0.981995 0.964602 0.0179908 
20 1.645 0.990879 0.981915 0.964442 0.0178875 
20 1.645 0.99086 0.98188 0.964384 0.0185885 
20 1.645 0.990961 0.982077 0.964758 0.0176773 
20 1.645 0.991122 0.982397 0.965389 0.0179468 
20 1.65 0.990717 0.981596 0.96382 0.0181061 
20 1.65 0.990759 0.981679 0.963981 0.0180038 
20 1.65 0.990774 0.98171 0.964049 0.0184176 
20 1.65 0.990814 0.981787 0.964195 0.0180939 
20 1.65 0.990681 0.981527 0.963696 0.018802 
20 1.655 0.990643 0.981454 0.96356 0.0192371 
20 1.655 0.990704 0.981573 0.963786 0.018735 
20 1.655 0.990533 0.981237 0.963143 0.0197368 
20 1.655 0.990651 0.981466 0.96357 0.0184353 
20 1.655 0.990626 0.981418 0.963481 0.0187645 
20 1.66 0.990365 0.980901 0.96247 0.0188703 
20 1.66 0.990247 0.980669 0.962024 0.0193564 
20 1.66 0.990322 0.980817 0.962307 0.0190244 
20 1.66 0.990277 0.980728 0.962131 0.0188736 
20 1.66 0.990507 0.981183 0.963023 0.0188012 
20 1.665 0.990035 0.980253 0.961218 0.0200201 
20 1.665 0.990124 0.980429 0.961564 0.0200852 
20 1.665 0.990102 0.980388 0.961487 0.0203332 
20 1.665 0.990277 0.980731 0.962154 0.0198903 
20 1.665 0.99013 0.980441 0.961585 0.0198944 
20 1.67 0.989871 0.979928 0.960582 0.0200128 
20 1.67 0.990034 0.980252 0.961219 0.0201141 
20 1.67 0.989967 0.980121 0.960966 0.0204123 
20 1.67 0.989891 0.979969 0.960665 0.0201139 
20 1.67 0.99002 0.980225 0.961165 0.0201023 
20 1.675 0.989586 0.979368 0.959498 0.0207263 
20 1.675 0.989783 0.979754 0.960236 0.0196778 
20 1.675 0.989709 0.979613 0.959985 0.0212586 
20 1.675 0.989749 0.979691 0.960134 0.0209867 
20 1.675 0.989775 0.979742 0.960232 0.0209061 
20 1.68 0.989477 0.979155 0.959091 0.0213106 
20 1.68 0.989624 0.979444 0.959647 0.0207373 
20 1.68 0.989656 0.979508 0.959779 0.0211873 
20 1.68 0.989487 0.979172 0.959117 0.0209004 
20 1.68 0.989585 0.979366 0.959494 0.0207852 
20 1.685 0.989061 0.978337 0.957505 0.0222829 
20 1.685 0.989491 0.979183 0.959147 0.0213398 
20 1.685 0.989402 0.979003 0.958782 0.0205584 
20 1.685 0.989517 0.979233 0.959235 0.0207999 
20 1.685 0.989328 0.97886 0.958517 0.0214809 
20 1.69 0.989045 0.978305 0.957446 0.0223495 
20 1.69 0.989039 0.978292 0.957416 0.0220864 
20 1.69 0.989018 0.97825 0.957335 0.0221919 
20 1.69 0.989056 0.978331 0.957515 0.0235204 
20 1.69 0.98916 0.978529 0.95787 0.0215762 
20 1.695 0.988858 0.977938 0.956733 0.0227468 
20 1.695 0.988921 0.978057 0.956953 0.0218173 
20 1.695 0.988817 0.977853 0.956552 0.0218287 
20 1.695 0.988864 0.977946 0.956743 0.0222477 
20 1.695 0.98887 0.977961 0.956784 0.0230072 
20 1.7 0.98882 0.977858 0.956563 0.0217003 
20 1.7 0.98863 0.977487 0.955859 0.0230713 
20 1.7 0.988544 0.977318 0.955526 0.0229245 
20 1.7 0.988627 0.977482 0.955852 0.0232564 
20 1.7 0.98856 0.97735 0.955598 0.0234415 
20 1.705 0.988473 0.977184 0.955291 0.0244897 
20 1.705 0.988249 0.976739 0.954414 0.0240277 
20 1.705 0.988377 0.976989 0.954894 0.0235251 
20 1.705 0.988577 0.977384 0.95566 0.0232329 
20 1.705 0.98836 0.976954 0.95482 0.0231696 
20 1.71 0.988014 0.976276 0.953513 0.0242012 
20 1.71 0.988295 0.976824 0.954561 0.0227387 
20 1.71 0.987963 0.976181 0.953346 0.0254129 
20 1.71 0.988144 0.976532 0.954012 0.0241591 
20 1.71 0.988094 0.976437 0.95384 0.0250321 
20 1.715 0.987903 0.976058 0.953094 0.024481 
20 1.715 0.987661 0.975586 0.952192 0.0257805 
20 1.715 0.98786 0.975976 0.952948 0.0254042 
20 1.715 0.987933 0.976118 0.953213 0.024657 
20 1.715 0.987932 0.976117 0.953211 0.0247249 
20 1.72 0.98777 0.975802 0.952616 0.0258214 
20 1.72 0.987661 0.975584 0.952182 0.0252544 
20 1.72 0.987673 0.975606 0.952225 0.0252349 
20 1.72 0.987658 0.975579 0.952178 0.0255895 
20 1.72 0.987653 0.975566 0.952141 0.0249562 
20 1.725 0.987308 0.974889 0.950834 0.02569 
20 1.725 0.987373 0.97502 0.951101 0.026409 
20 1.725 0.987422 0.975112 0.95126 0.0251499 
20 1.725 0.987269 0.97482 0.95073 0.0275865 
20 1.725 0.987485 0.975237 0.951512 0.0256139 
20 1.73 0.987093 0.97447 0.950038 0.0269051 
20 1.73 0.987005 0.974297 0.949709 0.0273445 
20 1.73 0.987029 0.974343 0.949795 0.0270932 
20 1.73 0.987206 0.974688 0.95045 0.0260274 
20 1.73 0.987199 0.974674 0.950418 0.0258369 
20 1.735 0.98676 0.973818 0.948788 0.0280676 
20 1.735 0.986773 0.97384 0.948821 0.0274528 
20 1.735 0.986692 0.97368 0.948508 0.0273492 
20 1.735 0.986746 0.973791 0.94874 0.0283106 
20 1.735 0.9866 0.9735 0.948162 0.0275944 
20 1.74 0.986581 0.973464 0.948099 0.0280035 
20 1.74 0.986385 0.973083 0.947374 0.0290869 
20 1.74 0.986595 0.97349 0.948144 0.0276611 
20 1.74 0.986561 0.973424 0.948015 0.0276504 
20 1.74 0.986475 0.973256 0.947695 0.0280346 
20 1.745 0.986288 0.972889 0.946989 0.0285584 
20 1.745 0.986298 0.972908 0.947028 0.0285341 
20 1.745 0.986186 0.972689 0.946603 0.0286429 
20 1.745 0.986424 0.973157 0.94751 0.028434 
20 1.745 0.986205 0.972725 0.946674 0.028678 
20 1.75 0.98582 0.971978 0.945263 0.03126 
20 1.75 0.985921 0.972166 0.945587 0.0286316 
20 1.75 0.986021 0.972364 0.945976 0.0289457 
20 1.75 0.985888 0.972105 0.945485 0.02971 
20 1.75 0.98611 0.972543 0.946336 0.0296567 
20 1.755 0.985832 0.971996 0.945276 0.0297469 
20 1.755 0.985529 0.971403 0.944142 0.0309345 
20 1.755 0.985535 0.971419 0.944187 0.0317324 
20 1.755 0.985652 0.971641 0.944585 0.0297846 
20 1.755 0.985726 0.971784 0.944853 0.0291653 
20 1.76 0.985338 0.97103 0.943426 0.0313529 
20 1.76 0.985368 0.97109 0.943547 0.0317056 
20 1.76 0.985486 0.971319 0.943977 0.0307002 
20 1.76 0.985332 0.971017 0.943398 0.0312193 
20 1.76 0.98526 0.970877 0.943134 0.0317028 
20 1.765 0.985058 0.970482 0.942374 0.0320338 
20 1.765 0.98501 0.970383 0.94217 0.0312702 
20 1.765 0.984888 0.970149 0.94174 0.0327598 
20 1.765 0.985111 0.970584 0.942563 0.0316136 
20 1.765 0.985166 0.970694 0.942784 0.0319274 
20 1.77 0.984802 0.969978 0.941403 0.0323539 
20 1.77 0.984577 0.969538 0.940558 0.0329517 
20 1.77 0.984765 0.96991 0.941286 0.0332051 
20 1.77 0.984974 0.970313 0.94204 0.0314722 
20 1.77 0.984783 0.96994 0.94133 0.0323024 
20 1.775 0.984548 0.96948 0.940444 0.0325901 
20 1.775 0.984647 0.96968 0.940853 0.033884 
20 1.775 0.984601 0.969584 0.940642 0.0323963 
20 1.775 0.984467 0.96932 0.940133 0.0326041 
20 1.775 0.984754 0.969889 0.941246 0.03345 
20 1.78 0.984242 0.968885 0.93932 0.0343316 
20 1.78 0.98418 0.968763 0.939081 0.0341766 
20 1.78 0.984021 0.968452 0.938487 0.0347543 
20 1.78 0.984039 0.968488 0.938556 0.0347868 
20 1.78 0.983962 0.968341 0.938285 0.035589 
20 1.785 0.983826 0.968069 0.937748 0.0346869 
20 1.785 0.98373 0.967884 0.937403 0.0355699 
20 1.785 0.983826 0.968076 0.937788 0.0364239 
20 1.785 0.983728 0.967878 0.937387 0.0352632 
20 1.785 0.983911 0.968232 0.938044 0.033604 
20 1.79 0.983661 0.967747 0.937131 0.0350728 
20 1.79 0.983539 0.967512 0.936697 0.0363576 
20 1.79 0.983521 0.967472 0.936598 0.0351244 
20 1.79 0.983566 0.96756 0.936768 0.0350173 
20 1.79 0.983543 0.967515 0.936685 0.0352854 
20 1.795 0.982996 0.966442 0.93462 0.0356988 
20 1.795 0.983052 0.966558 0.934869 0.0372224 
20 1.795 0.983133 0.966718 0.935177 0.0372923 
20 1.795 0.982944 0.96635 0.934478 0.0379894 
20 1.795 0.983337 0.967111 0.93591 0.0355352 
20 1.8 0.982918 0.966298 0.934375 0.0376711 
20 1.8 0.982816 0.966097 0.933986 0.0376011 
20 1.8 0.982812 0.966093 0.933994 0.0385695 
20 1.8 0.982911 0.966284 0.934347 0.0375713 
20 1.8 0.982811 0.966083 0.933939 0.0364662 
20 1.805 0.982587 0.96565 0.933134 0.0381811 
20 1.805 0.982478 0.965437 0.932721 0.0382525 
20 1.805 0.982506 0.965493 0.932835 0.0385385 
20 1.805 0.982635 0.965744 0.933318 0.0383173 
20 1.805 0.982548 0.965571 0.932973 0.0377613 
20 1.81 0.982179 0.964855 0.931624 0.0396977 
20 1.81 0.982159 0.964812 0.931528 0.0388726 
20 1.81 0.982305 0.965109 0.932135 0.0409397 
20 1.81 0.982242 0.964973 0.931829 0.0382417 
20 1.81 0.982027 0.964559 0.931058 0.0400114 
20 1.815 0.982014 0.96453 0.930992 0.0391822 
20 1.815 0.98188 0.964264 0.930467 0.0384763 
20 1.815 0.982269 0.965023 0.931915 0.0374428 
20 1.815 0.981954 0.964421 0.930815 0.0412776 
20 1.815 0.981844 0.964199 0.930362 0.0396915 
20 1.82 0.981585 0.963692 0.929395 0.0402259 
20 1.82 0.981178 0.962902 0.9279 0.0419272 
20 1.82 0.981518 0.963568 0.929182 0.0417157 
20 1.82 0.981311 0.963159 0.928383 0.0412135 
20 1.82 0.981547 0.963622 0.929274 0.0411378 
20 1.825 0.981116 0.962785 0.927697 0.0431374 
20 1.825 0.981184 0.962905 0.927879 0.0401092 
20 1.825 0.981181 0.962915 0.92795 0.0432606 
20 1.825 0.981247 0.96304 0.928173 0.0422929 
20 1.825 0.981206 0.962959 0.928021 0.0423303 
20 1.83 0.980499 0.961578 0.925384 0.0435427 
20 1.83 0.980691 0.961961 0.926141 0.044802 
20 1.83 0.980747 0.962068 0.926336 0.0441779 
20 1.83 0.981022 0.962596 0.92731 0.0416452 
20 1.83 0.980833 0.962223 0.926584 0.0412039 
20 1.835 0.980336 0.96126 0.924775 0.0436064 
20 1.835 0.980203 0.961001 0.924288 0.0442515 
20 1.835 0.980401 0.961391 0.925042 0.0445049 
20 1.835 0.980293 0.961184 0.924664 0.0457513 
20 1.835 0.980335 0.961261 0.924789 0.0443597 
20 1.84 0.980005 0.960607 0.92351 0.0428826 
20 1.84 0.979526 0.959693 0.921843 0.0481925 
20 1.84 0.979995 0.960607 0.92358 0.0470924 
20 1.84 0.979936 0.960477 0.923276 0.0438562 
20 1.84 0.979997 0.960605 0.923554 0.0456832 
20 1.845 0.979559 0.959747 0.921906 0.0455596 
20 1.845 0.97956 0.95975 0.921915 0.0457625 
20 1.845 0.979508 0.959648 0.921723 0.0459811 
20 1.845 0.979523 0.95969 0.921844 0.0486921 
20 1.845 0.979589 0.959808 0.922033 0.0461299 
20 1.85 0.979167 0.958986 0.920471 0.0469296 
20 1.85 0.97933 0.959303 0.921067 0.0463339 
20 1.85 0.978977 0.958621 0.919796 0.0484804 
20 1.85 0.979241 0.959128 0.920734 0.0464873 
20 1.85 0.979236 0.959126 0.920755 0.047961 
20 1.855 0.978818 0.958314 0.919222 0.0492564 
20 1.855 0.978573 0.957832 0.918294 0.0489787 
20 1.855 0.978823 0.958319 0.919217 0.0483794 
20 1.855 0.978805 0.958279 0.919123 0.0473535 
20 1.855 0.978896 0.958461 0.919488 0.048231 
20 1.86 0.978502 0.957695 0.918033 0.0489258 
20 1.86 0.978392 0.957482 0.917637 0.0496525 
20 1.86 0.978376 0.957447 0.91756 0.048964 
20 1.86 0.978504 0.957705 0.918077 0.0505262 
20 1.86 0.978425 0.957548 0.917769 0.0499429 
20 1.865 0.977945 0.956611 0.915982 0.0502696 
20 1.865 0.978098 0.956913 0.916569 0.0507028 
20 1.865 0.978064 0.956849 0.916455 0.0512518 
