J2 J3 temperature m m2 m4 ms e sp_h 
0.1 0.075 1.17 0.99988 0.999763 0.999536 0.00022441 -234.944 0.00404123 
0.1 0.075 1.175 0.999912 0.999826 0.999658 0.000149128 -234.959 0.00280361 
0.1 0.075 1.175 0.999862 0.999727 0.999466 0.000260507 -234.937 0.00450963 
0.1 0.075 1.18 0.999878 0.999759 0.999527 0.000219078 -234.943 0.00390881 
0.1 0.075 1.18 0.999888 0.999778 0.999566 0.000202327 -234.948 0.00359518 
0.1 0.075 1.185 0.999896 0.999794 0.999596 0.000174615 -234.951 0.00325505 
0.1 0.075 1.185 0.999874 0.999751 0.999513 0.000238323 -234.942 0.00406367 
0.1 0.075 1.19 0.999898 0.999798 0.999604 0.000170554 -234.952 0.003166 
0.1 0.075 1.19 0.999892 0.999786 0.999582 0.000193978 -234.95 0.00341157 
0.1 0.075 1.195 0.999884 0.999771 0.999551 0.0002131 -234.946 0.0037516 
0.1 0.075 1.195 0.99989 0.999782 0.999573 0.000183088 -234.948 0.00338444 
0.1 0.075 1.2 0.999858 0.999719 0.99945 0.00024832 -234.934 0.00438522 
0.1 0.075 1.2 0.999868 0.999739 0.999489 0.000245215 -234.94 0.00414202 
0.1 0.075 1.205 0.999852 0.999707 0.999426 0.000250464 -234.931 0.00449932 
0.1 0.075 1.205 0.999874 0.999751 0.999512 0.000227728 -234.942 0.00389799 
0.1 0.075 1.21 0.999878 0.999759 0.999527 0.000213646 -234.943 0.00371739 
0.1 0.075 1.21 0.999838 0.999679 0.999371 0.0002656 -234.924 0.00484884 
0.1 0.075 1.215 0.999864 0.999731 0.999473 0.000235515 -234.937 0.00410051 
0.1 0.075 1.215 0.999846 0.999695 0.999403 0.000264715 -234.928 0.00472215 
0.1 0.075 1.22 0.99987 0.999743 0.999497 0.000231402 -234.94 0.00391997 
0.1 0.075 1.22 0.999852 0.999707 0.999426 0.000247385 -234.931 0.00438936 
0.1 0.075 1.225 0.999852 0.999707 0.999428 0.000279028 -234.932 0.00458531 
0.1 0.075 1.225 0.99985 0.999703 0.999419 0.000256122 -234.93 0.0045195 
0.1 0.075 1.23 0.999838 0.999679 0.999372 0.000274289 -234.924 0.00483762 
0.1 0.075 1.23 0.99984 0.999683 0.99938 0.000277593 -234.926 0.00472007 
0.1 0.075 1.235 0.999834 0.999672 0.999357 0.000292506 -234.923 0.00488073 
0.1 0.075 1.235 0.999826 0.999656 0.999328 0.000324674 -234.92 0.00507815 
0.1 0.075 1.24 0.999836 0.999676 0.999365 0.000288154 -234.925 0.00478527 
0.1 0.075 1.24 0.999822 0.999648 0.999311 0.000310348 -234.918 0.00526777 
0.1 0.075 1.245 0.999852 0.999707 0.999428 0.00026812 -234.932 0.00432548 
0.1 0.075 1.245 0.999776 0.999557 0.999136 0.000426492 -234.898 0.00670498 
0.1 0.075 1.25 0.9998 0.999604 0.999225 0.000336 -234.907 0.00568118 
0.1 0.075 1.25 0.999804 0.999612 0.999242 0.000348927 -234.91 0.00573849 
0.1 0.075 1.255 0.999822 0.999648 0.99931 0.00029389 -234.917 0.00500311 
0.1 0.075 1.255 0.99978 0.999565 0.999149 0.000391363 -234.898 0.00645469 
0.1 0.075 1.26 0.999794 0.999593 0.999204 0.00037441 -234.906 0.00577974 
0.1 0.075 1.26 0.999806 0.999616 0.999247 0.000311299 -234.909 0.00537341 
0.1 0.075 1.265 0.999776 0.999557 0.999132 0.00037548 -234.896 0.00622294 
0.1 0.075 1.265 0.999826 0.999656 0.999326 0.000291678 -234.919 0.00484266 
0.1 0.075 1.27 0.999782 0.999569 0.999155 0.000358463 -234.898 0.00606935 
0.1 0.075 1.27 0.999786 0.999577 0.999171 0.000358599 -234.901 0.00590558 
0.1 0.075 1.275 0.999758 0.999521 0.999062 0.000400113 -234.887 0.00668579 
0.1 0.075 1.275 0.99981 0.999624 0.999262 0.000295208 -234.911 0.00511462 
0.1 0.075 1.28 0.999788 0.999581 0.999181 0.000377739 -234.902 0.00602921 
0.1 0.075 1.28 0.999804 0.999612 0.99924 0.000309499 -234.908 0.00533223 
0.1 0.075 1.285 0.999746 0.999498 0.999017 0.00043389 -234.883 0.00689498 
0.1 0.075 1.285 0.99977 0.999545 0.999108 0.000360086 -234.892 0.00619011 
0.1 0.075 1.29 0.999766 0.999537 0.999095 0.000401957 -234.892 0.00640167 
0.1 0.075 1.29 0.999772 0.999549 0.999115 0.00035566 -234.893 0.00601009 
0.1 0.075 1.295 0.999768 0.999541 0.999101 0.000378855 -234.892 0.00630323 
0.1 0.075 1.295 0.999752 0.999509 0.999039 0.000402973 -234.885 0.00655551 
0.1 0.075 1.3 0.99972 0.999446 0.998916 0.000461662 -234.871 0.00737124 
0.1 0.075 1.3 0.99971 0.999427 0.998881 0.000531992 -234.868 0.00808376 
0.1 0.075 1.305 0.99971 0.999427 0.998879 0.000505433 -234.867 0.00777157 
0.1 0.075 1.305 0.999752 0.999509 0.99904 0.000406015 -234.885 0.0065592 
0.1 0.075 1.31 0.999748 0.999501 0.999024 0.00041042 -234.884 0.00653189 
0.1 0.075 1.31 0.999706 0.999419 0.998866 0.00053386 -234.867 0.00773348 
0.1 0.075 1.315 0.999674 0.999355 0.998737 0.000518154 -234.848 0.00855017 
0.1 0.075 1.315 0.999706 0.999419 0.998864 0.000507495 -234.866 0.00767712 
0.1 0.075 1.32 0.999724 0.999454 0.998934 0.000479078 -234.874 0.00732146 
0.1 0.075 1.32 0.999732 0.99947 0.998964 0.000455165 -234.877 0.00703801 
0.1 0.075 1.325 0.999678 0.999363 0.998752 0.000508401 -234.85 0.00816612 
0.1 0.075 1.325 0.999684 0.999375 0.998777 0.000517747 -234.854 0.00817582 
0.1 0.075 1.33 0.999626 0.99926 0.998551 0.000581964 -234.826 0.00928991 
0.1 0.075 1.33 0.9997 0.999407 0.998839 0.000486466 -234.862 0.00755229 
0.1 0.075 1.335 0.999688 0.999383 0.998793 0.000514057 -234.856 0.00805745 
0.1 0.075 1.335 0.999656 0.999319 0.998667 0.000530462 -234.84 0.00854716 
0.1 0.075 1.34 0.999632 0.999272 0.998575 0.000586909 -234.829 0.00918885 
0.1 0.075 1.34 0.999678 0.999363 0.998754 0.000520621 -234.852 0.00798901 
0.1 0.075 1.345 0.99965 0.999309 0.998651 0.000630297 -234.842 0.00902986 
0.1 0.075 1.345 0.999654 0.999316 0.998664 0.000594817 -234.841 0.00874825 
0.1 0.075 1.35 0.999618 0.999244 0.998521 0.000602524 -234.822 0.00949427 
0.1 0.075 1.35 0.99964 0.999288 0.998606 0.000571141 -234.833 0.00889942 
0.1 0.075 1.355 0.999668 0.999344 0.998717 0.000558655 -234.849 0.00816459 
0.1 0.075 1.355 0.999602 0.999213 0.998462 0.00065842 -234.817 0.00971823 
0.1 0.075 1.36 0.999652 0.999311 0.998652 0.000538154 -234.838 0.00830865 
0.1 0.075 1.36 0.999632 0.999272 0.998576 0.000590042 -234.829 0.00916531 
0.1 0.075 1.365 0.999624 0.999256 0.998545 0.000599167 -234.827 0.00898257 
0.1 0.075 1.365 0.999642 0.999292 0.998616 0.000585482 -234.835 0.00873714 
0.1 0.075 1.37 0.99958 0.999169 0.998372 0.000635299 -234.804 0.00996054 
0.1 0.075 1.37 0.999566 0.999143 0.99833 0.000818368 -234.801 0.010639 
0.1 0.075 1.375 0.999544 0.999097 0.998232 0.000671423 -234.787 0.010506 
0.1 0.075 1.375 0.99958 0.999169 0.998374 0.000650444 -234.805 0.00995786 
0.1 0.075 1.38 0.999538 0.999086 0.998214 0.000741055 -234.788 0.0109557 
0.1 0.075 1.38 0.999472 0.998956 0.997961 0.000884146 -234.758 0.0124966 
0.1 0.075 1.385 0.999554 0.999118 0.998272 0.000675891 -234.792 0.0104969 
0.1 0.075 1.385 0.999502 0.999015 0.998076 0.000810974 -234.772 0.0118237 
0.1 0.075 1.39 0.999512 0.999035 0.998111 0.00075409 -234.774 0.0114294 
0.1 0.075 1.39 0.999544 0.999098 0.998234 0.000692954 -234.789 0.0104623 
0.1 0.075 1.395 0.999548 0.999106 0.998253 0.000725139 -234.791 0.0106196 
0.1 0.075 1.395 0.999574 0.999158 0.998353 0.000683765 -234.805 0.00993952 
0.1 0.075 1.4 0.999476 0.998964 0.997973 0.000814673 -234.756 0.012331 
