J: 3.41735 1.11132 0 0 
nth step2 temperature e 
1 2048 1.54 -217.358 
1 2048 1.54 -217.419 
1 2048 1.54 -217.749 
1 2048 1.54 -217.617 
1 2048 1.54 -217.511 
1 2048 1.54 -217.602 
1 2048 1.54 -217.844 
1 2048 1.54 -217.555 
1 2048 1.54 -217.534 
1 2048 1.54 -217.651 
1 2048 1.54 -217.449 
1 2048 1.54 -217.611 
1 2048 1.54 -217.797 
1 2048 1.54 -217.667 
1 2048 1.545 -217.429 
1 2048 1.545 -217.62 
1 2048 1.545 -217.327 
1 2048 1.545 -217.658 
1 2048 1.545 -217.561 
1 2048 1.545 -217.64 
1 2048 1.545 -217.638 
1 2048 1.545 -217.487 
1 2048 1.545 -217.509 
1 2048 1.545 -217.549 
1 2048 1.545 -217.586 
1 2048 1.545 -217.564 
1 2048 1.545 -217.627 
1 2048 1.545 -217.593 
1 2048 1.545 -217.625 
1 2048 1.545 -217.507 
1 2048 1.545 -217.515 
1 2048 1.545 -217.513 
1 2048 1.545 -217.388 
1 2048 1.545 -217.48 
1 2048 1.545 -217.634 
1 2048 1.545 -217.571 
1 2048 1.545 -217.554 
1 2048 1.545 -217.636 
1 2048 1.545 -217.365 
1 2048 1.55 -217.482 
1 2048 1.55 -217.649 
1 2048 1.55 -217.423 
1 2048 1.55 -217.399 
1 2048 1.55 -217.511 
1 2048 1.55 -217.513 
1 2048 1.55 -217.475 
1 2048 1.55 -217.478 
1 2048 1.55 -217.635 
1 2048 1.55 -217.531 
1 2048 1.55 -217.248 
1 2048 1.55 -217.641 
1 2048 1.55 -217.472 
1 2048 1.55 -217.672 
1 2048 1.55 -217.485 
1 2048 1.55 -217.463 
1 2048 1.55 -217.543 
1 2048 1.55 -217.652 
1 2048 1.55 -217.461 
1 2048 1.55 -217.63 
1 2048 1.55 -217.545 
1 2048 1.55 -217.588 
1 2048 1.55 -217.601 
1 2048 1.55 -217.547 
1 2048 1.55 -217.686 
1 2048 1.555 -217.498 
1 2048 1.555 -217.357 
1 2048 1.555 -217.379 
1 2048 1.555 -217.503 
1 2048 1.555 -217.142 
1 2048 1.555 -217.265 
1 2048 1.555 -217.254 
1 2048 1.555 -217.267 
1 2048 1.555 -217.491 
1 2048 1.555 -217.335 
1 2048 1.555 -217.361 
1 2048 1.555 -217.636 
1 2048 1.555 -217.554 
1 2048 1.555 -217.405 
1 2048 1.555 -217.497 
1 2048 1.555 -217.416 
1 2048 1.555 -217.344 
1 2048 1.555 -217.454 
1 2048 1.555 -217.513 
1 2048 1.555 -217.241 
1 2048 1.555 -217.447 
1 2048 1.555 -217.374 
1 2048 1.555 -217.454 
1 2048 1.555 -217.223 
1 2048 1.555 -217.333 
1 2048 1.56 -217.256 
1 2048 1.56 -217.285 
1 2048 1.56 -217.195 
1 2048 1.56 -217.34 
1 2048 1.56 -217.235 
1 2048 1.56 -217.436 
1 2048 1.56 -217.139 
1 2048 1.56 -217.165 
1 2048 1.56 -217.455 
1 2048 1.56 -217.396 
1 2048 1.56 -217.442 
1 2048 1.56 -217.516 
1 2048 1.56 -217.473 
1 2048 1.56 -217.445 
1 2048 1.56 -217.291 
1 2048 1.56 -217.448 
1 2048 1.56 -217.076 
1 2048 1.56 -217.485 
1 2048 1.56 -217.395 
1 2048 1.56 -217.27 
1 2048 1.56 -217.253 
1 2048 1.56 -217.225 
1 2048 1.56 -217.33 
1 2048 1.56 -217.454 
1 2048 1.56 -217.339 
1 2048 1.565 -217.458 
1 2048 1.565 -217.348 
1 2048 1.565 -217.331 
1 2048 1.565 -217.034 
1 2048 1.565 -217.372 
1 2048 1.565 -217.384 
1 2048 1.565 -217.37 
1 2048 1.565 -217.296 
1 2048 1.565 -217.382 
1 2048 1.565 -217.295 
1 2048 1.565 -217.314 
1 2048 1.565 -217.323 
1 2048 1.565 -217.391 
1 2048 1.565 -217.157 
1 2048 1.565 -217.133 
1 2048 1.565 -217.296 
1 2048 1.565 -217.388 
1 2048 1.565 -217.38 
1 2048 1.565 -217.402 
1 2048 1.565 -217.468 
1 2048 1.565 -217.365 
1 2048 1.565 -217.453 
1 2048 1.565 -217.376 
1 2048 1.565 -217.346 
1 2048 1.565 -217.457 
1 2048 1.57 -217.256 
1 2048 1.57 -217.152 
1 2048 1.57 -217.186 
1 2048 1.57 -217.368 
1 2048 1.57 -217.276 
1 2048 1.57 -217.308 
1 2048 1.57 -217.363 
1 2048 1.57 -217.116 
1 2048 1.57 -217.304 
1 2048 1.57 -217.198 
1 2048 1.57 -217.206 
1 2048 1.57 -217.177 
1 2048 1.57 -217.305 
1 2048 1.57 -217.358 
1 2048 1.57 -217.203 
1 2048 1.57 -217.43 
