J: 8.66854 1.22259 -0.0641977 -0.0207783 
nth temperature m m2 m4 ms e sp_h 
3 1.2 0.997624 0.995312 0.990872 0.00486955 -218.921 0.0779169 
3 1.205 0.997468 0.995002 0.99026 0.00494514 -218.841 0.0805255 
3 1.205 0.997538 0.99514 0.990529 0.00481814 -218.882 0.0773323 
3 1.21 0.997416 0.994904 0.990086 0.0054052 -218.832 0.0839148 
3 1.21 0.997474 0.995017 0.990298 0.00514209 -218.854 0.0808653 
3 1.215 0.997468 0.995004 0.990273 0.00510197 -218.854 0.0795536 
3 1.215 0.997442 0.994955 0.990183 0.0052919 -218.85 0.0805691 
3 1.22 0.997284 0.994642 0.989571 0.00547404 -218.776 0.0837389 
3 1.22 0.99726 0.994594 0.989477 0.00548298 -218.769 0.0830577 
3 1.225 0.997226 0.994527 0.989343 0.00547469 -218.744 0.0843171 
3 1.225 0.997222 0.994521 0.989342 0.00568838 -218.749 0.0869523 
3 1.23 0.997106 0.994289 0.988879 0.00561827 -218.691 0.0865646 
3 1.23 0.997174 0.994424 0.989142 0.00552632 -218.719 0.0851364 
3 1.235 0.997048 0.994178 0.988673 0.00594054 -218.664 0.0903917 
3 1.235 0.99695 0.993983 0.988289 0.0059998 -218.618 0.0917835 
3 1.24 0.996996 0.994072 0.988455 0.00574322 -218.638 0.0888661 
3 1.24 0.996974 0.99403 0.988379 0.00589704 -218.631 0.0893356 
3 1.245 0.996944 0.993968 0.988249 0.00571413 -218.611 0.0887965 
3 1.245 0.996842 0.99377 0.987871 0.00607767 -218.573 0.092318 
3 1.25 0.996816 0.993723 0.987795 0.00644657 -218.57 0.095295 
3 1.25 0.996744 0.993581 0.987523 0.00662068 -218.533 0.0990816 
3 1.255 0.996786 0.99366 0.98766 0.00618567 -218.549 0.0924118 
3 1.255 0.99656 0.993214 0.986791 0.00654075 -218.445 0.0989265 
3 1.26 0.996692 0.993476 0.987307 0.00642676 -218.508 0.0949236 
3 1.26 0.996564 0.993225 0.986824 0.0067519 -218.459 0.0987442 
3 1.265 0.996416 0.992932 0.986249 0.00686442 -218.385 0.101138 
3 1.265 0.996472 0.993047 0.98649 0.00715519 -218.412 0.103099 
3 1.27 0.996358 0.992825 0.986067 0.00751936 -218.375 0.105403 
3 1.27 0.996342 0.992785 0.98596 0.00689284 -218.341 0.102767 
3 1.275 0.996258 0.992621 0.985648 0.00713705 -218.314 0.104834 
3 1.275 0.996214 0.992536 0.985486 0.00731813 -218.298 0.105619 
3 1.28 0.995984 0.992086 0.984628 0.00797748 -218.204 0.113265 
3 1.28 0.996378 0.992862 0.986132 0.00725946 -218.377 0.102683 
3 1.285 0.996116 0.992346 0.98513 0.00767895 -218.266 0.108686 
3 1.285 0.996102 0.992313 0.985049 0.00733117 -218.247 0.105325 
3 1.29 0.99606 0.992234 0.984905 0.00760902 -218.229 0.107878 
3 1.29 0.996102 0.992316 0.985065 0.00751361 -218.25 0.10838 
3 1.295 0.995746 0.991613 0.983695 0.00797093 -218.082 0.11541 
3 1.295 0.99571 0.991549 0.983595 0.00854022 -218.08 0.120828 
3 1.3 0.995742 0.991612 0.983715 0.0084238 -218.097 0.118152 
3 1.3 0.99573 0.991584 0.983644 0.00810208 -218.09 0.113899 
3 1.305 0.995684 0.991497 0.983488 0.00843618 -218.06 0.117917 
3 1.305 0.995568 0.991272 0.983064 0.00888562 -218.032 0.120352 
3 1.31 0.995558 0.991249 0.983012 0.00867089 -218.011 0.12184 
3 1.31 0.995676 0.99148 0.983451 0.00831931 -218.061 0.116941 
3 1.315 0.995314 0.990765 0.982061 0.00877881 -217.9 0.122826 
3 1.315 0.995448 0.991032 0.982588 0.00877257 -217.971 0.119599 
3 1.32 0.99545 0.991031 0.982568 0.00836799 -217.946 0.119254 
3 1.32 0.995314 0.99077 0.982087 0.00909708 -217.906 0.125388 
3 1.325 0.995134 0.990418 0.981413 0.00954883 -217.832 0.129116 
3 1.325 0.99535 0.99084 0.982218 0.00892509 -217.92 0.122896 
3 1.33 0.994986 0.990123 0.980828 0.00948119 -217.755 0.130416 
3 1.33 0.994906 0.989968 0.980537 0.00979934 -217.723 0.134496 
3 1.335 0.994862 0.989878 0.98035 0.00956112 -217.699 0.132221 
3 1.335 0.994818 0.989797 0.980215 0.0100724 -217.699 0.135266 
3 1.34 0.994796 0.98975 0.980105 0.00973421 -217.678 0.131563 
3 1.34 0.994628 0.989421 0.979474 0.010133 -217.618 0.133926 
3 1.345 0.99441 0.989001 0.978698 0.0111637 -217.54 0.142894 
3 1.345 0.994568 0.989309 0.979283 0.0106895 -217.609 0.136853 
3 1.35 0.994324 0.988829 0.978352 0.011018 -217.498 0.142363 
3 1.35 0.994374 0.988927 0.978543 0.0109502 -217.502 0.143567 
3 1.355 0.994378 0.988933 0.978546 0.0107478 -217.514 0.137951 
3 1.355 0.994306 0.988792 0.978274 0.0108825 -217.464 0.143405 
3 1.36 0.994266 0.988712 0.978115 0.0108148 -217.445 0.142618 
3 1.36 0.994222 0.988628 0.977961 0.0110599 -217.45 0.14253 
3 1.365 0.993928 0.988053 0.976862 0.0117634 -217.308 0.150243 
3 1.365 0.994214 0.988605 0.97789 0.010491 -217.418 0.140298 
3 1.37 0.993996 0.988188 0.977124 0.0116461 -217.353 0.144993 
3 1.37 0.994038 0.988268 0.977274 0.0114522 -217.363 0.146365 
3 1.375 0.993534 0.98728 0.975372 0.0123862 -217.152 0.154696 
3 1.375 0.993806 0.987812 0.97639 0.0117407 -217.269 0.148609 
3 1.38 0.993362 0.986946 0.974739 0.0128737 -217.085 0.159789 
3 1.38 0.99366 0.987534 0.975887 0.0126119 -217.224 0.154387 
3 1.385 0.99327 0.986769 0.97441 0.0132352 -217.035 0.165121 
