size temperature m m2 m4 mag_sus 
10 1.61 0.992222 0.984748 0.97064 0.0151169 
10 1.615 0.991958 0.984246 0.969725 0.0164165 
10 1.615 0.991782 0.983896 0.969039 0.0163829 
10 1.615 0.991858 0.984043 0.969316 0.0161231 
10 1.615 0.99196 0.984257 0.969773 0.0168371 
10 1.615 0.992004 0.984333 0.969886 0.0161823 
10 1.62 0.992076 0.984464 0.970103 0.0153636 
10 1.62 0.992094 0.984493 0.97014 0.0149688 
10 1.62 0.991942 0.984201 0.9696 0.0155697 
10 1.62 0.991964 0.984248 0.969698 0.0157619 
10 1.62 0.991764 0.983864 0.968993 0.0165585 
10 1.625 0.991722 0.983775 0.968795 0.0161277 
10 1.625 0.991774 0.983881 0.969015 0.0163036 
10 1.625 0.991574 0.983481 0.968218 0.0161134 
10 1.625 0.991672 0.983694 0.968702 0.0172901 
10 1.625 0.9915 0.983347 0.967997 0.0168855 
10 1.63 0.991734 0.983798 0.968843 0.0160462 
10 1.63 0.991618 0.983574 0.968422 0.0164431 
10 1.63 0.99143 0.983209 0.967732 0.016915 
10 1.63 0.991522 0.983393 0.968097 0.0170113 
10 1.63 0.991798 0.983924 0.969084 0.0159734 
10 1.635 0.991504 0.983353 0.968005 0.0167032 
10 1.635 0.991422 0.983185 0.967656 0.0163656 
10 1.635 0.991368 0.983085 0.967485 0.0167858 
10 1.635 0.99153 0.983402 0.968089 0.0165076 
10 1.635 0.991586 0.983506 0.96827 0.0160712 
10 1.64 0.991062 0.982498 0.966402 0.0179215 
10 1.64 0.990914 0.982209 0.965843 0.0181686 
10 1.64 0.991482 0.983296 0.967845 0.0158027 
10 1.64 0.991064 0.982506 0.966429 0.018209 
10 1.64 0.99072 0.98184 0.965174 0.0191099 
10 1.645 0.991178 0.982707 0.966741 0.0166257 
10 1.645 0.991054 0.98248 0.966358 0.0177513 
10 1.645 0.990848 0.982079 0.965597 0.0181982 
10 1.645 0.990632 0.98167 0.964857 0.0193411 
10 1.645 0.990852 0.982085 0.965595 0.0180568 
10 1.65 0.990634 0.981662 0.964807 0.0185696 
10 1.65 0.990808 0.982003 0.965456 0.0183604 
10 1.65 0.990946 0.982265 0.965933 0.0176282 
10 1.65 0.990756 0.981908 0.965292 0.0188017 
10 1.65 0.990828 0.982055 0.965601 0.0190906 
10 1.655 0.990774 0.981935 0.965324 0.0182695 
10 1.655 0.990554 0.981503 0.964494 0.0184951 
10 1.655 0.990462 0.981326 0.96416 0.0187811 
10 1.655 0.990584 0.981573 0.964654 0.0191311 
10 1.655 0.990652 0.981698 0.964876 0.0185266 
10 1.66 0.990402 0.981226 0.964029 0.0198987 
10 1.66 0.990276 0.980958 0.963443 0.0187569 
10 1.66 0.990268 0.980971 0.963562 0.0205258 
10 1.66 0.99063 0.981656 0.964797 0.0185689 
10 1.66 0.990234 0.980897 0.963383 0.0200979 
10 1.665 0.990036 0.980498 0.962593 0.0196131 
10 1.665 0.989928 0.980275 0.962128 0.01907 
10 1.665 0.99049 0.981379 0.964259 0.0185465 
10 1.665 0.990486 0.981367 0.964219 0.0182729 
10 1.665 0.990074 0.980575 0.962746 0.0197138 
10 1.67 0.989976 0.980394 0.96244 0.0204646 
10 1.67 0.989838 0.980111 0.961857 0.0198739 
10 1.67 0.990242 0.980896 0.963343 0.0189761 
10 1.67 0.990166 0.980739 0.963012 0.0186091 
10 1.67 0.989596 0.979666 0.961091 0.0219016 
10 1.675 0.989782 0.980009 0.961682 0.0203387 
10 1.675 0.989588 0.979639 0.961008 0.021172 
10 1.675 0.989766 0.97999 0.961687 0.0210976 
10 1.675 0.989504 0.979484 0.960745 0.0218647 
10 1.675 0.989568 0.979607 0.960973 0.0216151 
10 1.68 0.989822 0.9801 0.961896 0.0209648 
10 1.68 0.989556 0.97956 0.960802 0.0201549 
10 1.68 0.9893 0.979086 0.959984 0.0221232 
10 1.68 0.989784 0.98001 0.961679 0.020121 
10 1.68 0.989526 0.979501 0.960691 0.0201962 
10 1.685 0.989214 0.978915 0.959642 0.021993 
10 1.685 0.989082 0.978674 0.959234 0.0231808 
10 1.685 0.989456 0.979385 0.960529 0.0214709 
10 1.685 0.989214 0.978928 0.959712 0.0227574 
10 1.685 0.989188 0.978871 0.959585 0.0224226 
10 1.69 0.989368 0.979196 0.96012 0.0205491 
10 1.69 0.989304 0.979075 0.9599 0.020866 
10 1.69 0.988852 0.978191 0.958211 0.0214747 
10 1.69 0.989066 0.978628 0.959108 0.0222868 
10 1.69 0.989166 0.978833 0.959526 0.0226902 
10 1.695 0.988722 0.977983 0.957961 0.0243001 
10 1.695 0.988876 0.978297 0.958537 0.0248789 
10 1.695 0.988642 0.977826 0.95766 0.0243537 
10 1.695 0.988844 0.978198 0.958291 0.0227365 
10 1.695 0.988778 0.97805 0.957955 0.0217408 
10 1.7 0.988648 0.977804 0.957507 0.0223019 
10 1.7 0.988604 0.977743 0.957475 0.023843 
10 1.7 0.988568 0.977655 0.957252 0.0228582 
10 1.7 0.988586 0.977699 0.957367 0.0233365 
10 1.7 0.988686 0.97791 0.957814 0.0241384 
10 1.705 0.988038 0.976651 0.955432 0.0253555 
10 1.705 0.988248 0.977041 0.956119 0.0238904 
10 1.705 0.988562 0.977648 0.957241 0.0230576 
10 1.705 0.988548 0.977599 0.95708 0.0217931 
10 1.705 0.988356 0.977261 0.956557 0.0242403 
10 1.71 0.987734 0.976085 0.954407 0.02726 
10 1.71 0.98809 0.976736 0.955526 0.0242311 
10 1.71 0.988346 0.977211 0.956368 0.0224178 
10 1.71 0.988058 0.976682 0.955465 0.0247479 
10 1.71 0.988042 0.976643 0.955369 0.0243138 
10 1.715 0.98786 0.976295 0.95473 0.0249551 
10 1.715 0.987896 0.976362 0.95484 0.0246842 
10 1.715 0.987856 0.976299 0.954766 0.0256352 
10 1.715 0.98784 0.97625 0.954616 0.0245956 
10 1.715 0.98772 0.976033 0.954269 0.0257867 
10 1.72 0.987666 0.975951 0.954173 0.0271577 
10 1.72 0.987422 0.975436 0.953075 0.0252043 
10 1.72 0.987162 0.974944 0.952195 0.0264899 
10 1.72 0.987232 0.975112 0.952606 0.0281825 
10 1.72 0.987468 0.975543 0.953334 0.0261808 
10 1.725 0.987142 0.974933 0.952255 0.0280158 
10 1.725 0.987084 0.974819 0.95204 0.0280798 
10 1.725 0.98693 0.974509 0.951413 0.0276925 
10 1.725 0.987716 0.976017 0.954188 0.0251677 
10 1.725 0.987456 0.975527 0.95333 0.0265512 
10 1.73 0.986982 0.974641 0.951761 0.0293093 
10 1.73 0.986998 0.974641 0.951671 0.0275253 
10 1.73 0.987336 0.975273 0.952788 0.025495 
10 1.73 0.987326 0.975274 0.952848 0.0266896 
10 1.73 0.987232 0.9751 0.952543 0.0273675 
10 1.735 0.98654 0.97377 0.950082 0.0293365 
10 1.735 0.987006 0.974644 0.95163 0.0267064 
10 1.735 0.986702 0.97405 0.950488 0.0270572 
10 1.735 0.986654 0.973978 0.950415 0.028376 
