size temperature m m2 m4 ms e sp_h 
10 1.5 0.995468 0.991086 0.982743 0.0086094 -218.032 0.0934064 
10 1.5 0.995402 0.99095 0.982461 0.00833723 -217.993 0.0933846 
10 1.5 0.995444 0.991035 0.982634 0.00844552 -217.997 0.0949583 
10 1.505 0.995198 0.990555 0.981717 0.00903261 -217.908 0.0975871 
10 1.505 0.99531 0.990777 0.982152 0.00899694 -217.959 0.0959814 
10 1.505 0.99551 0.991168 0.982899 0.00848106 -218.044 0.0909624 
10 1.51 0.995232 0.990627 0.981873 0.00927061 -217.935 0.0977886 
10 1.51 0.995296 0.990751 0.982105 0.00904056 -217.958 0.096181 
10 1.51 0.994996 0.990167 0.980998 0.00991788 -217.835 0.104899 
10 1.515 0.995084 0.990332 0.981291 0.00923518 -217.872 0.0983794 
10 1.515 0.994948 0.990071 0.980804 0.00984273 -217.823 0.0999899 
10 1.515 0.995154 0.990469 0.981556 0.00910867 -217.899 0.0980234 
10 1.52 0.994734 0.989661 0.980049 0.0108625 -217.756 0.10528 
10 1.52 0.994662 0.989504 0.979696 0.00997012 -217.697 0.105604 
10 1.52 0.99504 0.990245 0.981118 0.00921305 -217.854 0.0976669 
10 1.525 0.994752 0.989682 0.980043 0.00988187 -217.714 0.105856 
10 1.525 0.994944 0.990056 0.980753 0.00934012 -217.809 0.0982042 
10 1.525 0.994908 0.989984 0.980612 0.00933715 -217.784 0.101406 
10 1.53 0.994494 0.98918 0.97909 0.010565 -217.64 0.106427 
10 1.53 0.99478 0.989736 0.980145 0.00973278 -217.744 0.102702 
10 1.53 0.994694 0.989572 0.979847 0.0102148 -217.72 0.104134 
10 1.535 0.994634 0.989449 0.979589 0.0099157 -217.679 0.104979 
10 1.535 0.9945 0.98919 0.979107 0.0104384 -217.631 0.109706 
10 1.535 0.994648 0.989486 0.979695 0.0105326 -217.709 0.10428 
10 1.54 0.99442 0.989038 0.978827 0.0108197 -217.592 0.111006 
10 1.54 0.994624 0.989431 0.979558 0.010009 -217.676 0.10282 
10 1.54 0.994438 0.989075 0.978904 0.0108925 -217.626 0.108265 
10 1.545 0.994188 0.988569 0.977876 0.0103081 -217.469 0.110116 
10 1.545 0.994312 0.988831 0.978447 0.0113169 -217.565 0.112248 
10 1.545 0.994248 0.988703 0.978187 0.0112437 -217.53 0.111099 
10 1.55 0.994018 0.988261 0.977374 0.0122126 -217.452 0.120163 
10 1.55 0.994098 0.988407 0.977614 0.0113398 -217.479 0.113007 
10 1.55 0.994102 0.988419 0.977649 0.0115957 -217.485 0.112681 
10 1.555 0.994046 0.988305 0.977419 0.0114437 -217.438 0.113154 
10 1.555 0.994188 0.988581 0.977941 0.010993 -217.501 0.111334 
10 1.555 0.994018 0.988257 0.977347 0.0118955 -217.454 0.113503 
10 1.56 0.993884 0.987988 0.976812 0.0116945 -217.374 0.118429 
10 1.56 0.993836 0.987892 0.976621 0.0116824 -217.353 0.116786 
10 1.56 0.993922 0.988061 0.976948 0.0115678 -217.393 0.115131 
10 1.565 0.993624 0.987486 0.975873 0.0126202 -217.286 0.121082 
10 1.565 0.993696 0.987623 0.976121 0.0122185 -217.311 0.117516 
10 1.565 0.993474 0.987192 0.975306 0.012857 -217.202 0.125817 
10 1.57 0.993986 0.988182 0.977165 0.0110899 -217.405 0.111722 
10 1.57 0.993714 0.987657 0.976179 0.0120386 -217.316 0.114882 
10 1.57 0.993436 0.987116 0.975156 0.0128022 -217.214 0.121782 
10 1.575 0.993324 0.986898 0.974735 0.0130178 -217.157 0.120259 
10 1.575 0.993388 0.987024 0.974987 0.012955 -217.185 0.127575 
10 1.575 0.993484 0.9872 0.975281 0.012009 -217.214 0.118117 
10 1.58 0.993324 0.986895 0.974725 0.0127893 -217.163 0.121719 
10 1.58 0.993416 0.987087 0.975135 0.0133931 -217.214 0.124196 
10 1.58 0.993262 0.986785 0.974552 0.0136202 -217.152 0.125583 
10 1.585 0.993062 0.986383 0.973747 0.0133037 -217.037 0.12849 
10 1.585 0.993068 0.986398 0.973784 0.0134831 -217.047 0.127001 
10 1.585 0.993102 0.986455 0.973861 0.0128036 -217.042 0.125862 
10 1.59 0.993118 0.986511 0.974055 0.014342 -217.106 0.127905 
10 1.59 0.993228 0.986715 0.974406 0.0133824 -217.115 0.126098 
10 1.59 0.992692 0.985666 0.972394 0.0143568 -216.888 0.134353 
10 1.595 0.99272 0.985714 0.972467 0.013876 -216.905 0.130312 
10 1.595 0.992728 0.98573 0.9725 0.0138883 -216.883 0.134735 
10 1.595 0.992556 0.985399 0.971884 0.0145371 -216.851 0.133982 
10 1.6 0.992508 0.985329 0.971807 0.0160769 -216.849 0.133858 
10 1.6 0.992618 0.985524 0.972129 0.0146116 -216.866 0.132164 
10 1.6 0.992536 0.985372 0.971876 0.015293 -216.871 0.13733 
10 1.605 0.992506 0.985299 0.971683 0.0143576 -216.821 0.13495 
10 1.605 0.992472 0.985232 0.971554 0.0144081 -216.812 0.134938 
10 1.605 0.992426 0.98515 0.971422 0.0149953 -216.789 0.13718 
10 1.61 0.992216 0.984736 0.970622 0.0151087 -216.725 0.137874 
10 1.61 0.992178 0.984653 0.970431 0.014642 -216.663 0.138721 
10 1.61 0.991994 0.984334 0.969954 0.0175369 -216.673 0.144938 
10 1.615 0.992074 0.98447 0.97015 0.0160556 -216.66 0.141398 
10 1.615 0.99226 0.98482 0.970775 0.0148416 -216.722 0.140216 
10 1.615 0.991868 0.984073 0.969408 0.0167846 -216.575 0.146106 
10 1.62 0.99193 0.984177 0.969552 0.0155725 -216.614 0.137543 
10 1.62 0.99196 0.984238 0.969675 0.0156592 -216.597 0.140355 
10 1.62 0.991716 0.983758 0.968746 0.0158726 -216.493 0.146078 
10 1.625 0.991894 0.984112 0.969447 0.0159072 -216.607 0.139237 
10 1.625 0.991468 0.983289 0.967904 0.0172458 -216.441 0.148323 
10 1.625 0.99187 0.984079 0.969422 0.0168187 -216.581 0.144029 
10 1.63 0.991766 0.983873 0.969024 0.0167559 -216.538 0.147855 
10 1.63 0.991518 0.983383 0.968063 0.0168795 -216.421 0.148301 
10 1.63 0.991326 0.983006 0.967345 0.0170995 -216.362 0.149645 
10 1.635 0.991472 0.983291 0.967888 0.0167727 -216.41 0.148948 
10 1.635 0.991424 0.983194 0.96769 0.0166931 -216.371 0.148573 
10 1.635 0.991046 0.982474 0.966373 0.0184579 -216.244 0.156445 
10 1.64 0.991186 0.982727 0.966792 0.0168996 -216.289 0.151265 
10 1.64 0.99116 0.982677 0.9667 0.0169814 -216.29 0.151617 
10 1.64 0.99139 0.98313 0.967574 0.016809 -216.388 0.145718 
10 1.645 0.991068 0.982495 0.966345 0.0169811 -216.237 0.150451 
10 1.645 0.991128 0.982622 0.96662 0.0174448 -216.292 0.151035 
10 1.645 0.990914 0.982215 0.965858 0.0184927 -216.179 0.156255 
10 1.65 0.990768 0.981919 0.965278 0.0180346 -216.131 0.157235 
10 1.65 0.990886 0.982165 0.965799 0.018813 -216.188 0.158229 
10 1.65 0.990826 0.982031 0.965488 0.0178786 -216.162 0.152856 
10 1.655 0.990594 0.981587 0.964674 0.018792 -216.081 0.159745 
10 1.655 0.990638 0.981663 0.96478 0.0180733 -216.069 0.156477 
10 1.655 0.990278 0.980973 0.963504 0.0194564 -215.947 0.163219 
10 1.66 0.990532 0.981467 0.964444 0.0188697 -216.065 0.155925 
10 1.66 0.99031 0.981033 0.963614 0.0192231 -215.947 0.163947 
10 1.66 0.99038 0.98118 0.963924 0.0197118 -216.004 0.160986 
10 1.665 0.990042 0.980542 0.962778 0.0215687 -215.898 0.166465 
10 1.665 0.990094 0.980651 0.963011 0.0219334 -215.933 0.168347 
10 1.665 0.990328 0.981053 0.963602 0.0182518 -215.935 0.156758 
10 1.67 0.990008 0.980464 0.962591 0.0208335 -215.846 0.167228 
10 1.67 0.990202 0.980825 0.963228 0.0194658 -215.946 0.159857 
10 1.67 0.989638 0.979722 0.96112 0.0202939 -215.698 0.170622 
10 1.675 0.989574 0.979603 0.960911 0.0206889 -215.672 0.168388 
10 1.675 0.989678 0.979802 0.961274 0.0202446 -215.701 0.169525 
10 1.675 0.989758 0.979977 0.961667 0.0212693 -215.759 0.167992 
10 1.68 0.989556 0.97955 0.960747 0.0195502 -215.63 0.167993 
10 1.68 0.989288 0.97906 0.959923 0.0219508 -215.58 0.174182 
10 1.68 0.989576 0.979621 0.960992 0.021456 -215.71 0.170859 
10 1.685 0.989482 0.979439 0.960651 0.0216292 -215.668 0.173615 
10 1.685 0.989302 0.979086 0.959974 0.0218346 -215.587 0.175928 
10 1.685 0.989502 0.979462 0.960641 0.0206523 -215.65 0.169084 
10 1.69 0.98921 0.978904 0.959617 0.0217714 -215.527 0.177308 
