size temperature err_m err_ms
16 2.386 0.0049264 0.0982818
16 2.387 0.00509906 0.100353
16 2.388 0.00516598 0.0936914
16 2.389 0.0048537 0.0952528
16 2.39 0.00505049 0.094154
16 2.391 0.00503883 0.0980369
16 2.392 0.00512299 0.0958044
16 2.393 0.00505087 0.0965515
16 2.394 0.00502812 0.0939881
16 2.395 0.00480838 0.0924457
16 2.396 0.00493819 0.0907886
16 2.397 0.00487044 0.0928117
16 2.398 0.00494867 0.0928127
16 2.399 0.00487587 0.0924567
16 2.4 0.00478143 0.0922202
16 2.401 0.00489521 0.0893831
16 2.402 0.00495434 0.0938797
16 2.403 0.00489336 0.0903195
16 2.404 0.00500204 0.0917749
16 2.405 0.00498535 0.0932582
16 2.406 0.00487705 0.090473
16 2.407 0.00501216 0.0934804
16 2.408 0.00487508 0.0926718
16 2.409 0.00481877 0.0925489
16 2.41 0.00492094 0.0897982
16 2.411 0.00500506 0.0925011
16 2.412 0.00489421 0.0906187
16 2.413 0.00484045 0.0914827
16 2.414 0.00469918 0.087255
16 2.415 0.00476526 0.0856076
16 2.416 0.00484499 0.0886294
16 2.417 0.00499961 0.0880101
16 2.418 0.00493029 0.0907213
16 2.419 0.00459903 0.0878576
16 2.42 0.00461394 0.0858236
16 2.421 0.004769 0.0891534
16 2.422 0.00479714 0.0878214
16 2.423 0.00482614 0.0922849
16 2.424 0.00475273 0.088256
16 2.425 0.00479554 0.0881681
16 2.426 0.00481478 0.0875979
16 2.427 0.00476892 0.0859703
16 2.428 0.00481713 0.0912254
16 2.429 0.0046688 0.0888997
16 2.43 0.00473079 0.0895427
16 2.431 0.00485562 0.0927026
16 2.432 0.00469671 0.0907343
16 2.433 0.00462097 0.0895408
16 2.434 0.00458865 0.089599
16 2.435 0.00462208 0.0865502
16 2.436 0.00479071 0.0874582
16 2.437 0.00461795 0.0905035
16 2.438 0.00478441 0.0905822
16 2.439 0.00456285 0.0846262
16 2.44 0.00464188 0.0871731
16 2.441 0.00453743 0.086841
16 2.442 0.00451254 0.0892014
16 2.443 0.00447391 0.0829933
16 2.444 0.0047809 0.0887161
16 2.445 0.00456101 0.0854641
16 2.446 0.00465751 0.0910024
16 2.447 0.00462455 0.0864401
16 2.448 0.00448785 0.0912899
16 2.449 0.00460581 0.0894539
16 2.45 0.00450906 0.0902218
16 2.451 0.00461566 0.0857577
16 2.452 0.00430565 0.0826426
16 2.453 0.00452965 0.0890679
16 2.454 0.00453275 0.0869955
16 2.455 0.00451451 0.0852482
16 2.456 0.00452545 0.0886811
16 2.457 0.00459604 0.0950047
16 2.458 0.00458686 0.0889621
16 2.459 0.0044758 0.0884337
16 2.46 0.0044338 0.0852019
16 2.461 0.00443491 0.0855433
16 2.462 0.00453897 0.0900567
16 2.463 0.0045714 0.0896409
16 2.464 0.0044323 0.0886339
16 2.465 0.00457924 0.0914201
16 2.466 0.00430416 0.0877408
16 2.467 0.00452137 0.0878381
16 2.468 0.00432561 0.0866475
16 2.469 0.00450312 0.0860261
16 2.47 0.00442927 0.092639
16 2.471 0.00443691 0.0917036
16 2.472 0.00452207 0.0895987
16 2.473 0.00422594 0.0865264
16 2.474 0.00447956 0.0900387
16 2.475 0.00427205 0.0831887
16 2.476 0.00427719 0.0862486
16 2.477 0.00437981 0.0887222
16 2.478 0.00435297 0.0874363
16 2.479 0.0042573 0.0851444
16 2.48 0.0043215 0.0864757
16 2.481 0.00424662 0.0813413
16 2.482 0.00435979 0.0852786
16 2.483 0.00423673 0.0848664
16 2.484 0.00442279 0.0901474
16 2.485 0.00429095 0.0843738
16 2.486 0.00416537 0.0849514
16 2.487 0.00423826 0.0862119
16 2.488 0.00426159 0.084815
16 2.489 0.00425165 0.0881591
16 2.49 0.0043215 0.0853138
16 2.491 0.00429693 0.0883126
16 2.492 0.00420619 0.0854639
16 2.493 0.00414122 0.0863852
16 2.494 0.00419962 0.0868999
16 2.495 0.00424906 0.088146
16 2.496 0.00415177 0.0845329
16 2.497 0.00412097 0.0810723
16 2.498 0.0040242 0.0839681
16 2.499 0.00415431 0.0845772
32 2.2 0.00196702 0.301672
32 2.201 0.00213227 0.236863
32 2.202 0.00211766 0.347175
32 2.203 0.00230579 0.36981
32 2.204 0.00209973 0.317473
32 2.205 0.00203044 0.31086
32 2.206 0.00201244 0.28309
32 2.207 0.00207254 0.311214
32 2.208 0.00229019 0.3095
32 2.209 0.00223187 0.324173
32 2.21 0.00206335 0.301106
32 2.211 0.00235091 0.360947
32 2.212 0.00241876 0.378141
32 2.213 0.00244271 0.428702
32 2.214 0.00247901 0.388456
32 2.215 0.00240812 0.425891
32 2.216 0.00242402 0.343708
32 2.217 0.00245422 0.372293
32 2.218 0.00243331 0.334826
32 2.219 0.00226481 0.314955
32 2.22 0.00282166 0.503195
