size temperature m m2 m4 ms 
80 2.119 0.857809 0.736236 0.5432 1.20964 
80 2.119 0.857432 0.735576 0.542187 1.16575 
80 2.12 0.856782 0.734468 0.540575 1.18268 
80 2.12 0.85663 0.734222 0.540252 1.22716 
80 2.12 0.85691 0.734699 0.540947 1.22104 
80 2.12 0.856795 0.734516 0.540714 1.26059 
80 2.12 0.857139 0.735094 0.541532 1.22709 
80 2.121 0.856211 0.733509 0.539214 1.24043 
80 2.121 0.856408 0.733831 0.539652 1.19794 
80 2.121 0.856232 0.733546 0.539277 1.24745 
80 2.121 0.856198 0.733477 0.539144 1.21238 
80 2.121 0.856115 0.733319 0.538867 1.16423 
80 2.122 0.855939 0.733035 0.538502 1.21712 
80 2.122 0.855587 0.73244 0.537649 1.23944 
80 2.122 0.855869 0.732927 0.538379 1.25515 
80 2.122 0.855626 0.732519 0.537798 1.27722 
80 2.122 0.855807 0.732813 0.538189 1.23145 
80 2.123 0.855024 0.731487 0.53628 1.26839 
80 2.123 0.855098 0.731608 0.536439 1.25157 
80 2.123 0.855108 0.731628 0.536479 1.26133 
80 2.123 0.855292 0.73194 0.536932 1.25474 
80 2.123 0.854816 0.731122 0.53572 1.24171 
80 2.124 0.854137 0.729979 0.534092 1.29093 
80 2.124 0.854364 0.730375 0.534699 1.31873 
80 2.124 0.854414 0.730435 0.534715 1.23956 
80 2.124 0.854135 0.729982 0.534118 1.31477 
80 2.124 0.854802 0.731098 0.535684 1.23872 
80 2.125 0.853396 0.728724 0.532293 1.32629 
80 2.125 0.85361 0.729096 0.532853 1.3425 
80 2.125 0.853907 0.729583 0.533505 1.28029 
80 2.125 0.853659 0.729152 0.53286 1.25904 
80 2.125 0.853968 0.729684 0.533646 1.27026 
80 2.126 0.852986 0.728008 0.531205 1.2746 
80 2.126 0.853068 0.728162 0.531461 1.31297 
80 2.126 0.852765 0.727638 0.530681 1.29547 
80 2.126 0.853057 0.728147 0.531452 1.32546 
80 2.126 0.853022 0.728076 0.531319 1.29105 
80 2.127 0.852569 0.727312 0.530233 1.32211 
80 2.127 0.852624 0.727407 0.53037 1.32055 
80 2.127 0.852247 0.726764 0.529439 1.32217 
80 2.127 0.852512 0.727205 0.530049 1.28987 
80 2.127 0.852614 0.727391 0.530352 1.32464 
80 2.128 0.851613 0.725685 0.527866 1.32445 
80 2.128 0.851465 0.725442 0.527538 1.35048 
80 2.128 0.851633 0.725721 0.527926 1.33033 
80 2.128 0.851486 0.725477 0.527591 1.34856 
80 2.128 0.851745 0.72591 0.528195 1.32243 
80 2.129 0.85104 0.724724 0.526514 1.36694 
80 2.129 0.851186 0.724961 0.526822 1.33109 
80 2.129 0.851004 0.724653 0.526388 1.33895 
80 2.129 0.850802 0.724327 0.525956 1.38908 
80 2.129 0.851095 0.724815 0.526643 1.36245 
80 2.13 0.85048 0.723784 0.525183 1.40767 
80 2.13 0.85083 0.724369 0.526005 1.3727 
80 2.13 0.850485 0.723779 0.525142 1.36539 
80 2.13 0.850505 0.723812 0.525189 1.36209 
80 2.13 0.850489 0.723782 0.525139 1.3551 
80 2.131 0.849752 0.722531 0.523332 1.35936 
80 2.131 0.849702 0.722453 0.52324 1.38061 
80 2.131 0.849789 0.722599 0.523443 1.37282 
80 2.131 0.849695 0.72246 0.523295 1.43669 
80 2.131 0.849645 0.722346 0.523056 1.34697 
80 2.132 0.849285 0.721749 0.522231 1.39188 
80 2.132 0.849076 0.72139 0.521704 1.38312 
80 2.132 0.849139 0.721494 0.521845 1.37235 
80 2.132 0.849314 0.721784 0.522241 1.34925 
80 2.132 0.848863 0.721031 0.521192 1.38966 
80 2.133 0.848357 0.720178 0.519978 1.40663 
80 2.133 0.84832 0.720118 0.519899 1.41419 
80 2.133 0.848471 0.72038 0.520288 1.43144 
80 2.133 0.848148 0.719831 0.519497 1.42764 
80 2.133 0.848303 0.720113 0.519952 1.48432 
80 2.134 0.847685 0.719049 0.518379 1.43569 
80 2.134 0.847314 0.718427 0.517504 1.45961 
80 2.134 0.847713 0.719106 0.518488 1.46671 
80 2.134 0.847461 0.718696 0.517946 1.51929 
80 2.134 0.847305 0.718417 0.517497 1.47253 
80 2.135 0.847394 0.718537 0.517594 1.38229 
80 2.135 0.846478 0.717011 0.515471 1.45843 
