size temperature m m2 m4 ms 
16 2.223 0.771109 0.61936 0.422766 2.85041 
16 2.223 0.771149 0.619598 0.42324 2.87052 
16 2.223 0.770375 0.618697 0.422249 2.90428 
16 2.224 0.767473 0.615724 0.420367 3.0745 
16 2.224 0.766531 0.614184 0.41822 3.06351 
16 2.224 0.767543 0.61487 0.418542 2.96382 
16 2.224 0.768883 0.61659 0.420164 2.92475 
16 2.224 0.767677 0.614784 0.417597 2.93024 
16 2.225 0.767405 0.614722 0.41792 2.96973 
16 2.225 0.770133 0.618767 0.422788 2.95257 
16 2.225 0.767476 0.61563 0.419922 3.06178 
16 2.225 0.77032 0.618376 0.421734 2.87443 
16 2.225 0.769537 0.617515 0.421241 2.91398 
16 2.226 0.766108 0.613684 0.417217 3.07782 
16 2.226 0.766973 0.613872 0.417324 2.94689 
16 2.226 0.765808 0.613278 0.416882 3.08406 
16 2.226 0.769993 0.61851 0.422378 2.94654 
16 2.226 0.766763 0.614048 0.417582 3.00418 
16 2.227 0.763759 0.609889 0.413248 3.05341 
16 2.227 0.767184 0.614479 0.417454 2.97827 
16 2.227 0.765871 0.613012 0.416646 3.04091 
16 2.227 0.76674 0.614001 0.417571 3.00149 
16 2.227 0.765687 0.612843 0.416514 3.05389 
16 2.228 0.766238 0.613975 0.418008 3.08569 
16 2.228 0.765115 0.612389 0.415975 3.10095 
16 2.228 0.762918 0.608053 0.410089 2.98854 
16 2.228 0.767159 0.614107 0.417235 2.93858 
16 2.228 0.763938 0.611131 0.415005 3.1632 
16 2.229 0.763807 0.610679 0.414329 3.1329 
16 2.229 0.762722 0.607977 0.410368 3.01278 
16 2.229 0.762339 0.608204 0.410738 3.1059 
16 2.229 0.761417 0.607322 0.410673 3.16598 
16 2.229 0.76287 0.608224 0.410982 3.01529 
16 2.23 0.763223 0.609272 0.412576 3.07224 
16 2.23 0.761247 0.607165 0.410238 3.1762 
16 2.23 0.763021 0.609589 0.413156 3.14407 
16 2.23 0.76148 0.606098 0.408027 3.01297 
16 2.23 0.76139 0.607645 0.411893 3.20635 
16 2.231 0.760033 0.605117 0.408008 3.15176 
16 2.231 0.762583 0.608547 0.41135 3.09979 
16 2.231 0.761059 0.606192 0.408747 3.09591 
16 2.231 0.761257 0.606297 0.409233 3.07346 
16 2.231 0.763359 0.609595 0.412691 3.08415 
16 2.232 0.762466 0.607886 0.409999 3.04314 
16 2.232 0.761111 0.606332 0.409002 3.10166 
16 2.232 0.760274 0.605821 0.409284 3.18903 
16 2.232 0.758792 0.602968 0.405477 3.11997 
16 2.232 0.757884 0.602333 0.405082 3.20512 
16 2.233 0.759186 0.603219 0.405283 3.07886 
16 2.233 0.757747 0.602676 0.406009 3.2668 
16 2.233 0.759081 0.604502 0.407528 3.24414 
16 2.233 0.755057 0.599417 0.402379 3.35972 
16 2.233 0.760812 0.606409 0.409573 3.16124 
16 2.234 0.759537 0.603875 0.405745 3.09147 
16 2.234 0.759176 0.603132 0.405137 3.06929 
16 2.234 0.758847 0.603871 0.40725 3.21116 
16 2.234 0.758966 0.602609 0.404084 3.04581 
16 2.234 0.756423 0.601486 0.405289 3.35878 
16 2.235 0.757959 0.602288 0.404967 3.18263 
16 2.235 0.757311 0.601025 0.402959 3.15045 
16 2.235 0.758045 0.601598 0.403297 3.0887 
16 2.235 0.757316 0.601845 0.405003 3.24343 
16 2.235 0.757971 0.601889 0.403911 3.13487 
16 2.236 0.758133 0.601414 0.402915 3.05096 
16 2.236 0.756459 0.60031 0.402708 3.21492 
16 2.236 0.75518 0.598286 0.400103 3.20437 
16 2.236 0.758125 0.602161 0.404575 3.13787 
16 2.236 0.754652 0.598199 0.40059 3.28592 
16 2.237 0.753099 0.59607 0.39848 3.30859 
16 2.237 0.755784 0.599481 0.401826 3.23529 
16 2.237 0.751784 0.593991 0.395812 3.29707 
16 2.237 0.752737 0.596075 0.398845 3.37155 
16 2.237 0.755152 0.598692 0.401026 3.25427 
16 2.238 0.751806 0.594985 0.397992 3.40563 
16 2.238 0.754602 0.597921 0.400195 3.25966 
16 2.238 0.751269 0.593295 0.395328 3.30467 
16 2.238 0.751842 0.595356 0.398358 3.44187 
16 2.238 0.754406 0.598047 0.400197 3.30788 
16 2.239 0.750812 0.593265 0.396044 3.37813 
16 2.239 0.755416 0.599246 0.40181 3.2693 
16 2.239 0.750736 0.592725 0.394593 3.3296 
16 2.239 0.751175 0.593842 0.395989 3.3819 
16 2.239 0.751655 0.595369 0.398325 3.47406 
16 2.24 0.750452 0.592415 0.394093 3.34144 
16 2.24 0.747786 0.589041 0.391024 3.41224 
16 2.24 0.749449 0.590972 0.392543 3.34834 
16 2.24 0.750545 0.593178 0.395822 3.41273 
16 2.24 0.749687 0.591829 0.393982 3.4055 
16 2.241 0.749121 0.591108 0.393778 3.4186 
16 2.241 0.749271 0.592337 0.395844 3.53329 
16 2.241 0.750837 0.593117 0.395356 3.35412 
16 2.241 0.75023 0.591764 0.393367 3.30343 
16 2.241 0.750138 0.591772 0.393457 3.32036 
16 2.242 0.747141 0.588186 0.389552 3.42171 
16 2.242 0.748832 0.589748 0.391215 3.31113 
16 2.242 0.750315 0.591734 0.392957 3.28415 
16 2.242 0.748216 0.589986 0.39197 3.44362 
16 2.242 0.74627 0.587262 0.38943 3.46473 
16 2.243 0.746581 0.587419 0.388993 3.42807 
16 2.243 0.74625 0.58799 0.390602 3.5496 
16 2.243 0.747033 0.588294 0.39011 3.45094 
16 2.243 0.747541 0.588364 0.390069 3.37229 
16 2.243 0.746052 0.58736 0.38963 3.51135 
16 2.244 0.74548 0.586217 0.38869 3.47669 
16 2.244 0.743956 0.583647 0.385221 3.44255 
16 2.244 0.746062 0.586659 0.388211 3.42831 
16 2.244 0.745307 0.585344 0.386731 3.40662 
16 2.244 0.747577 0.588369 0.389707 3.36511 
16 2.245 0.746881 0.587087 0.387791 3.33606 
16 2.245 0.743963 0.583875 0.385246 3.46584 
16 2.245 0.745016 0.58615 0.388411 3.54641 
16 2.245 0.747199 0.58788 0.389298 3.37228 
16 2.245 0.742382 0.582787 0.384955 3.60981 
16 2.246 0.744936 0.585196 0.386815 3.44975 
16 2.246 0.744098 0.584997 0.387053 3.56935 
16 2.246 0.744319 0.58436 0.38583 3.45926 
16 2.246 0.741909 0.582806 0.38551 3.69037 
16 2.246 0.744527 0.585183 0.387312 3.51766 
16 2.247 0.743236 0.583347 0.38474 3.52577 
16 2.247 0.74163 0.580612 0.381599 3.48584 
16 2.247 0.742045 0.58154 0.383178 3.52146 
16 2.247 0.742577 0.582183 0.383672 3.5047 
16 2.247 0.743782 0.583676 0.38512 3.47078 
16 2.248 0.741809 0.581888 0.38441 3.59951 
16 2.248 0.739382 0.57795 0.378994 3.56029 
16 2.248 0.742736 0.582169 0.383183 3.47477 
16 2.248 0.739728 0.57825 0.379655 3.53616 
16 2.248 0.741741 0.581247 0.382686 3.53794 
16 2.249 0.738865 0.578565 0.381024 3.71575 
16 2.249 0.736471 0.574863 0.37709 3.69635 
16 2.249 0.73884 0.577285 0.378384 3.57425 
16 2.249 0.740966 0.580393 0.382165 3.56994 
16 2.249 0.74232 0.582362 0.38377 3.56557 
16 2.25 0.737759 0.575575 0.376322 3.55976 
16 2.25 0.738216 0.576306 0.377184 3.56621 
16 2.25 0.739914 0.578981 0.380819 3.58497 
16 2.25 0.73406 0.571534 0.373257 3.71936 
16 2.25 0.739845 0.579455 0.381652 3.65047 
16 2.251 0.738427 0.577616 0.379481 3.67818 
16 2.251 0.739512 0.577988 0.379038 3.5381 
16 2.251 0.736152 0.574265 0.375781 3.67856 
16 2.251 0.740469 0.578873 0.379711 3.47768 
16 2.251 0.739486 0.578202 0.379805 3.56676 
16 2.252 0.736975 0.575031 0.376471 3.62617 
16 2.252 0.737756 0.575757 0.376698 3.57776 
16 2.252 0.735149 0.573081 0.374761 3.71004 
16 2.252 0.738639 0.577023 0.378392 3.57347 
16 2.252 0.737106 0.575515 0.376925 3.65922 
16 2.253 0.735296 0.572883 0.374302 3.66136 
16 2.253 0.738048 0.576003 0.376773 3.55508 
16 2.253 0.73612 0.573972 0.375173 3.64728 
16 2.253 0.735547 0.573659 0.375727 3.70762 
16 2.253 0.73242 0.570099 0.372 3.82469 
16 2.254 0.734229 0.57164 0.372825 3.6967 
16 2.254 0.733932 0.571255 0.372737 3.70248 
16 2.254 0.734932 0.571959 0.372322 3.61555 
16 2.254 0.732839 0.57046 0.37272 3.7942 
16 2.254 0.732515 0.569123 0.370124 3.69633 
16 2.255 0.736187 0.572959 0.373285 3.51794 
16 2.255 0.731216 0.568352 0.370404 3.82306 
16 2.255 0.733801 0.570833 0.371918 3.67481 
16 2.255 0.732666 0.569721 0.370995 3.73735 
16 2.255 0.728045 0.564197 0.365444 3.87667 
16 2.256 0.728891 0.565616 0.367883 3.89594 
16 2.256 0.730641 0.567321 0.368865 3.7997 
16 2.256 0.72938 0.565795 0.367373 3.83546 
16 2.256 0.729802 0.565776 0.366858 3.76333 
16 2.256 0.729095 0.565155 0.366322 3.81006 
16 2.257 0.730798 0.566993 0.368021 3.73488 
16 2.257 0.726209 0.561626 0.363415 3.88444 
16 2.257 0.727204 0.563183 0.365007 3.89695 
16 2.257 0.728992 0.564003 0.364264 3.6946 
16 2.257 0.73048 0.566533 0.367428 3.73541 
16 2.258 0.728527 0.563988 0.365234 3.76829 
16 2.258 0.727655 0.562696 0.363397 3.76552 
16 2.258 0.7272 0.562761 0.364147 3.84807 
16 2.258 0.729516 0.565351 0.366283 3.75928 
16 2.258 0.73002 0.566611 0.368213 3.81874 
16 2.259 0.728034 0.563958 0.365493 3.8445 
16 2.259 0.72476 0.560562 0.362678 3.99863 
16 2.259 0.728359 0.564304 0.365635 3.83001 
16 2.259 0.72644 0.562377 0.364028 3.9281 
16 2.259 0.728333 0.564217 0.365356 3.8245 
16 2.26 0.726341 0.561822 0.362977 3.87978 
16 2.26 0.728252 0.563656 0.364446 3.77254 
16 2.26 0.724909 0.559412 0.360253 3.84217 
16 2.26 0.726596 0.562221 0.363551 3.88297 
16 2.26 0.724592 0.558975 0.359621 3.84464 
16 2.261 0.723387 0.558818 0.360912 4.02265 
16 2.261 0.726327 0.561911 0.363226 3.8905 
16 2.261 0.726816 0.561479 0.362223 3.7611 
16 2.261 0.725163 0.560168 0.361389 3.88439 
16 2.261 0.722668 0.557579 0.35978 4.00019 
16 2.262 0.718301 0.552171 0.353882 4.0986 
16 2.262 0.723915 0.558201 0.358656 3.86472 
16 2.262 0.722839 0.55603 0.356294 3.79517 
16 2.262 0.721595 0.555566 0.356382 3.94601 
16 2.262 0.721855 0.556028 0.357298 3.9558 
16 2.263 0.719832 0.553235 0.354641 3.96805 
16 2.263 0.721943 0.555959 0.357188 3.93189 
16 2.263 0.721661 0.555775 0.357115 3.95711 
16 2.263 0.71909 0.552264 0.353822 3.97904 
16 2.263 0.723346 0.557412 0.358378 3.86681 
16 2.264 0.718352 0.550985 0.351797 3.9526 
16 2.264 0.720227 0.553154 0.353746 3.89281 
16 2.264 0.720026 0.553442 0.354433 3.95813 
16 2.264 0.72102 0.554765 0.355654 3.94584 
16 2.264 0.724037 0.558519 0.35919 3.87732 
16 2.265 0.718779 0.55223 0.35342 4.02215 
16 2.265 0.715265 0.547648 0.349339 4.07382 
16 2.265 0.718092 0.551816 0.353981 4.08686 
16 2.265 0.718463 0.552736 0.354809 4.1307 
16 2.265 0.722313 0.555739 0.356325 3.84319 
16 2.266 0.718564 0.551817 0.3532 4.00867 
16 2.266 0.71777 0.551152 0.352576 4.06245 
16 2.266 0.718592 0.552408 0.353811 4.07081 
16 2.266 0.720594 0.553672 0.354087 3.88825 
16 2.266 0.717843 0.550803 0.351978 4.01113 
16 2.267 0.716675 0.549028 0.349858 3.99804 
16 2.267 0.718563 0.551634 0.352252 3.98632 
16 2.267 0.71646 0.548702 0.349016 3.9961 
16 2.267 0.719351 0.552323 0.35279 3.93629 
16 2.267 0.718397 0.550867 0.351492 3.9267 
16 2.268 0.716298 0.547875 0.347952 3.92725 
16 2.268 0.715383 0.547594 0.34848 4.04333 
16 2.268 0.714775 0.54657 0.347301 4.0259 
16 2.268 0.715507 0.548152 0.34933 4.08627 
16 2.268 0.718974 0.551989 0.352817 3.95796 
16 2.269 0.712842 0.544749 0.345848 4.12998 
16 2.269 0.711323 0.542792 0.344077 4.15325 
16 2.269 0.71093 0.541857 0.342612 4.11091 
16 2.269 0.715735 0.547612 0.34834 3.98666 
16 2.269 0.715061 0.547 0.347858 4.0265 
16 2.27 0.714512 0.545787 0.346356 3.97642 
16 2.27 0.710703 0.542133 0.343802 4.17655 
16 2.27 0.712843 0.544696 0.345887 4.12208 
