size temperature m ms 
48 2.237 0.716633 13.506 
48 2.237 0.718539 13.0947 
48 2.237 0.7177 13.0352 
48 2.238 0.715799 13.5556 
48 2.238 0.718864 12.2747 
48 2.238 0.718758 12.4984 
48 2.238 0.715817 13.5896 
48 2.238 0.71572 13.6927 
48 2.239 0.714952 13.378 
48 2.239 0.716104 12.9155 
48 2.239 0.712254 14.0683 
48 2.239 0.713164 13.9101 
48 2.239 0.713263 14.3136 
48 2.24 0.711769 14.3324 
48 2.24 0.711702 14.1996 
48 2.24 0.709053 14.943 
48 2.24 0.711123 14.0714 
48 2.24 0.713032 13.3425 
48 2.241 0.710193 14.1416 
48 2.241 0.709392 13.8835 
48 2.241 0.707475 14.9658 
48 2.241 0.708232 14.594 
48 2.241 0.708625 15.1245 
48 2.242 0.707505 13.7882 
48 2.242 0.710217 13.9959 
48 2.242 0.709922 13.4555 
48 2.242 0.704721 15.8924 
48 2.242 0.705883 15.5926 
48 2.243 0.706793 14.6786 
48 2.243 0.70479 15.4834 
48 2.243 0.704749 14.8951 
48 2.243 0.702564 15.707 
48 2.243 0.708234 13.8775 
48 2.244 0.700094 15.6137 
48 2.244 0.702681 14.8432 
48 2.244 0.700897 16.1145 
48 2.244 0.702632 15.0517 
48 2.244 0.700281 16.713 
48 2.245 0.701843 14.6907 
48 2.245 0.697466 17.0297 
48 2.245 0.701499 15.5294 
48 2.245 0.699694 16.2944 
48 2.245 0.701987 15.1037 
48 2.246 0.696892 16.0322 
48 2.246 0.696731 16.6189 
48 2.246 0.697623 15.7198 
48 2.246 0.698268 16.2426 
48 2.246 0.698814 16.0422 
48 2.247 0.693941 16.6049 
48 2.247 0.692624 17.2892 
48 2.247 0.6937 17.0189 
48 2.247 0.69183 18.4065 
48 2.247 0.694863 16.6639 
48 2.248 0.691204 17.3831 
48 2.248 0.691001 17.1862 
48 2.248 0.692773 17.0791 
48 2.248 0.689211 17.6381 
48 2.248 0.692764 16.4217 
48 2.249 0.687307 18.2885 
48 2.249 0.685039 19.5129 
48 2.249 0.688983 18.1828 
48 2.249 0.685978 18.8444 
48 2.249 0.687149 18.4839 
48 2.25 0.684024 18.1361 
48 2.25 0.686258 17.8778 
48 2.25 0.684417 18.6656 
48 2.25 0.6853 17.7964 
48 2.25 0.686368 17.3404 
48 2.251 0.680347 19.3827 
48 2.251 0.683038 19.2772 
48 2.251 0.684527 17.4274 
48 2.251 0.682686 18.8968 
48 2.251 0.683861 17.8697 
48 2.252 0.680526 19.0568 
48 2.252 0.683231 17.8849 
48 2.252 0.678218 20.3233 
48 2.252 0.679991 18.8317 
48 2.252 0.676471 20.1976 
48 2.253 0.673854 20.3605 
48 2.253 0.673041 20.7345 
48 2.253 0.680097 18.2665 
48 2.253 0.676511 19.7032 
48 2.253 0.679817 18.6775 
48 2.254 0.671908 20.3976 
48 2.254 0.672284 20.0434 
48 2.254 0.667923 21.9404 
48 2.254 0.67439 20.1256 
48 2.254 0.672222 21.2175 
48 2.255 0.669746 21.2507 
48 2.255 0.669709 20.3558 
48 2.255 0.670405 20.1746 
48 2.255 0.666456 21.1158 
48 2.255 0.669256 21.0052 
48 2.256 0.67067 19.6218 
48 2.256 0.666166 21.6841 
48 2.256 0.665546 22.1776 
48 2.256 0.668678 20.8692 
48 2.256 0.666544 20.9775 
48 2.257 0.663207 22.0313 
48 2.257 0.664932 21.7326 
48 2.257 0.662939 21.7193 
48 2.257 0.666825 20.956 
48 2.257 0.662909 22.4741 
48 2.258 0.661788 21.8571 
48 2.258 0.661851 21.5821 
48 2.258 0.663931 21.0554 
48 2.258 0.659826 22.9603 
48 2.258 0.66352 21.6261 
48 2.259 0.657258 22.8045 
48 2.259 0.66032 21.4572 
48 2.259 0.658434 22.9186 
48 2.259 0.657688 21.8572 
48 2.259 0.652952 24.5371 
48 2.26 0.653369 23.5021 
48 2.26 0.653957 23.2219 
48 2.26 0.652908 23.4204 
48 2.26 0.646939 25.8882 
48 2.26 0.658097 21.7377 
48 2.261 0.649551 23.6839 
48 2.261 0.650786 24.0251 
48 2.261 0.652224 23.2807 
48 2.261 0.649201 24.4065 
48 2.261 0.651779 23.6314 
48 2.262 0.647227 24.6192 
48 2.262 0.652337 22.4544 
48 2.262 0.648171 23.7577 
48 2.262 0.645181 25.8255 
48 2.262 0.648003 24.8038 
48 2.263 0.644277 25.2894 
48 2.263 0.644403 24.6481 
48 2.263 0.647601 23.287 
48 2.263 0.643251 25.2046 
48 2.263 0.642534 25.5239 
48 2.264 0.638674 25.766 
48 2.264 0.643167 24.8242 
48 2.264 0.637363 26.9022 
48 2.264 0.637919 25.541 
48 2.264 0.640069 26.0995 
48 2.265 0.633402 27.1923 
48 2.265 0.63687 25.602 
48 2.265 0.638165 25.8816 
48 2.265 0.633708 27.224 
48 2.265 0.637194 25.6719 
48 2.266 0.634272 26.3319 
48 2.266 0.632224 26.8995 
48 2.266 0.63532 25.3944 
48 2.266 0.636627 26.14 
48 2.266 0.634515 25.5681 
48 2.267 0.627465 27.8354 
48 2.267 0.628646 26.2944 
48 2.267 0.628429 27.8038 
48 2.267 0.631875 26.7283 
48 2.267 0.631955 26.6707 
48 2.268 0.629389 26.4341 
48 2.268 0.625039 28.6487 
48 2.268 0.625344 28.8415 
48 2.268 0.627975 27.1651 
48 2.268 0.625163 27.5024 
48 2.269 0.622003 28.6051 
48 2.269 0.621206 28.5238 
48 2.269 0.624107 27.6923 
48 2.269 0.624898 27.1733 
48 2.269 0.621963 28.2521 
48 2.27 0.618736 28.9127 
48 2.27 0.614617 30.2711 
48 2.27 0.618648 29.4851 
48 2.27 0.616711 29.0895 
48 2.27 0.615298 29.8151 
48 2.271 0.610619 31.5846 
48 2.271 0.615662 28.9357 
48 2.271 0.61451 28.8819 
48 2.271 0.615715 28.4027 
48 2.271 0.613 29.7528 
48 2.272 0.612619 29.0115 
48 2.272 0.608138 31.2828 
48 2.272 0.612944 29.4901 
48 2.272 0.612171 30.0038 
48 2.272 0.611324 29.3601 
48 2.273 0.609326 29.0771 
48 2.273 0.607536 30.146 
48 2.273 0.60906 29.3551 
48 2.273 0.604507 31.0473 
48 2.273 0.609174 29.3936 
48 2.274 0.608548 29.9758 
48 2.274 0.604553 30.9861 
48 2.274 0.602339 31.0964 
48 2.274 0.598855 31.7047 
48 2.274 0.603589 30.9296 
48 2.275 0.600943 31.1997 
48 2.275 0.597072 32.3125 
48 2.275 0.601577 30.3683 
48 2.275 0.600553 32.1575 
48 2.275 0.602525 31.2123 
48 2.276 0.593203 31.9285 
48 2.276 0.593315 32.3873 
48 2.276 0.596666 31.2007 
48 2.276 0.597859 31.5518 
48 2.276 0.598297 30.8429 
48 2.277 0.588486 33.6273 
48 2.277 0.593015 32.3328 
48 2.277 0.594178 31.4799 
48 2.277 0.591916 32.8225 
48 2.277 0.598406 31.3042 
48 2.278 0.584912 33.5853 
48 2.278 0.587267 33.0497 
48 2.278 0.589268 32.8485 
48 2.278 0.588676 32.6551 
48 2.278 0.587934 32.7408 
48 2.279 0.584837 33.2978 
48 2.279 0.583142 33.5387 
48 2.279 0.585064 32.5669 
48 2.279 0.576908 34.875 
48 2.279 0.582639 32.6299 
48 2.28 0.583194 32.8034 
48 2.28 0.580905 33.721 
48 2.28 0.580067 33.3583 
48 2.28 0.579217 34.5632 
48 2.28 0.580762 33.7211 
48 2.281 0.573801 35.2997 
48 2.281 0.574834 34.0044 
48 2.281 0.572276 35.1313 
48 2.281 0.57881 33.8192 
48 2.281 0.572261 35.1583 
48 2.282 0.568653 35.9436 
48 2.282 0.572638 34.2404 
48 2.282 0.567114 35.4774 
48 2.282 0.578677 32.8812 
48 2.282 0.572503 34.1537 
48 2.283 0.566153 35.9254 
48 2.283 0.567239 34.9565 
48 2.283 0.570372 34.9778 
48 2.283 0.569335 34.0701 
48 2.283 0.566252 35.5758 
48 2.284 0.562864 36.143 
48 2.284 0.564876 35.7006 
48 2.284 0.565221 36.2349 
48 2.284 0.562413 36.0509 
48 2.284 0.555664 37.614 
48 2.285 0.560474 36.3087 
48 2.285 0.556826 36.691 
48 2.285 0.556351 37.1285 
48 2.285 0.563377 36.2421 
48 2.285 0.561926 35.0451 
48 2.286 0.557352 36.0762 
48 2.286 0.553003 38.1492 
48 2.286 0.550287 37.2086 
48 2.286 0.55408 37.4289 
48 2.286 0.554514 37.407 
48 2.287 0.552966 36.1332 
48 2.287 0.550154 36.7496 
48 2.287 0.554467 36.15 
48 2.287 0.550962 36.7094 
48 2.287 0.551387 37.2169 
48 2.288 0.54931 37.09 
48 2.288 0.545477 37.2221 
48 2.288 0.549096 37.1007 
48 2.288 0.550763 36.7248 
48 2.288 0.545014 37.6549 
48 2.289 0.540334 38.373 
48 2.289 0.543989 37.9099 
48 2.289 0.543505 37.6273 
48 2.289 0.542124 37.9403 
48 2.289 0.544649 37.6486 
48 2.29 0.536657 39.3622 
48 2.29 0.537136 38.6141 
48 2.29 0.536457 38.3091 
48 2.29 0.537262 38.7129 
48 2.29 0.536312 38.2146 
48 2.291 0.535686 38.2118 
48 2.291 0.533121 39.6666 
48 2.291 0.537529 37.4804 
48 2.291 0.52974 39.638 
48 2.291 0.533639 38.9587 
48 2.292 0.528796 39.4341 
48 2.292 0.533999 38.7033 
48 2.292 0.526607 39.7427 
48 2.292 0.527495 38.7404 
48 2.292 0.52988 38.7021 
48 2.293 0.528063 38.2717 
48 2.293 0.525932 39.1417 
48 2.293 0.521781 39.6506 
48 2.293 0.525746 38.8438 
48 2.293 0.526108 39.2357 
48 2.294 0.522355 38.7025 
48 2.294 0.521948 39.5121 
48 2.294 0.523005 39.7878 
48 2.294 0.525119 38.2153 
48 2.294 0.520822 38.5676 
48 2.295 0.513666 40.4479 
48 2.295 0.515739 39.4193 
48 2.295 0.516351 40.6807 
48 2.295 0.521099 38.6867 
48 2.295 0.51446 40.4352 
48 2.296 0.509686 40.778 
48 2.296 0.50678 40.8326 
48 2.296 0.511907 39.9179 
48 2.296 0.510195 40.6438 
48 2.296 0.508833 40.3381 
48 2.297 0.509191 39.665 
48 2.297 0.510182 40.1397 
48 2.297 0.508728 39.8616 
48 2.297 0.504357 40.7353 
48 2.297 0.506556 41.2525 
48 2.298 0.506735 39.6389 
48 2.298 0.504118 41.4397 
48 2.298 0.506042 40.1563 
48 2.298 0.503648 41.1806 
48 2.298 0.505539 40.8935 
48 2.299 0.495735 41.1051 
48 2.299 0.495601 41.5174 
48 2.299 0.502507 40.183 
48 2.299 0.500763 41.1025 
48 2.299 0.500952 40.1674 
48 2.3 0.493262 41.0236 
48 2.3 0.49473 41.2296 
48 2.3 0.495048 40.9795 
48 2.3 0.492812 41.9073 
48 2.3 0.487263 42.1747 
48 2.301 0.491159 41.6525 
48 2.301 0.490161 41.2385 
48 2.301 0.492168 40.3852 
48 2.301 0.490493 40.9256 
48 2.301 0.48959 41.1108 
48 2.302 0.48413 41.1972 
48 2.302 0.484144 41.8975 
48 2.302 0.483818 42.6941 
48 2.302 0.488793 41.7969 
48 2.302 0.480336 42.6034 
48 2.303 0.481757 42.2719 
48 2.303 0.481634 42.0152 
48 2.303 0.485882 41.1862 
48 2.303 0.483324 41.6871 
48 2.303 0.482502 41.3231 
48 2.304 0.47755 41.4761 
48 2.304 0.479807 41.7044 
48 2.304 0.483287 40.4807 
48 2.304 0.473545 42.2872 
48 2.304 0.477691 41.5934 
48 2.305 0.473536 41.713 
48 2.305 0.472713 42.1053 
48 2.305 0.473791 42.0096 
48 2.305 0.468344 42.1475 
48 2.305 0.473588 41.8731 
48 2.306 0.471331 41.7979 
48 2.306 0.468839 42.2825 
48 2.306 0.468164 42.2575 
48 2.306 0.468413 42.2175 
48 2.306 0.47171 41.0582 
48 2.307 0.467995 41.8963 
48 2.307 0.46542 41.7758 
48 2.307 0.463077 42.4702 
48 2.307 0.466141 41.8892 
48 2.307 0.465469 42.3299 
48 2.308 0.460098 41.8475 
48 2.308 0.463493 41.8432 
48 2.308 0.454977 43.6806 
48 2.308 0.458323 42.7885 
48 2.308 0.459791 43.0056 
48 2.309 0.456925 42.7103 
48 2.309 0.453671 42.5719 
48 2.309 0.462562 41.1093 
48 2.309 0.459536 42.6927 
48 2.309 0.456789 42.8556 
48 2.31 0.449855 43.1307 
48 2.31 0.456863 42.074 
48 2.31 0.453503 41.5717 
48 2.31 0.446911 42.6565 
48 2.31 0.452168 41.9884 
48 2.311 0.446391 42.7333 
48 2.311 0.446242 42.8829 
48 2.311 0.44785 42.5746 
48 2.311 0.452088 41.4756 
48 2.311 0.449791 42.5973 
48 2.312 0.44555 42.3948 
48 2.312 0.440462 43.1327 
48 2.312 0.443189 42.177 
48 2.312 0.445686 42.0624 
48 2.312 0.444446 42.4731 
48 2.313 0.439311 42.4162 
48 2.313 0.442305 42.0588 
48 2.313 0.440133 41.4483 
48 2.313 0.434546 42.876 
48 2.313 0.438979 42.7633 
48 2.314 0.436624 41.9044 
48 2.314 0.434829 42.4656 
48 2.314 0.433542 41.8089 
48 2.314 0.437044 42.4272 
48 2.314 0.435825 43.0943 
48 2.315 0.428299 42.0261 
48 2.315 0.427423 42.9772 
48 2.315 0.427689 42.3175 
48 2.315 0.432084 41.7851 
48 2.315 0.43368 42.0144 
48 2.316 0.425635 41.7036 
48 2.316 0.426741 42.4088 
48 2.316 0.430223 41.9986 
48 2.316 0.43198 41.3286 
48 2.316 0.428794 42.0146 
48 2.317 0.426524 41.8824 
48 2.317 0.420968 42.4321 
48 2.317 0.426136 42.1551 
48 2.317 0.424115 41.7847 
48 2.317 0.416734 42.5637 
48 2.318 0.420054 41.571 
48 2.318 0.420608 41.8422 
48 2.318 0.41654 41.6645 
48 2.318 0.422604 41.3978 
48 2.318 0.419877 42.1858 
48 2.319 0.414915 42.4808 
48 2.319 0.414915 42.6495 
48 2.319 0.418707 42.7548 
48 2.319 0.415395 41.9575 
48 2.319 0.416067 41.9706 
48 2.32 0.411781 42.1696 
48 2.32 0.408566 41.5119 
48 2.32 0.413387 42.0256 
48 2.32 0.414234 42.5176 
48 2.32 0.410828 41.7046 
48 2.321 0.405268 43.0048 
48 2.321 0.404546 41.6912 
48 2.321 0.408716 41.9002 
48 2.321 0.410796 41.016 
48 2.321 0.403047 41.6663 
48 2.322 0.401542 40.7536 
48 2.322 0.400688 41.165 
48 2.322 0.400275 41.8552 
48 2.322 0.402955 41.0066 
48 2.322 0.405509 41.5059 
48 2.323 0.400891 41.2532 
48 2.323 0.403282 41.3616 
48 2.323 0.399442 41.4818 
48 2.323 0.401753 40.9473 
48 2.323 0.400356 41.8005 
48 2.324 0.397996 41.0137 
48 2.324 0.397564 42.1109 
48 2.324 0.397491 41.6571 
48 2.324 0.395501 41.4627 
48 2.324 0.396882 41.1018 
48 2.325 0.390395 40.8904 
48 2.325 0.390773 40.6718 
48 2.325 0.394449 40.9408 
48 2.325 0.393316 41.202 
48 2.325 0.390065 41.6663 
48 2.326 0.389406 40.6773 
48 2.326 0.387687 40.4819 
48 2.326 0.39045 41.5124 
48 2.326 0.391612 40.7071 
48 2.326 0.384398 41.5849 
48 2.327 0.379916 40.6017 
48 2.327 0.387652 40.751 
48 2.327 0.385444 40.4621 
48 2.327 0.386229 41.0541 
48 2.327 0.385864 40.3143 
48 2.328 0.375989 40.7763 
48 2.328 0.377138 40.8957 
48 2.328 0.382311 40.5968 
48 2.328 0.381771 40.6146 
48 2.328 0.381676 40.4136 
48 2.329 0.377414 39.8013 
48 2.329 0.377934 39.7517 
48 2.329 0.376065 40.3061 
48 2.329 0.378893 39.6444 
48 2.329 0.378295 40.9035 
48 2.33 0.372951 39.5296 
48 2.33 0.373921 40.1626 
48 2.33 0.372881 40.3744 
48 2.33 0.3709 40.2715 
48 2.33 0.380983 39.4744 
48 2.331 0.370352 39.4441 
48 2.331 0.366317 40.2746 
48 2.331 0.372791 40.3651 
48 2.331 0.368108 40.0983 
48 2.331 0.374687 39.0771 
48 2.332 0.3716 39.6249 
48 2.332 0.367611 39.0516 
48 2.332 0.364264 39.9274 
48 2.332 0.367827 39.0376 
48 2.332 0.370256 39.2965 
48 2.333 0.364395 39.2373 
48 2.333 0.361019 38.9325 
48 2.333 0.362399 39.7134 
48 2.333 0.364727 39.9253 
48 2.333 0.361471 39.1314 
48 2.334 0.359933 39.2343 
48 2.334 0.363423 38.8929 
48 2.334 0.360861 39.1873 
48 2.334 0.355771 39.4816 
48 2.334 0.358154 39.7263 
48 2.335 0.358635 39.2776 
48 2.335 0.357654 39.2372 
48 2.335 0.360184 38.7298 
48 2.335 0.35825 37.6555 
48 2.335 0.356084 39.561 
48 2.336 0.357112 37.9185 
48 2.336 0.350773 38.7256 
48 2.336 0.352011 38.8853 
48 2.336 0.354247 38.3092 
48 2.336 0.349424 38.3168 
48 2.337 0.350362 37.8488 
48 2.337 0.351935 38.3806 
48 2.337 0.350297 37.531 
48 2.337 0.350471 37.5898 
48 2.337 0.357182 38.6618 
48 2.338 0.347634 38.2882 
48 2.338 0.347428 37.8465 
48 2.338 0.344929 38.1232 
48 2.338 0.347985 38.5436 
48 2.338 0.341893 37.6696 
48 2.339 0.343225 37.6521 
48 2.339 0.34484 37.5585 
48 2.339 0.345044 37.5508 
48 2.339 0.342559 38.438 
48 2.339 0.347377 38.4126 
48 2.34 0.340893 37.3483 
48 2.34 0.339546 37.1131 
48 2.34 0.340414 37.2214 
48 2.34 0.342657 37.785 
48 2.34 0.342751 37.6721 
48 2.341 0.338601 37.0116 
48 2.341 0.340843 36.9594 
48 2.341 0.338462 36.7814 
48 2.341 0.337849 37.1676 
48 2.341 0.334533 37.601 
48 2.342 0.33528 37.1766 
48 2.342 0.337717 36.5541 
48 2.342 0.33556 36.4131 
48 2.342 0.338005 36.6751 
48 2.342 0.333361 37.5523 
48 2.343 0.331662 36.7714 
48 2.343 0.326504 36.6231 
48 2.343 0.330504 36.966 
48 2.343 0.334267 36.3316 
48 2.343 0.333498 36.8413 
48 2.344 0.331614 36.128 
48 2.344 0.323534 36.3774 
48 2.344 0.326261 36.1237 
48 2.344 0.32919 36.2921 
48 2.344 0.326805 36.2799 
48 2.345 0.326761 36.4171 
48 2.345 0.327207 36.2749 
48 2.345 0.325102 36.297 
48 2.345 0.324885 36.3926 
48 2.345 0.32768 35.2795 
48 2.346 0.326749 35.5129 
48 2.346 0.323895 35.2281 
48 2.346 0.3184 35.7768 
48 2.346 0.321795 35.669 
48 2.346 0.322978 35.2898 
48 2.347 0.324619 35.4352 
48 2.347 0.319022 35.0282 
48 2.347 0.318588 35.4837 
48 2.347 0.321914 34.6066 
48 2.347 0.321285 35.2732 
48 2.348 0.315418 35.002 
48 2.348 0.313314 34.7012 
48 2.348 0.315622 34.589 
48 2.348 0.316002 34.3396 
48 2.348 0.31323 35.664 
48 2.349 0.313762 33.8126 
48 2.349 0.309272 34.8861 
48 2.349 0.314933 34.4697 
48 2.349 0.315281 34.5819 
48 2.349 0.314196 35.0449 
48 2.35 0.310738 33.9856 
48 2.35 0.312897 34.2954 
48 2.35 0.310298 34.0461 
48 2.35 0.309421 34.0208 
48 2.35 0.311123 34.3887 
48 2.351 0.314125 34.7544 
48 2.351 0.312502 34.4897 
48 2.351 0.307104 34.3298 
48 2.351 0.309403 34.2851 
48 2.351 0.305231 34.2091 
48 2.352 0.306512 34.1036 
48 2.352 0.304071 33.5502 
48 2.352 0.303681 33.1875 
48 2.352 0.30443 33.3476 
48 2.352 0.30655 33.7241 
48 2.353 0.302474 33.1142 
48 2.353 0.305739 33.8403 
48 2.353 0.30275 33.1499 
48 2.353 0.303763 33.0832 
48 2.353 0.303448 33.4495 
48 2.354 0.296386 33.0488 
