size temperature err_m err_ms
16 2.387 0.00498298 0.104276
16 2.388 0.0050688 0.101534
16 2.389 0.00478866 0.0945028
16 2.39 0.00468023 0.0995445
16 2.391 0.00516386 0.108825
16 2.392 0.00516292 0.0975277
16 2.393 0.00495113 0.0983098
16 2.394 0.00496339 0.104093
16 2.395 0.00524935 0.103543
16 2.396 0.00521499 0.0962776
16 2.397 0.00501195 0.0936467
16 2.398 0.00494967 0.103019
16 2.399 0.00520599 0.100651
16 2.4 0.00519028 0.0993916
16 2.401 0.00494858 0.090662
16 2.402 0.00509763 0.102565
16 2.403 0.00496882 0.0931675
16 2.404 0.00520264 0.0935672
16 2.405 0.00521339 0.0937282
16 2.406 0.00494021 0.0949084
16 2.407 0.00535778 0.102216
16 2.408 0.00511057 0.0978832
16 2.409 0.00500576 0.0955666
16 2.41 0.00503974 0.0966709
16 2.411 0.00507971 0.0908743
16 2.412 0.00521133 0.0926541
16 2.413 0.00486937 0.0851791
16 2.414 0.00511849 0.0934556
16 2.415 0.0050104 0.0861368
16 2.416 0.00518426 0.0938661
16 2.417 0.00507454 0.0907739
16 2.418 0.00513536 0.0887853
16 2.419 0.0050739 0.0902343
16 2.42 0.00503946 0.0959004
16 2.421 0.00530121 0.0912265
16 2.422 0.00512221 0.0917298
16 2.423 0.00497887 0.0873332
16 2.424 0.00494126 0.08623
16 2.425 0.00520796 0.0900788
16 2.426 0.00492647 0.0884059
16 2.427 0.00495174 0.0831743
16 2.428 0.00511269 0.0882578
16 2.429 0.00516474 0.091517
16 2.43 0.00507283 0.0879207
16 2.431 0.00506626 0.0901056
16 2.432 0.00483369 0.0844052
16 2.433 0.00503155 0.0859071
16 2.434 0.00531862 0.0864963
16 2.435 0.00526836 0.0912758
16 2.436 0.0050731 0.0851509
16 2.437 0.00479965 0.0878594
16 2.438 0.00495781 0.0902509
16 2.439 0.00505816 0.085491
16 2.44 0.00499722 0.0815652
16 2.441 0.00497453 0.0788536
16 2.442 0.00484932 0.0840992
16 2.443 0.00480061 0.0819065
16 2.444 0.00492684 0.0857874
16 2.445 0.00474098 0.0849542
16 2.446 0.00485871 0.0886545
16 2.447 0.00489878 0.0840683
16 2.448 0.00507501 0.0864785
16 2.449 0.00492132 0.0858765
16 2.45 0.00515388 0.076139
16 2.451 0.00517481 0.0823334
16 2.452 0.00510125 0.088304
16 2.453 0.00501112 0.0871983
16 2.454 0.00498486 0.0852861
16 2.455 0.00485325 0.0790659
16 2.456 0.00507049 0.0901193
16 2.457 0.00506261 0.0828049
16 2.458 0.00506517 0.0851877
16 2.459 0.00490392 0.0833282
16 2.46 0.00500729 0.0856455
16 2.461 0.00481705 0.0867373
16 2.462 0.00489577 0.0828356
16 2.463 0.0049198 0.0776603
16 2.464 0.0048011 0.0849253
16 2.465 0.00487367 0.0795586
16 2.466 0.00476442 0.0831012
16 2.467 0.00497336 0.0791868
16 2.468 0.00492688 0.0843726
16 2.469 0.00488673 0.08306
16 2.47 0.00477119 0.0815842
16 2.471 0.00483392 0.0844534
16 2.472 0.00491394 0.0825826
16 2.473 0.00501693 0.0838647
16 2.474 0.00485288 0.0774368
16 2.475 0.00520077 0.0800129
16 2.476 0.00484899 0.086559
16 2.477 0.00467143 0.0794643
16 2.478 0.00495428 0.0810732
16 2.479 0.00488146 0.0833822
16 2.48 0.00475881 0.0810624
16 2.481 0.00468105 0.087387
16 2.482 0.00479976 0.0805345
16 2.483 0.00470891 0.0825009
16 2.484 0.00492454 0.0815233
16 2.485 0.00475947 0.0790361
16 2.486 0.00454978 0.0807545
16 2.487 0.00442346 0.0795383
16 2.488 0.00484974 0.082843
16 2.489 0.00478646 0.0786181
16 2.49 0.00472473 0.0824812
16 2.491 0.00456371 0.0791714
16 2.492 0.00468888 0.0756536
16 2.493 0.00470972 0.0774043
16 2.494 0.00463925 0.0812089
16 2.495 0.00467362 0.0738676
16 2.496 0.00463079 0.0774299
16 2.497 0.00474366 0.081711
16 2.498 0.00459324 0.0802134
16 2.499 0.0047747 0.0797083
32 2.2 0.00238963 0.250967
32 2.201 0.00187636 0.377124
32 2.202 0.00221246 0.493923
32 2.203 0.00274858 0.31595
32 2.204 0.0024804 0.326773
32 2.205 0.00260696 0.321891
32 2.206 0.00222171 0.325576
32 2.207 0.00225156 0.289378
32 2.208 0.00262498 0.311294
32 2.209 0.00194747 0.320933
32 2.21 0.00257499 0.319482
32 2.211 0.00243763 0.282985
32 2.212 0.00204124 0.258897
32 2.213 0.00263264 0.390324
32 2.214 0.00257435 0.464764
32 2.215 0.0031838 0.354805
32 2.216 0.00246821 0.299909
32 2.217 0.00205453 0.300533
32 2.218 0.00274965 0.313521
32 2.219 0.00235037 0.418472
32 2.22 0.00241305 0.355298
32 2.221 0.00285273 0.376814
32 2.222 0.00237521 0.349493
32 2.223 0.00285053 0.301114
32 2.224 0.00249101 0.336231
32 2.225 0.00249934 0.388144
32 2.226 0.00280636 0.4262
32 2.227 0.00283019 0.411161
32 2.228 0.0029648 0.394408
32 2.229 0.00274622 0.418643
32 2.23 0.00336374 0.386115
32 2.231 0.0029826 0.37781
32 2.232 0.0031343 0.491365
32 2.233 0.00363187 0.517759
32 2.234 0.00335863 0.456486
32 2.235 0.00318536 0.407343
32 2.236 0.00303385 0.460305
32 2.237 0.00300532 0.494846
32 2.238 0.00286768 0.422658
32 2.239 0.00345946 0.77274
32 2.24 0.00299755 0.422558
32 2.241 0.00337545 0.449308
32 2.242 0.00300445 0.451875
32 2.243 0.00357491 0.548636
32 2.244 0.00311195 0.454991
32 2.245 0.00363434 0.439161
32 2.246 0.00357351 0.436848
32 2.247 0.00332679 0.450647
32 2.248 0.00408146 0.575034
32 2.249 0.00332931 0.572628
32 2.25 0.00338789 0.478329
32 2.251 0.00331722 0.498231
32 2.252 0.00390279 0.459697
32 2.253 0.00351462 0.496277
32 2.254 0.00343942 0.471379
32 2.255 0.00313363 0.418326
32 2.256 0.0039213 0.444688
32 2.257 0.00401198 0.495568
32 2.258 0.00391151 0.48476
32 2.259 0.00402641 0.550963
32 2.26 0.00373428 0.499157
32 2.261 0.00358334 0.640621
32 2.262 0.00398258 0.472896
32 2.263 0.00353188 0.423916
32 2.264 0.00430791 0.485181
32 2.265 0.00411116 0.526579
32 2.266 0.00465456 0.743571
32 2.267 0.00418012 0.542192
32 2.268 0.00457854 0.513387
32 2.269 0.00442878 0.490849
32 2.27 0.0042514 0.530502
32 2.271 0.00427781 0.56627
32 2.272 0.0040664 0.536559
32 2.273 0.00449089 0.535737
32 2.274 0.00440831 0.548416
32 2.275 0.00443033 0.561997
32 2.276 0.00459587 0.555186
32 2.277 0.00441127 0.52397
32 2.278 0.0042797 0.513715
32 2.279 0.00481886 0.510912
32 2.28 0.00474998 0.522087
32 2.281 0.00480026 0.570372
32 2.282 0.00465292 0.511912
32 2.283 0.0048124 0.65382
32 2.284 0.00453554 0.539416
32 2.285 0.004443 0.489666
32 2.286 0.00522346 0.483921
32 2.287 0.00528538 0.555997
32 2.288 0.00479577 0.602553
32 2.289 0.00450767 0.50669
32 2.29 0.00500665 0.548459
32 2.291 0.00535698 0.549635
32 2.292 0.00482797 0.543245
32 2.293 0.00488007 0.489076
32 2.294 0.00487495 0.563305
32 2.295 0.00519126 0.570194
32 2.296 0.00457665 0.485106
32 2.297 0.00529893 0.552238
32 2.298 0.00509292 0.534354
32 2.299 0.00511574 0.491998
32 2.3 0.00493677 0.503709
32 2.301 0.00543356 0.52192
32 2.302 0.00478906 0.565335
32 2.303 0.00590942 0.463574
32 2.304 0.00508179 0.449273
32 2.305 0.00518832 0.497074
32 2.306 0.00518597 0.475274
32 2.307 0.00525654 0.453076
32 2.308 0.00511431 0.574366
32 2.309 0.00560332 0.461214
32 2.31 0.00521086 0.400216
32 2.311 0.00538977 0.475361
