size temperature m m2 m4 mag_sus e sp_heat 
10 1.5 0.997576 0.995218 0.990689 0.00398695 -218.896 0.0510805 
10 1.5 0.9977 0.99546 0.991153 0.003658 -218.949 0.0474974 
10 1.5 0.997658 0.995379 0.990999 0.00380767 -218.932 0.0488483 
10 1.505 0.997736 0.995531 0.991292 0.00359298 -218.967 0.0462939 
10 1.505 0.99754 0.995144 0.990534 0.00382381 -218.88 0.049253 
10 1.505 0.997616 0.995296 0.990839 0.00386422 -218.917 0.0487652 
10 1.51 0.997516 0.995099 0.990457 0.00402581 -218.881 0.049145 
10 1.51 0.997628 0.995319 0.990881 0.00379163 -218.921 0.0478816 
10 1.51 0.997578 0.995221 0.990691 0.00388966 -218.896 0.0496211 
10 1.515 0.9974 0.99487 0.990013 0.00420594 -218.815 0.0529586 
10 1.515 0.997446 0.99496 0.990186 0.00408694 -218.832 0.0528429 
10 1.515 0.997358 0.994792 0.989877 0.00455841 -218.81 0.0549075 
10 1.52 0.997302 0.994681 0.989658 0.00457111 -218.789 0.0553679 
10 1.52 0.99741 0.99489 0.990049 0.00414552 -218.819 0.0528765 
10 1.52 0.997364 0.994802 0.989889 0.00442181 -218.81 0.0523663 
10 1.525 0.997308 0.994691 0.989673 0.00446119 -218.782 0.0544641 
10 1.525 0.997318 0.994706 0.989684 0.00412111 -218.776 0.0527034 
10 1.525 0.997202 0.994483 0.989269 0.00465647 -218.744 0.0552856 
10 1.53 0.997146 0.994374 0.989062 0.00481403 -218.722 0.0561004 
10 1.53 0.997304 0.99468 0.989637 0.00422036 -218.774 0.0519686 
10 1.53 0.997358 0.994789 0.989859 0.00430456 -218.809 0.0527449 
10 1.535 0.997228 0.994534 0.989369 0.00457564 -218.754 0.0546944 
10 1.535 0.997316 0.994703 0.989682 0.00417434 -218.78 0.0520539 
10 1.535 0.996996 0.994078 0.988487 0.00501472 -218.652 0.0593356 
10 1.54 0.997214 0.994502 0.989291 0.00430897 -218.733 0.053851 
10 1.54 0.997194 0.994465 0.989226 0.00447314 -218.728 0.0550977 
10 1.54 0.997132 0.994342 0.988985 0.00452562 -218.709 0.0546601 
10 1.545 0.99717 0.994419 0.989142 0.00458454 -218.72 0.0555099 
10 1.545 0.997034 0.994154 0.988639 0.00499436 -218.675 0.0582782 
10 1.545 0.99703 0.994143 0.988608 0.00482195 -218.667 0.0573262 
10 1.55 0.99683 0.993749 0.987841 0.00508846 -218.569 0.0605058 
10 1.55 0.996926 0.993937 0.9882 0.00484842 -218.619 0.0570405 
10 1.55 0.996976 0.994034 0.988386 0.00471067 -218.635 0.0570666 
10 1.555 0.996982 0.994047 0.988417 0.0047776 -218.634 0.0578311 
10 1.555 0.997058 0.994202 0.988732 0.00495078 -218.677 0.0575521 
10 1.555 0.99694 0.993967 0.988267 0.0049644 -218.619 0.0597907 
10 1.56 0.996812 0.993716 0.987788 0.00527671 -218.571 0.0595785 
10 1.56 0.996734 0.993559 0.98747 0.00516495 -218.527 0.0610871 
10 1.56 0.996776 0.993646 0.987656 0.00538499 -218.56 0.0616886 
10 1.565 0.99681 0.99371 0.987765 0.00507757 -218.562 0.0604598 
