size temperature m m2 m4 mag_sus e sp_heat 
10 1.635 0.995446 0.991037 0.982628 0.00759028 -217.982 0.079875 
10 1.635 0.99568 0.991487 0.983463 0.00662371 -218.058 0.0744454 
10 1.635 0.995622 0.991385 0.983304 0.0074271 -218.063 0.0754608 
10 1.64 0.995554 0.991243 0.983002 0.00699714 -218.015 0.0761685 
10 1.64 0.995526 0.991196 0.982941 0.00753801 -218.035 0.0775464 
10 1.64 0.995408 0.990961 0.982476 0.00754351 -217.971 0.078779 
10 1.645 0.99522 0.990586 0.981733 0.00748642 -217.86 0.0817731 
10 1.645 0.995452 0.991046 0.982635 0.00736995 -217.98 0.0773101 
10 1.645 0.995196 0.990544 0.981673 0.00786149 -217.865 0.0829508 
10 1.65 0.995418 0.990978 0.982499 0.00731183 -217.963 0.0775576 
10 1.65 0.995358 0.990864 0.982292 0.00765163 -217.947 0.0784161 
10 1.65 0.99512 0.99039 0.981353 0.00761852 -217.824 0.0819396 
10 1.655 0.995126 0.990411 0.981431 0.00818635 -217.857 0.0826331 
10 1.655 0.995234 0.990615 0.981794 0.00750485 -217.881 0.0804135 
10 1.655 0.995056 0.990268 0.981134 0.00795389 -217.802 0.0849231 
10 1.66 0.9952 0.990554 0.981698 0.00790843 -217.874 0.0813389 
10 1.66 0.99498 0.990122 0.980864 0.00825058 -217.78 0.0846684 
10 1.66 0.995218 0.990583 0.981734 0.00750678 -217.876 0.0804688 
10 1.665 0.994814 0.989794 0.980223 0.00833786 -217.706 0.086918 
10 1.665 0.994886 0.989943 0.98054 0.00871393 -217.764 0.0861248 
10 1.665 0.99486 0.989888 0.980416 0.0084793 -217.723 0.0885432 
10 1.67 0.994862 0.989893 0.980431 0.00853898 -217.74 0.0855592 
10 1.67 0.994712 0.989587 0.979797 0.00806928 -217.648 0.0841144 
10 1.67 0.994996 0.990153 0.980921 0.00812455 -217.783 0.0850089 
10 1.675 0.994814 0.989791 0.980209 0.00814958 -217.702 0.0844822 
10 1.675 0.99482 0.989804 0.980237 0.00818911 -217.706 0.0853485 
10 1.675 0.994648 0.989471 0.979613 0.00876395 -217.646 0.0880593 
10 1.68 0.994672 0.989508 0.979647 0.00808169 -217.638 0.0843868 
10 1.68 0.994586 0.989343 0.979338 0.00840527 -217.591 0.0881707 
10 1.68 0.994542 0.98926 0.979197 0.00872442 -217.598 0.0895861 
10 1.685 0.994456 0.989088 0.978849 0.00860202 -217.551 0.0884055 
10 1.685 0.994474 0.98913 0.978955 0.00898655 -217.56 0.0906675 
10 1.685 0.994414 0.989007 0.978699 0.00877131 -217.532 0.0891553 
10 1.69 0.994328 0.988848 0.978426 0.00943837 -217.51 0.0928631 
10 1.69 0.994314 0.988815 0.978344 0.00914257 -217.493 0.0920159 
10 1.69 0.99454 0.989257 0.979192 0.00871174 -217.598 0.0879169 
