J2 temperature m m2 m4 ms e sp_h 
0.15 1.19 0.999046 0.998113 0.996305 0.00164789 -229.565 0.0282891 
0.15 1.195 0.999092 0.998205 0.996492 0.00168498 -229.591 0.027844 
0.15 1.195 0.999038 0.998097 0.996276 0.00167318 -229.562 0.0285774 
0.15 1.2 0.999016 0.998054 0.996193 0.00174598 -229.554 0.0293038 
0.15 1.2 0.999 0.998022 0.996129 0.00173 -229.544 0.0295835 
0.15 1.205 0.999 0.998022 0.996129 0.00172946 -229.545 0.0291112 
0.15 1.205 0.998978 0.997979 0.996049 0.00183531 -229.537 0.0305106 
0.15 1.21 0.998918 0.99786 0.995814 0.00189002 -229.507 0.0319947 
0.15 1.21 0.999034 0.998089 0.996261 0.00167164 -229.56 0.0282738 
0.15 1.215 0.998938 0.997899 0.99589 0.00182651 -229.518 0.0302939 
0.15 1.215 0.998864 0.997753 0.995606 0.00198103 -229.484 0.0330736 
0.15 1.22 0.998916 0.997857 0.995809 0.0019168 -229.51 0.0310576 
0.15 1.22 0.998804 0.997637 0.995386 0.00224997 -229.463 0.0349171 
0.15 1.225 0.998868 0.997761 0.99562 0.00193948 -229.484 0.0324008 
0.15 1.225 0.998716 0.997461 0.995036 0.00224256 -229.417 0.0367549 
0.15 1.23 0.998802 0.997631 0.99537 0.00211096 -229.46 0.0337859 
0.15 1.23 0.998804 0.997635 0.995375 0.00208208 -229.458 0.0337372 
0.15 1.235 0.998788 0.997603 0.995309 0.00203814 -229.449 0.0335909 
0.15 1.235 0.998724 0.997477 0.995066 0.00220663 -229.424 0.03556 
0.15 1.24 0.998682 0.997394 0.994903 0.00225668 -229.404 0.0359729 
0.15 1.24 0.998704 0.997437 0.994985 0.00216777 -229.412 0.0351545 
0.15 1.245 0.99862 0.997271 0.994664 0.00235306 -229.374 0.0376327 
0.15 1.245 0.998654 0.997339 0.994801 0.00237014 -229.391 0.0378779 
0.15 1.25 0.998698 0.997426 0.99497 0.00228038 -229.412 0.0357718 
0.15 1.25 0.99867 0.99737 0.994858 0.00226809 -229.396 0.0364739 
0.15 1.255 0.998528 0.997089 0.994308 0.00247277 -229.333 0.0395679 
0.15 1.255 0.9986 0.997232 0.994587 0.00236813 -229.365 0.0380601 
0.15 1.26 0.998556 0.997145 0.994419 0.00245674 -229.345 0.0393144 
0.15 1.26 0.998554 0.997141 0.994408 0.00241501 -229.345 0.0382617 
0.15 1.265 0.998492 0.99702 0.994177 0.00262814 -229.32 0.0410347 
0.15 1.265 0.998448 0.996931 0.993998 0.00257322 -229.295 0.0408601 
0.15 1.27 0.998462 0.996959 0.994054 0.00256965 -229.301 0.0410426 
0.15 1.27 0.998434 0.996905 0.993955 0.00273918 -229.293 0.0428416 
0.15 1.275 0.998456 0.996948 0.994034 0.00260518 -229.301 0.0408466 
0.15 1.275 0.998532 0.997098 0.994326 0.00246627 -229.335 0.0388197 
0.15 1.28 0.998366 0.99677 0.993688 0.00276328 -229.26 0.0432065 
0.15 1.28 0.998406 0.996849 0.993842 0.00268587 -229.278 0.0416885 
0.15 1.285 0.998284 0.996608 0.993371 0.00287746 -229.223 0.0445746 
0.15 1.285 0.998332 0.996703 0.993559 0.00282784 -229.245 0.0438799 
0.15 1.29 0.998218 0.996479 0.993123 0.00306236 -229.199 0.046037 
0.15 1.29 0.998294 0.996627 0.993407 0.00281625 -229.227 0.0436303 
0.15 1.295 0.998106 0.996257 0.992688 0.00317936 -229.145 0.0486088 
0.15 1.295 0.998264 0.99657 0.993301 0.00298581 -229.215 0.0453517 
0.15 1.3 0.998144 0.996333 0.992841 0.00319964 -229.16 0.0492365 
0.15 1.3 0.998162 0.996369 0.99291 0.00316475 -229.169 0.0481372 
0.15 1.305 0.998208 0.996457 0.993074 0.00289875 -229.186 0.0449564 
0.15 1.305 0.998034 0.996115 0.992411 0.00328696 -229.111 0.049862 
0.15 1.31 0.998158 0.996359 0.992887 0.00304176 -229.167 0.0462463 
0.15 1.31 0.997996 0.99604 0.992266 0.00335145 -229.097 0.0502911 
0.15 1.315 0.997852 0.995756 0.991713 0.00358525 -229.035 0.0528713 
0.15 1.315 0.998024 0.996094 0.992365 0.00317684 -229.108 0.0477605 
0.15 1.32 0.997898 0.995846 0.991889 0.00348042 -229.052 0.0519433 
0.15 1.32 0.998076 0.996197 0.992567 0.00310138 -229.13 0.0467837 
0.15 1.325 0.99792 0.995891 0.991978 0.00348933 -229.063 0.0513478 
0.15 1.325 0.997938 0.995926 0.992044 0.00341948 -229.069 0.0507319 
0.15 1.33 0.997854 0.995759 0.991717 0.00349434 -229.031 0.0519926 
0.15 1.33 0.997882 0.995816 0.991836 0.00360557 -229.048 0.0524015 
0.15 1.335 0.997798 0.995649 0.991503 0.00358885 -229.006 0.053605 
0.15 1.335 0.997844 0.99574 0.991682 0.00354095 -229.028 0.0522876 
0.15 1.34 0.997786 0.995625 0.991454 0.00356554 -229.001 0.0521253 
0.15 1.34 0.99762 0.995298 0.990824 0.00394146 -228.933 0.0563751 
0.15 1.345 0.997608 0.995274 0.990774 0.00389281 -228.921 0.0574405 
0.15 1.345 0.997704 0.995464 0.991146 0.00377163 -228.968 0.0550583 
0.15 1.35 0.997482 0.995026 0.990293 0.0041259 -228.864 0.0603882 
0.15 1.35 0.997614 0.995287 0.990804 0.00396052 -228.929 0.0563165 
0.15 1.355 0.99744 0.994945 0.990141 0.00429863 -228.849 0.061341 
0.15 1.355 0.997562 0.995185 0.990604 0.00402776 -228.903 0.0582868 
0.15 1.36 0.997484 0.995029 0.990296 0.00403454 -228.865 0.0584049 
0.15 1.36 0.997466 0.994995 0.990235 0.00416609 -228.861 0.059595 
0.15 1.365 0.997372 0.994809 0.989872 0.00427059 -228.819 0.0607277 
0.15 1.365 0.997418 0.9949 0.990048 0.00419145 -228.839 0.0602302 
0.15 1.37 0.997304 0.994675 0.989608 0.00432785 -228.789 0.0614807 
0.15 1.37 0.99725 0.994571 0.989415 0.00460712 -228.772 0.0630542 
0.15 1.375 0.997374 0.994813 0.989879 0.00423157 -228.821 0.0595969 
0.15 1.375 0.997156 0.994388 0.989068 0.00492158 -228.729 0.0665115 
0.15 1.38 0.997184 0.994437 0.989142 0.00442827 -228.73 0.0631249 
0.15 1.38 0.997322 0.99471 0.989675 0.00424263 -228.795 0.0602188 
0.15 1.385 0.997114 0.994301 0.988883 0.00464051 -228.699 0.0654656 
0.15 1.385 0.997206 0.994485 0.98925 0.00467824 -228.755 0.0632027 
0.15 1.39 0.996954 0.993985 0.988268 0.00486057 -228.629 0.0679815 
0.15 1.39 0.997094 0.99426 0.988802 0.00459821 -228.697 0.0633676 
0.15 1.395 0.996816 0.993715 0.987752 0.00522596 -228.577 0.0714902 
0.15 1.395 0.996944 0.993966 0.988232 0.00489899 -228.63 0.067131 
0.15 1.4 0.99681 0.993703 0.987729 0.00523028 -228.573 0.0703259 
0.15 1.4 0.996846 0.993775 0.987872 0.00522945 -228.59 0.0713408 
0.15 1.405 0.9968 0.993684 0.987694 0.00526121 -228.573 0.0699896 
0.15 1.405 0.99672 0.993526 0.987383 0.0053268 -228.531 0.0724655 
0.15 1.41 0.996886 0.993849 0.987999 0.00479028 -228.597 0.0669469 
0.15 1.41 0.996776 0.993636 0.987595 0.0051919 -228.557 0.070149 
0.15 1.415 0.996656 0.9934 0.987138 0.00539489 -228.503 0.0722895 
0.15 1.415 0.996668 0.993423 0.987181 0.00533836 -228.509 0.0719605 
0.15 1.42 0.99662 0.993332 0.987017 0.0056518 -228.497 0.0732843 
0.15 1.42 0.996632 0.993352 0.987045 0.00539835 -228.488 0.0733295 
0.15 1.425 0.996408 0.992913 0.986202 0.00592123 -228.396 0.0783592 
0.15 1.425 0.996504 0.993099 0.986549 0.00550863 -228.434 0.0741473 
0.15 1.43 0.996278 0.992657 0.985706 0.00610536 -228.343 0.0804494 
0.15 1.43 0.9964 0.992894 0.98615 0.00563916 -228.389 0.0751384 
0.15 1.435 0.996268 0.992631 0.985633 0.00568029 -228.326 0.0766258 
0.15 1.435 0.996272 0.992641 0.985659 0.00581059 -228.328 0.0773974 
0.15 1.44 0.996388 0.992872 0.986114 0.00573843 -228.384 0.0759011 
0.15 1.44 0.996138 0.992377 0.985143 0.0059559 -228.271 0.0788833 
0.15 1.445 0.996124 0.99235 0.985098 0.00605236 -228.264 0.080365 
0.15 1.445 0.99611 0.992326 0.985061 0.00628567 -228.267 0.0813918 
0.15 1.45 0.99622 0.992539 0.985462 0.00585046 -228.311 0.0762451 
0.15 1.45 0.996112 0.992328 0.985057 0.00610782 -228.26 0.0802872 
0.15 1.455 0.996034 0.992175 0.984765 0.00628941 -228.232 0.0807075 
0.15 1.455 0.996026 0.99216 0.984738 0.00634552 -228.226 0.081836 
0.15 1.46 0.995904 0.99192 0.984273 0.00652211 -228.17 0.0850432 
0.15 1.46 0.995866 0.991844 0.984122 0.00650891 -228.153 0.0844585 
0.15 1.465 0.995816 0.991746 0.983932 0.00658117 -228.128 0.08559 
0.15 1.465 0.995884 0.991883 0.984208 0.00666884 -228.172 0.085102 
0.15 1.47 0.995592 0.991305 0.983076 0.006885 -228.034 0.087902 
0.15 1.47 0.995668 0.991458 0.983385 0.00699549 -228.08 0.0879019 
0.15 1.475 0.99562 0.991363 0.983201 0.00706275 -228.047 0.0885947 
0.15 1.475 0.995576 0.991272 0.983009 0.00681954 -228.023 0.0879378 
0.15 1.48 0.99538 0.990889 0.982275 0.00726592 -227.942 0.092044 
0.15 1.48 0.995418 0.990963 0.982416 0.00715711 -227.96 0.0901605 
0.15 1.485 0.995454 0.991034 0.982555 0.0070905 -227.976 0.0891879 
0.15 1.485 0.99542 0.990963 0.982405 0.00689991 -227.956 0.0881121 
0.15 1.49 0.995168 0.990473 0.981476 0.00764643 -227.847 0.0964148 
0.15 1.49 0.995314 0.990759 0.982025 0.00732895 -227.913 0.0923102 
0.15 1.495 0.994976 0.990095 0.980739 0.00785816 -227.763 0.0975473 
0.15 1.495 0.99514 0.990415 0.981351 0.00744217 -227.836 0.093619 
0.15 1.5 0.995208 0.990548 0.981606 0.00727445 -227.866 0.0909281 
0.15 1.5 0.995018 0.990177 0.980898 0.00773998 -227.786 0.0964076 
0.15 1.505 0.994942 0.990029 0.98062 0.00796655 -227.749 0.0984734 
0.15 1.505 0.994958 0.990059 0.98067 0.00780719 -227.76 0.0968681 
0.15 1.51 0.99494 0.990023 0.980595 0.00774546 -227.756 0.0940388 
0.15 1.51 0.994816 0.98978 0.980133 0.00805339 -227.698 0.0983497 
0.15 1.515 0.994778 0.989704 0.979978 0.00796638 -227.673 0.097913 
0.15 1.515 0.99469 0.989541 0.979698 0.00877121 -227.655 0.102627 
0.15 1.52 0.99433 0.988829 0.978307 0.00899284 -227.494 0.107281 
0.15 1.52 0.994346 0.988856 0.978346 0.00871528 -227.5 0.104636 
0.15 1.525 0.994468 0.989099 0.978826 0.00869488 -227.54 0.105484 
0.15 1.525 0.994472 0.989103 0.978821 0.00844074 -227.547 0.102374 
0.15 1.53 0.994166 0.988505 0.977676 0.00908787 -227.424 0.107199 
0.15 1.53 0.994292 0.988752 0.978151 0.0088509 -227.481 0.104879 
0.15 1.535 0.994278 0.988729 0.978121 0.00911653 -227.474 0.106265 
0.15 1.535 0.99407 0.988318 0.97732 0.00930261 -227.386 0.108295 
0.15 1.54 0.993948 0.988071 0.976819 0.00900866 -227.312 0.108482 
0.15 1.54 0.994098 0.988371 0.977415 0.00909652 -227.389 0.107719 
0.15 1.545 0.994016 0.988215 0.977133 0.00952438 -227.368 0.110119 
0.15 1.545 0.99406 0.988294 0.977258 0.00897841 -227.369 0.106339 
0.15 1.55 0.993842 0.987868 0.976442 0.00941155 -227.268 0.111226 
0.15 1.55 0.993596 0.987389 0.975534 0.0100561 -227.174 0.117263 
0.15 1.555 0.99358 0.987355 0.975462 0.00991792 -227.163 0.116528 
0.15 1.555 0.993572 0.987341 0.975437 0.00998848 -227.167 0.11512 
0.15 1.56 0.993538 0.987275 0.975312 0.0100489 -227.138 0.118067 
0.15 1.56 0.993462 0.987122 0.975005 0.00994452 -227.113 0.115593 
0.15 1.565 0.993488 0.987177 0.975127 0.0101466 -227.119 0.117878 
0.15 1.565 0.993466 0.987133 0.975037 0.0101257 -227.115 0.115264 
0.15 1.57 0.993032 0.986289 0.973439 0.0112463 -226.951 0.122974 
0.15 1.57 0.993474 0.987147 0.975058 0.0099625 -227.119 0.114139 
0.15 1.575 0.993094 0.986408 0.973656 0.0109224 -226.961 0.122457 
0.15 1.575 0.99311 0.986437 0.973705 0.0107535 -226.965 0.121901 
0.15 1.58 0.992832 0.98589 0.972646 0.0110367 -226.834 0.126896 
0.15 1.58 0.993084 0.98638 0.973573 0.0103702 -226.953 0.118248 
0.15 1.585 0.99266 0.98556 0.972036 0.0117176 -226.793 0.127941 
0.15 1.585 0.992812 0.985849 0.97256 0.0109081 -226.831 0.124955 
0.15 1.59 0.992488 0.985224 0.971396 0.0120333 -226.715 0.132713 
0.15 1.59 0.992714 0.985655 0.972183 0.0109531 -226.789 0.123892 
0.15 1.595 0.992394 0.985031 0.970995 0.0116181 -226.655 0.130099 
0.15 1.595 0.992292 0.984836 0.970639 0.0120995 -226.613 0.134944 
0.15 1.6 0.992516 0.98528 0.971504 0.0119694 -226.725 0.129763 
0.15 1.6 0.992476 0.985196 0.971324 0.0116868 -226.69 0.130468 
0.15 1.605 0.992308 0.984867 0.970692 0.0119398 -226.626 0.129523 
0.15 1.605 0.992032 0.98433 0.969673 0.0125976 -226.494 0.137957 
0.15 1.61 0.99206 0.984378 0.969744 0.0121041 -226.515 0.132785 
0.15 1.61 0.991954 0.98417 0.969342 0.0122349 -226.466 0.13498 
0.15 1.615 0.991948 0.984162 0.969344 0.0124759 -226.462 0.136758 
0.15 1.615 0.992022 0.984317 0.969678 0.0129877 -226.514 0.139145 
0.15 1.62 0.99173 0.983731 0.968503 0.0125362 -226.386 0.135488 
0.15 1.62 0.991668 0.983616 0.968299 0.012969 -226.345 0.141456 
0.15 1.625 0.991738 0.983752 0.968561 0.012811 -226.388 0.136503 
0.15 1.625 0.991634 0.983543 0.968138 0.0126012 -226.329 0.137875 
0.15 1.63 0.991294 0.982885 0.966903 0.0135611 -226.19 0.144649 
0.15 1.63 0.99155 0.983392 0.96789 0.0135213 -226.307 0.14066 
0.15 1.635 0.99128 0.98286 0.966861 0.0136686 -226.184 0.144511 
0.15 1.635 0.99107 0.982441 0.966029 0.013508 -226.093 0.142969 
0.15 1.64 0.991218 0.982741 0.966643 0.0138656 -226.165 0.145923 
0.15 1.64 0.990748 0.981816 0.964852 0.0142878 -225.958 0.150761 
0.15 1.645 0.990914 0.982139 0.965466 0.0139018 -226.025 0.146328 
0.15 1.645 0.990888 0.982082 0.965333 0.013535 -226.011 0.144641 
0.15 1.65 0.9907 0.981719 0.964658 0.0141085 -225.933 0.14892 
0.15 1.65 0.99063 0.981594 0.96446 0.0149287 -225.914 0.155243 
0.15 1.655 0.990462 0.981253 0.963761 0.0143823 -225.834 0.150505 
0.15 1.655 0.990574 0.981477 0.964209 0.0145203 -225.872 0.152873 
0.15 1.66 0.990438 0.981205 0.963667 0.0143162 -225.807 0.151223 
0.15 1.66 0.99049 0.981306 0.963855 0.0141783 -225.838 0.148331 
0.15 1.665 0.990126 0.980605 0.962554 0.0153552 -225.695 0.157312 
0.15 1.665 0.989994 0.980343 0.962038 0.0152937 -225.626 0.160364 
0.15 1.67 0.989594 0.979572 0.960605 0.0165362 -225.503 0.164354 
0.15 1.67 0.990096 0.980534 0.962371 0.0145767 -225.678 0.151138 
0.15 1.675 0.989796 0.979966 0.961352 0.0161074 -225.573 0.162218 
