J2 temperature m m2 m4 ms e sp_h 
0.15 1.135 0.90322 0.823652 0.699093 0.691266 -189.104 9.47114 
0.15 1.135 0.903896 0.824752 0.700904 0.680566 -189.332 9.44859 
0.15 1.135 0.901058 0.820429 0.694908 0.750996 -188.333 9.9162 
0.15 1.14 0.902498 0.822564 0.697899 0.70714 -188.846 9.60321 
0.15 1.14 0.901758 0.821435 0.696345 0.725227 -188.589 9.73322 
0.15 1.14 0.903266 0.824034 0.700445 0.714436 -189.142 9.73531 
0.15 1.145 0.903004 0.823742 0.700195 0.727121 -189.122 9.79581 
0.15 1.145 0.904944 0.826754 0.703973 0.683874 -189.914 9.00761 
0.15 1.145 0.903354 0.824233 0.700687 0.714829 -189.15 9.66034 
0.15 1.15 0.90371 0.8245 0.700637 0.678994 -189.311 9.21823 
0.15 1.15 0.903468 0.824428 0.700957 0.710732 -189.307 9.45732 
0.15 1.15 0.904416 0.825776 0.702547 0.678903 -189.57 9.24048 
0.15 1.155 0.906016 0.828477 0.706457 0.659017 -190.393 8.62086 
0.15 1.155 0.906798 0.829873 0.708688 0.657197 -190.568 8.79447 
0.15 1.155 0.903418 0.82445 0.701031 0.717378 -189.331 9.38556 
0.15 1.16 0.906134 0.828503 0.706246 0.639994 -190.337 8.53127 
0.15 1.16 0.9064 0.829248 0.707909 0.662641 -190.291 8.97569 
0.15 1.16 0.904676 0.826417 0.703658 0.68775 -189.783 9.05526 
0.15 1.165 0.904632 0.826138 0.703107 0.667734 -189.768 8.82514 
0.15 1.165 0.906218 0.828833 0.707165 0.652561 -190.311 8.7542 
0.15 1.165 0.905188 0.827332 0.705293 0.683829 -189.929 9.12236 
0.15 1.17 0.905254 0.827287 0.704826 0.666841 -190.04 8.66947 
0.15 1.17 0.907122 0.830277 0.708798 0.63307 -190.71 8.25783 
0.15 1.17 0.907112 0.830163 0.708619 0.62486 -190.81 8.11662 
0.15 1.175 0.906822 0.829493 0.707198 0.609946 -190.596 7.97797 
0.15 1.175 0.906716 0.829417 0.707263 0.619834 -190.574 8.07216 
0.15 1.175 0.908342 0.832118 0.711472 0.59852 -191.127 8.02599 
0.15 1.18 0.907054 0.830026 0.708146 0.616878 -190.706 8.01286 
0.15 1.18 0.908798 0.832734 0.711964 0.578013 -191.392 7.58373 
0.15 1.18 0.907514 0.830782 0.709387 0.610161 -190.803 8.03616 
0.15 1.185 0.907336 0.83052 0.708973 0.612809 -190.877 7.87706 
0.15 1.185 0.907656 0.83099 0.709498 0.603425 -190.916 7.87983 
0.15 1.185 0.908356 0.831982 0.710731 0.579877 -191.222 7.55664 
0.15 1.19 0.910468 0.835531 0.716138 0.552849 -192.125 7.16665 
0.15 1.19 0.909198 0.833195 0.712213 0.550756 -191.478 7.27531 
0.15 1.19 0.909204 0.833365 0.712628 0.564162 -191.518 7.40248 
0.15 1.195 0.90904 0.833095 0.712271 0.564154 -191.434 7.3599 
0.15 1.195 0.910572 0.835609 0.716013 0.541228 -192.092 7.10566 
0.15 1.195 0.908408 0.832083 0.710912 0.57558 -191.193 7.51368 
0.15 1.2 0.909732 0.834293 0.714329 0.556694 -191.767 7.29644 
0.15 1.2 0.910048 0.834995 0.7154 0.567313 -191.888 7.3002 
0.15 1.2 0.91021 0.834986 0.715002 0.542003 -191.949 7.02471 
0.15 1.205 0.910064 0.834804 0.714899 0.546695 -191.879 7.0926 
0.15 1.205 0.910278 0.835259 0.715636 0.552093 -192.021 7.07357 
0.15 1.205 0.91054 0.835406 0.715372 0.524743 -192.084 6.80281 
0.15 1.21 0.911814 0.837809 0.719297 0.529315 -192.59 6.81119 
0.15 1.21 0.911662 0.837614 0.71907 0.53603 -192.545 6.77664 
0.15 1.21 0.910352 0.835498 0.716159 0.558482 -192.045 7.09886 
0.15 1.215 0.910318 0.835468 0.716182 0.558767 -192.103 7.03123 
0.15 1.215 0.910842 0.836353 0.717491 0.553107 -192.256 7.01066 
0.15 1.215 0.912432 0.838872 0.720945 0.521765 -192.816 6.743 
0.15 1.22 0.911582 0.837202 0.717864 0.509847 -192.465 6.52113 
0.15 1.22 0.913186 0.83979 0.721544 0.482086 -193.161 6.1961 
0.15 1.22 0.91277 0.839406 0.721676 0.512827 -193.035 6.47855 
0.15 1.225 0.911836 0.83779 0.719148 0.518001 -192.591 6.60752 
0.15 1.225 0.913414 0.840156 0.722062 0.475973 -193.23 6.1065 
0.15 1.225 0.914278 0.841607 0.724355 0.465549 -193.509 6.03444 
0.15 1.23 0.912124 0.838174 0.719492 0.504381 -192.775 6.36975 
0.15 1.23 0.913522 0.840236 0.722064 0.464526 -193.261 5.9922 
0.15 1.23 0.912334 0.838568 0.720247 0.505294 -192.793 6.39269 
0.15 1.235 0.913524 0.84046 0.722535 0.480491 -193.247 6.0281 
0.15 1.235 0.912734 0.839138 0.72088 0.490271 -193.029 6.13838 
0.15 1.235 0.9151 0.843074 0.726274 0.458811 -193.912 5.74657 
0.15 1.24 0.914412 0.841958 0.724911 0.468456 -193.675 5.87688 
0.15 1.24 0.914802 0.842507 0.725571 0.455186 -193.798 5.76679 
0.15 1.24 0.914176 0.841396 0.723878 0.457942 -193.494 5.86067 
0.15 1.245 0.913132 0.839818 0.721658 0.482528 -193.123 5.98817 
0.15 1.245 0.91481 0.842364 0.725126 0.440693 -193.836 5.55894 
0.15 1.245 0.914504 0.841746 0.723676 0.436025 -193.687 5.45915 
0.15 1.25 0.915552 0.843691 0.727134 0.436472 -194.035 5.53485 
0.15 1.25 0.91458 0.842003 0.724476 0.443691 -193.655 5.63981 
0.15 1.25 0.914856 0.842635 0.725882 0.453864 -193.874 5.69012 
0.15 1.255 0.915026 0.842863 0.726125 0.445433 -193.833 5.67735 
0.15 1.255 0.91382 0.841004 0.723497 0.473087 -193.462 5.81162 
0.15 1.255 0.914332 0.841798 0.724561 0.461752 -193.674 5.70922 
0.15 1.26 0.915012 0.842902 0.726214 0.448781 -193.826 5.64218 
