J2 temperature m m2 m4 ms e sp_h 
0.15 1.125 0.999428 0.998868 0.997783 0.00104469 -229.739 0.0192246 
0.15 1.13 0.999434 0.99888 0.997807 0.00103006 -229.741 0.018884 
0.15 1.13 0.999394 0.998801 0.997652 0.00110378 -229.723 0.0201641 
0.15 1.13 0.999412 0.998836 0.997721 0.00106675 -229.732 0.0193692 
0.15 1.135 0.999318 0.998651 0.997359 0.00125241 -229.69 0.0224332 
0.15 1.135 0.999364 0.998742 0.997541 0.00122604 -229.712 0.0216673 
0.15 1.135 0.999344 0.998703 0.997463 0.001259 -229.702 0.0224719 
0.15 1.14 0.999322 0.998659 0.997376 0.00126845 -229.692 0.0226364 
0.15 1.14 0.99931 0.998635 0.997327 0.00125297 -229.686 0.0223658 
0.15 1.14 0.99939 0.998793 0.997639 0.00113578 -229.723 0.0201885 
0.15 1.145 0.99926 0.998536 0.997136 0.00137052 -229.664 0.0242495 
0.15 1.145 0.999342 0.998699 0.997454 0.0012373 -229.702 0.0216797 
0.15 1.145 0.999372 0.998757 0.997566 0.00111839 -229.714 0.0200784 
0.15 1.15 0.999298 0.998611 0.997282 0.00128932 -229.681 0.0228237 
0.15 1.15 0.999358 0.99873 0.997515 0.00118503 -229.708 0.0208233 
0.15 1.15 0.999264 0.998543 0.997146 0.00128159 -229.663 0.0230955 
0.15 1.155 0.999316 0.998646 0.997349 0.00120625 -229.688 0.0214236 
0.15 1.155 0.99929 0.998596 0.997252 0.00130354 -229.676 0.0230479 
0.15 1.155 0.999302 0.998619 0.997296 0.00124959 -229.681 0.0222984 
0.15 1.16 0.999272 0.99856 0.99718 0.00129914 -229.668 0.0229339 
0.15 1.16 0.999238 0.998493 0.99705 0.00138098 -229.654 0.0237084 
0.15 1.16 0.999214 0.998445 0.996958 0.00143985 -229.643 0.0251132 
0.15 1.165 0.999252 0.99852 0.997103 0.00133223 -229.659 0.0235349 
0.15 1.165 0.999208 0.998433 0.996934 0.00142255 -229.639 0.0249715 
0.15 1.165 0.999244 0.998504 0.997072 0.0013518 -229.655 0.0238905 
0.15 1.17 0.999164 0.998346 0.996764 0.00149924 -229.618 0.0264055 
0.15 1.17 0.999216 0.99845 0.996967 0.0014449 -229.646 0.0244371 
0.15 1.17 0.999216 0.998449 0.996966 0.00141755 -229.643 0.0247396 
0.15 1.175 0.999212 0.998441 0.996948 0.00138375 -229.64 0.0242687 
0.15 1.175 0.999112 0.998244 0.996565 0.00161459 -229.598 0.0274321 
0.15 1.175 0.999134 0.998287 0.996649 0.00156 -229.608 0.0264108 
0.15 1.18 0.99913 0.998278 0.996629 0.00149179 -229.602 0.0261994 
0.15 1.18 0.999122 0.998263 0.996603 0.00157874 -229.601 0.0271 
0.15 1.18 0.99919 0.998397 0.996862 0.00141219 -229.631 0.0244796 
0.15 1.185 0.999146 0.998311 0.996697 0.00154858 -229.611 0.0265295 
0.15 1.185 0.999122 0.998263 0.996603 0.00157883 -229.602 0.0265778 
0.15 1.185 0.99915 0.99832 0.996718 0.00163692 -229.618 0.0266119 
0.15 1.19 0.99908 0.99818 0.996438 0.00160282 -229.581 0.0275166 
0.15 1.19 0.999052 0.998124 0.996328 0.00163204 -229.568 0.0281785 
0.15 1.19 0.999072 0.998164 0.996409 0.00164864 -229.579 0.0277308 
0.15 1.195 0.999126 0.998271 0.996618 0.00155281 -229.602 0.026548 
0.15 1.195 0.999028 0.998077 0.996238 0.00170169 -229.558 0.02897 
0.15 1.195 0.999032 0.998085 0.996251 0.00166217 -229.56 0.028308 
0.15 1.2 0.999006 0.998034 0.996155 0.00177433 -229.55 0.0293991 
0.15 1.2 0.999024 0.998069 0.996221 0.00168729 -229.554 0.0288677 
0.15 1.2 0.99896 0.997943 0.995974 0.00179653 -229.528 0.0300975 
0.15 1.205 0.998952 0.997927 0.995944 0.00182089 -229.522 0.0309086 
0.15 1.205 0.99893 0.997883 0.995859 0.00185354 -229.51 0.0319718 
0.15 1.205 0.999056 0.998133 0.996346 0.00163891 -229.57 0.0277169 
0.15 1.21 0.998892 0.997808 0.995709 0.00186879 -229.494 0.0317331 
0.15 1.21 0.998892 0.997808 0.995713 0.00192168 -229.497 0.0321076 
0.15 1.21 0.998984 0.997991 0.996072 0.00182543 -229.539 0.0304217 
0.15 1.215 0.998838 0.997702 0.995505 0.00201891 -229.474 0.0328745 
0.15 1.215 0.99889 0.997804 0.995703 0.00189695 -229.494 0.0318466 
0.15 1.215 0.998886 0.997797 0.995694 0.00199498 -229.496 0.0326635 
0.15 1.22 0.998884 0.997793 0.995684 0.00195693 -229.494 0.0324754 
0.15 1.22 0.998904 0.997832 0.995757 0.0018622 -229.502 0.0308244 
0.15 1.22 0.99882 0.997666 0.995436 0.00205636 -229.465 0.0337976 
0.15 1.225 0.998808 0.997642 0.995385 0.0019934 -229.456 0.0335456 
0.15 1.225 0.998876 0.997777 0.995652 0.00194748 -229.49 0.0319889 
0.15 1.225 0.998774 0.997576 0.995264 0.00219893 -229.448 0.0348644 
0.15 1.23 0.998866 0.997757 0.995611 0.00192147 -229.484 0.0317401 
0.15 1.23 0.998784 0.997596 0.995299 0.00213019 -229.45 0.0344249 
0.15 1.23 0.998776 0.997579 0.995264 0.00207657 -229.445 0.0340273 
0.15 1.235 0.99882 0.997668 0.995442 0.0021156 -229.467 0.0339745 
0.15 1.235 0.998752 0.997532 0.995174 0.00215405 -229.433 0.0352322 
0.15 1.235 0.998762 0.997552 0.995213 0.00214634 -229.44 0.0346248 
0.15 1.24 0.998692 0.997414 0.994945 0.00228783 -229.407 0.0370529 
0.15 1.24 0.998766 0.99756 0.995228 0.00211268 -229.44 0.0344656 
0.15 1.24 0.998662 0.997354 0.994823 0.0022395 -229.392 0.0367373 
0.15 1.245 0.998686 0.997401 0.994916 0.00220349 -229.401 0.0361868 
0.15 1.245 0.998692 0.997414 0.994944 0.00225937 -229.408 0.0362661 
0.15 1.245 0.998584 0.997201 0.99453 0.00247992 -229.361 0.0393151 
0.15 1.25 0.998722 0.997472 0.995054 0.00211894 -229.419 0.0342939 
0.15 1.25 0.998666 0.997362 0.994841 0.00225444 -229.394 0.036513 
0.15 1.25 0.998604 0.99724 0.994605 0.00240409 -229.368 0.0384288 
0.15 1.255 0.998606 0.997243 0.99461 0.00235353 -229.369 0.0372103 
0.15 1.255 0.998612 0.997256 0.994638 0.00241541 -229.373 0.0381548 
