nth step2 temp ene nn nnn nnnn 
1 1024 2.493 -183.2 -168 -160 -160
1 1024 2.493 -168.8 -156 -156 -152
1 1024 2.493 -200.8 -184 -184 -184
1 1024 2.493 -184 -168 -156 -152
1 1024 2.493 -192 -176 -180 -176
1 1024 2.493 -111.2 -104 -80 -64
1 1024 2.493 -191.2 -176 -176 -176
1 1024 2.493 -179.2 -164 -152 -156
1 1024 2.493 -144 -132 -112 -104
1 1024 2.493 -200.8 -184 -184 -184
1 1024 2.493 -206.4 -188 -184 -184
1 1024 2.493 -150.4 -140 -128 -136
1 1024 2.493 -142.4 -132 -112 -108
1 1024 2.493 -152.8 -140 -124 -104
1 1024 2.493 -220 -200 -200 -200
1 1024 2.493 -139.2 -128 -100 -104
1 1024 2.493 -188.8 -172 -160 -144
1 1024 2.493 -175.2 -160 -152 -144
1 1024 2.493 -175.2 -160 -152 -144
1 1024 2.493 -187.2 -172 -168 -168
1 1024 2.493 -133.6 -124 -108 -92
1 1024 2.493 -174.4 -160 -148 -140
1 1024 2.493 -116 -108 -84 -64
1 1024 2.493 -117.6 -112 -112 -96
1 1024 2.493 -184 -168 -164 -148
1 1024 2.493 -174.4 -160 -156 -140
1 1024 2.493 -192 -176 -180 -176
1 1024 2.493 -116.8 -108 -80 -92
1 1024 2.493 -104 -96 -60 -76
1 1024 2.493 -151.2 -140 -132 -132
1 1024 2.493 -160 -148 -136 -144
1 1024 2.493 -200.8 -184 -184 -184
1 1024 2.493 -136.8 -128 -128 -120
1 1024 2.493 -162.4 -148 -124 -112
1 1024 2.493 -184 -168 -156 -156
1 1024 2.493 -196.8 -180 -176 -176
1 1024 2.493 -202.4 -184 -176 -180
1 1024 2.493 -202.4 -184 -176 -180
1 1024 2.493 -188 -172 -164 -160
1 1024 2.493 -154.4 -144 -136 -144
1 1024 2.493 -210.4 -192 -192 -192
1 1024 2.493 -152.8 -140 -116 -108
1 1024 2.493 -184.8 -168 -152 -148
1 1024 2.493 -206.4 -188 -184 -184
1 1024 2.493 -164 -152 -144 -148
1 1024 2.493 -173.6 -160 -160 -152
1 1024 2.493 -130.4 -120 -96 -76
1 1024 2.493 -164.8 -152 -140 -144
1 1024 2.493 -206.4 -188 -184 -184
1 1024 2.493 -196.8 -180 -176 -176
1 1024 2.493 -196.8 -180 -176 -176
1 1024 2.493 -206.4 -188 -184 -184
1 1024 2.493 -170.4 -156 -140 -120
1 1024 2.493 -179.2 -164 -152 -144
1 1024 2.493 -161.6 -148 -128 -120
1 1024 2.493 -187.2 -172 -168 -168
1 1024 2.493 -192.8 -176 -168 -168
1 1024 2.493 -197.6 -180 -180 -176
1 1024 2.493 -196.8 -180 -176 -176
1 1024 2.493 -173.6 -160 -152 -144
1 1024 2.493 -200.8 -184 -184 -188
1 1024 2.493 -165.6 -152 -144 -140
1 1024 2.493 -191.2 -176 -176 -176
1 1024 2.493 -198.4 -180 -168 -176
1 1024 2.493 -160 -148 -136 -136
1 1024 2.493 -173.6 -160 -152 -152
1 1024 2.493 -220 -200 -200 -200
1 1024 2.493 -191.2 -176 -176 -176
1 1024 2.493 -152 -140 -120 -132
1 1024 2.493 -124.8 -116 -104 -104
1 1024 2.493 -164.8 -152 -148 -156
1 1024 2.493 -187.2 -172 -168 -164
1 1024 2.493 -220 -200 -200 -200
1 1024 2.493 -200.8 -184 -184 -184
1 1024 2.493 -174.4 -160 -148 -140
1 1024 2.493 -183.2 -168 -160 -160
1 1024 2.493 -136.8 -128 -120 -104
1 1024 2.493 -200.8 -184 -184 -184
1 1024 2.493 -168.8 -156 -148 -152
1 1024 2.493 -143.2 -132 -124 -120
1 1024 2.493 -78.4 -72 -44 -36
1 1024 2.493 -83.2 -76 -48 -28
1 1024 2.493 -96.8 -88 -72 -44
1 1024 2.493 -96.8 -88 -72 -40
1 1024 2.493 -100 -92 -76 -56
1 1024 2.493 -86.4 -80 -44 -36
1 1024 2.493 -88.8 -84 -52 -44
1 1024 2.493 -130.4 -120 -96 -88
1 1024 2.493 -121.6 -112 -84 -72
1 1024 2.493 -130.4 -120 -88 -80
1 1024 2.493 -179.2 -164 -152 -152
1 1024 2.493 -143.2 -132 -108 -84
1 1024 2.493 -143.2 -132 -108 -88
1 1024 2.493 -156 -144 -128 -140
1 1024 2.493 -138.4 -128 -112 -104
1 1024 2.493 -121.6 -112 -84 -68
1 1024 2.493 -155.2 -144 -140 -136
1 1024 2.493 -196.8 -180 -176 -176
1 1024 2.493 -158.4 -144 -124 -112
1 1024 2.493 -169.6 -156 -144 -140
1 1024 2.493 -157.6 -144 -120 -108
1 1024 2.493 -172.8 -160 -164 -168
1 1024 2.493 -160 -148 -136 -144
1 1024 2.493 -196.8 -180 -176 -176
1 1024 2.493 -184 -168 -156 -152
1 1024 2.493 -155.2 -144 -132 -116
1 1024 2.493 -135.2 -124 -108 -100
1 1024 2.493 -144 -132 -112 -100
1 1024 2.493 -113.6 -104 -68 -56
1 1024 2.493 -112 -100 -56 -56
1 1024 2.493 -106.4 -96 -64 -48
1 1024 2.493 -127.2 -116 -100 -84
1 1024 2.493 -113.6 -104 -84 -64
1 1024 2.493 -120.8 -112 -80 -76
1 1024 2.493 -140 -128 -96 -84
1 1024 2.493 -126.4 -116 -96 -76
1 1024 2.493 -179.2 -164 -160 -148
1 1024 2.493 -173.6 -160 -168 -160
1 1024 2.493 -174.4 -160 -156 -152
1 1024 2.493 -188 -172 -172 -168
1 1024 2.493 -157.6 -144 -128 -116
1 1024 2.493 -157.6 -144 -128 -116
1 1024 2.493 -150.4 -140 -128 -120
1 1024 2.493 -148.8 -136 -108 -132
1 1024 2.493 -121.6 -112 -84 -48
1 1024 2.493 -147.2 -136 -124 -128
1 1024 2.493 -112.8 -104 -72 -68
1 1024 2.493 -132 -120 -80 -76
1 1024 2.493 -112 -104 -84 -68
1 1024 2.493 -143.2 -132 -124 -120
1 1024 2.493 -197.6 -180 -172 -164
1 1024 2.493 -130.4 -120 -96 -96
1 1024 2.493 -188 -172 -172 -168
1 1024 2.493 -164.8 -152 -140 -148
1 1024 2.493 -168 -156 -152 -152
1 1024 2.493 -178.4 -164 -156 -152
1 1024 2.493 -148.8 -136 -116 -96
1 1024 2.493 -176 -160 -140 -128
1 1024 2.493 -178.4 -164 -156 -160
1 1024 2.493 -67.2 -64 -44 -24
1 1024 2.493 -120.8 -112 -112 -92
1 1024 2.493 -178.4 -164 -164 -160
1 1024 2.493 -165.6 -152 -144 -128
1 1024 2.493 -188.8 -172 -160 -168
1 1024 2.493 -177.6 -164 -160 -164
1 1024 2.493 -210.4 -192 -192 -192
1 1024 2.493 -200.8 -184 -184 -184
1 1024 2.493 -156.8 -144 -132 -124
1 1024 2.493 -200.8 -184 -184 -184
1 1024 2.493 -206.4 -188 -184 -184
1 1024 2.493 -201.6 -184 -188 -184
1 1024 2.493 -175.2 -160 -144 -128
1 1024 2.493 -200.8 -184 -184 -184
1 1024 2.493 -220 -200 -200 -200
1 1024 2.493 -188.8 -172 -160 -156
1 1024 2.493 -192.8 -176 -168 -172
1 1024 2.493 -160.8 -148 -140 -128
1 1024 2.493 -180.8 -164 -152 -148
1 1024 2.493 -183.2 -168 -160 -156
1 1024 2.493 -169.6 -156 -144 -144
1 1024 2.493 -177.6 -164 -160 -160
1 1024 2.493 -120 -112 -100 -80
1 1024 2.493 -112.8 -104 -72 -60
1 1024 2.493 -122.4 -112 -80 -60
1 1024 2.493 -80.8 -76 -52 -20
1 1024 2.493 -148.8 -140 -136 -144
1 1024 2.493 -126.4 -116 -112 -80
1 1024 2.493 -210.4 -192 -192 -192
1 1024 2.493 -200.8 -184 -184 -184
1 1024 2.493 -168.8 -156 -148 -144
1 1024 2.493 -148 -136 -112 -104
1 1024 2.493 -104.8 -96 -72 -56
1 1024 2.493 -117.6 -108 -84 -68
1 1024 2.493 -159.2 -148 -140 -136
1 1024 2.493 -152 -140 -136 -128
1 1024 2.493 -171.2 -156 -136 -144
1 1024 2.493 -200.8 -184 -184 -184
1 1024 2.493 -136 -124 -120 -120
1 1024 2.493 -152.8 -140 -132 -128
1 1024 2.493 -169.6 -156 -152 -148
1 1024 2.493 -188 -172 -164 -164
1 1024 2.493 -154.4 -144 -136 -132
1 1024 2.493 -200.8 -184 -184 -184
1 1024 2.493 -210.4 -192 -192 -192
1 1024 2.493 -151.2 -140 -124 -124
1 1024 2.493 -84 -80 -48 -32
1 1024 2.493 -138.4 -128 -120 -112
1 1024 2.493 -165.6 -152 -136 -132
1 1024 2.493 -187.2 -172 -168 -172
1 1024 2.493 -187.2 -172 -168 -168
1 1024 2.493 -147.2 -136 -116 -108
1 1024 2.493 -191.2 -176 -176 -176
1 1024 2.493 -210.4 -192 -192 -192
1 1024 2.493 -147.2 -136 -124 -112
1 1024 2.493 -192 -176 -172 -168
1 1024 2.493 -188 -172 -164 -160
1 1024 2.493 -160 -148 -144 -136
1 1024 2.493 -169.6 -156 -144 -152
1 1024 2.493 -191.2 -176 -176 -176
1 1024 2.493 -148.8 -136 -124 -124
1 1024 2.493 -210.4 -192 -192 -192
1 1024 2.493 -220 -200 -200 -200
1 1024 2.493 -179.2 -164 -152 -148
1 1024 2.493 -164.8 -152 -140 -144
1 1024 2.493 -197.6 -180 -172 -164
1 1024 2.493 -187.2 -172 -168 -168
1 1024 2.493 -164 -152 -144 -152
1 1024 2.493 -132 -120 -80 -72
1 1024 2.493 -191.2 -176 -176 -176
1 1024 2.493 -147.2 -136 -116 -116
1 1024 2.493 -169.6 -156 -144 -148
1 1024 2.493 -220 -200 -200 -200
1 1024 2.493 -155.2 -144 -132 -136
1 1024 2.493 -156 -144 -128 -120
1 1024 2.493 -147.2 -136 -116 -100
1 1024 2.493 -139.2 -128 -100 -88
1 1024 2.493 -144.8 -132 -108 -84
1 1024 2.493 -166.4 -152 -132 -132
1 1024 2.493 -183.2 -168 -160 -156
1 1024 2.493 -143.2 -132 -108 -84
1 1024 2.493 -188.8 -172 -160 -164
1 1024 2.493 -191.2 -176 -176 -176
1 1024 2.493 -210.4 -192 -192 -192
1 1024 2.493 -196.8 -180 -176 -176
1 1024 2.493 -196.8 -180 -176 -176
1 1024 2.493 -210.4 -192 -192 -192
1 1024 2.493 -181.6 -168 -168 -168
1 1024 2.493 -164 -152 -144 -152
1 1024 2.493 -160 -148 -136 -128
1 1024 2.493 -206.4 -188 -184 -184
1 1024 2.493 -163.2 -152 -148 -148
1 1024 2.493 -182.4 -168 -164 -160
1 1024 2.493 -147.2 -136 -116 -104
1 1024 2.493 -160.8 -148 -132 -132
1 1024 2.493 -142.4 -132 -120 -112
1 1024 2.493 -81.6 -76 -48 -36
1 1024 2.493 -146.4 -136 -128 -124
1 1024 2.493 -181.6 -168 -168 -168
1 1024 2.493 -201.6 -184 -188 -184
1 1024 2.493 -165.6 -152 -152 -148
1 1024 2.493 -111.2 -100 -92 -72
1 1024 2.493 -115.2 -108 -104 -84
1 1024 2.493 -173.6 -160 -160 -156
1 1024 2.493 -116.8 -108 -72 -56
1 1024 2.493 -101.6 -96 -64 -40
1 1024 2.493 -100.8 -96 -76 -56
1 1024 2.493 -169.6 -156 -152 -144
1 1024 2.493 -166.4 -152 -148 -140
1 1024 2.493 -133.6 -124 -100 -76
1 1024 2.493 -155.2 -140 -104 -88
1 1024 2.493 -142.4 -128 -84 -56
1 1024 2.493 -142.4 -128 -84 -56
1 1024 2.493 -140 -128 -96 -68
1 1024 2.493 -114.4 -104 -64 -56
1 1024 2.493 -132 -120 -80 -88
1 1024 2.493 -132 -120 -80 -88
1 1024 2.493 -220 -200 -200 -200
1 1024 2.493 -156.8 -144 -132 -124
1 1024 2.493 -156.8 -144 -124 -112
1 1024 2.493 -158.4 -144 -116 -92
1 1024 2.493 -164.8 -152 -140 -136
1 1024 2.493 -187.2 -172 -168 -168
1 1024 2.493 -178.4 -164 -156 -148
1 1024 2.493 -192 -176 -172 -168
1 1024 2.493 -164.8 -152 -140 -140
1 1024 2.493 -144 -132 -104 -96
1 1024 2.493 -152.8 -140 -140 -144
1 1024 2.493 -147.2 -136 -116 -124
1 1024 2.493 -139.2 -128 -100 -120
1 1024 2.493 -121.6 -112 -108 -96
1 1024 2.493 -112.8 -104 -104 -96
1 1024 2.493 -164 -152 -152 -136
1 1024 2.493 -182.4 -168 -172 -172
1 1024 2.493 -182.4 -168 -164 -164
1 1024 2.493 -200.8 -184 -184 -184
1 1024 2.493 -191.2 -176 -176 -176
1 1024 2.493 -116.8 -108 -88 -76
1 1024 2.493 -147.2 -136 -132 -116
1 1024 2.493 -175.2 -160 -152 -148
1 1024 2.493 -200.8 -184 -184 -184
1 1024 2.493 -167.2 -152 -136 -136
1 1024 2.493 -131.2 -120 -92 -68
1 1024 2.493 -127.2 -116 -92 -60
1 1024 2.493 -117.6 -108 -68 -32
1 1024 2.493 -104 -96 -52 -24
1 1024 2.493 -117.6 -108 -68 -52
1 1024 2.493 -130.4 -120 -104 -100
1 1024 2.493 -116.8 -108 -72 -64
1 1024 2.493 -114.4 -108 -92 -88
1 1024 2.493 -80.8 -76 -44 -40
1 1024 2.493 -133.6 -124 -108 -104
1 1024 2.493 -188 -172 -172 -168
1 1024 2.493 -220 -200 -200 -200
1 1024 2.493 -147.2 -136 -116 -100
1 1024 2.493 -175.2 -160 -144 -148
1 1024 2.493 -164.8 -152 -140 -140
1 1024 2.493 -144.8 -132 -108 -96
1 1024 2.493 -179.2 -164 -152 -156
1 1024 2.493 -187.2 -172 -168 -168
1 1024 2.493 -162.4 -152 -152 -156
1 1024 2.493 -182.4 -168 -164 -160
1 1024 2.493 -156.8 -144 -124 -116
1 1024 2.493 -134.4 -124 -104 -96
1 1024 2.493 -90.4 -84 -44 -24
1 1024 2.493 -137.6 -128 -116 -108
1 1024 2.493 -138.4 -128 -104 -100
1 1024 2.493 -144.8 -132 -100 -80
1 1024 2.493 -173.6 -160 -152 -152
1 1024 2.493 -187.2 -172 -168 -168
1 1024 2.493 -210.4 -192 -192 -192
1 1024 2.493 -210.4 -192 -192 -192
1 1024 2.493 -183.2 -168 -160 -164
1 1024 2.493 -183.2 -168 -160 -168
1 1024 2.493 -183.2 -168 -160 -164
