J: 3.54914 1.11232 0 0 
nth temperature m m2 m4 ms e sp_h 
1 1.2 0.999152 0.998325 0.996734 0.00172007 -219.613 0.0274451 
1 1.205 0.999134 0.998289 0.996659 0.00166722 -219.602 0.0274216 
1 1.205 0.999132 0.998284 0.996647 0.0016105 -219.598 0.0272894 
1 1.21 0.999208 0.998435 0.996945 0.00152833 -219.638 0.0250194 
1 1.21 0.99914 0.998301 0.996686 0.00170417 -219.607 0.0276192 
1 1.215 0.999124 0.99827 0.996625 0.00174096 -219.6 0.0279329 
1 1.215 0.999214 0.998447 0.996967 0.00149977 -219.637 0.0251733 
1 1.22 0.999068 0.998159 0.996406 0.00179765 -219.574 0.0291198 
1 1.22 0.9991 0.998221 0.996524 0.00165164 -219.584 0.0275366 
1 1.225 0.99909 0.998202 0.996492 0.00176424 -219.583 0.0282564 
1 1.225 0.999106 0.998233 0.99655 0.0016817 -219.588 0.0276159 
1 1.23 0.999104 0.998232 0.996554 0.00184693 -219.597 0.0279757 
1 1.23 0.999034 0.998092 0.996275 0.00183958 -219.559 0.0292919 
1 1.235 0.998894 0.997817 0.995744 0.00222322 -219.497 0.0341961 
1 1.235 0.998984 0.997993 0.996082 0.00192451 -219.536 0.0304833 
1 1.24 0.998968 0.997962 0.996025 0.00201734 -219.53 0.0313506 
1 1.24 0.999004 0.998033 0.996164 0.00195226 -219.546 0.0303052 
1 1.245 0.998924 0.997875 0.995855 0.00207247 -219.511 0.032105 
1 1.245 0.998956 0.997939 0.995981 0.00205221 -219.528 0.0313945 
1 1.25 0.998946 0.997919 0.995941 0.00204553 -219.521 0.03089 
1 1.25 0.998952 0.997929 0.995956 0.00192174 -219.515 0.0314986 
1 1.255 0.998834 0.997697 0.995506 0.00218968 -219.467 0.0339772 
1 1.255 0.9989 0.997828 0.995765 0.00214741 -219.5 0.0322294 
1 1.26 0.998894 0.997817 0.995747 0.0022172 -219.498 0.0336738 
1 1.26 0.998836 0.9977 0.995508 0.00210834 -219.466 0.0331668 
1 1.265 0.998772 0.997576 0.995276 0.00241044 -219.446 0.0353532 
1 1.265 0.99882 0.997671 0.995463 0.00236266 -219.465 0.0354055 
1 1.27 0.998784 0.9976 0.995321 0.00236546 -219.447 0.0351161 
1 1.27 0.998728 0.997489 0.995107 0.00248047 -219.429 0.036089 
1 1.275 0.998734 0.997499 0.995118 0.00229939 -219.418 0.035712 
1 1.275 0.99865 0.997337 0.994816 0.00274647 -219.395 0.038054 
1 1.28 0.998662 0.997358 0.994849 0.00252576 -219.391 0.0381579 
1 1.28 0.998734 0.997501 0.995129 0.00244041 -219.432 0.0346242 
1 1.285 0.998598 0.997233 0.994606 0.00268906 -219.364 0.039675 
1 1.285 0.99862 0.997277 0.994697 0.00273429 -219.382 0.0378933 
1 1.29 0.998576 0.997188 0.994516 0.00263971 -219.353 0.0387739 
1 1.29 0.99855 0.997138 0.994425 0.00280446 -219.346 0.040569 
1 1.295 0.998544 0.997126 0.994397 0.00273977 -219.344 0.0395768 
1 1.295 0.998626 0.997288 0.994717 0.00265576 -219.378 0.0389034 
1 1.3 0.998438 0.996917 0.993993 0.00297232 -219.296 0.041711 
1 1.3 0.99867 0.997374 0.994879 0.00247008 -219.395 0.0363271 
1 1.305 0.998446 0.99693 0.994007 0.00272376 -219.285 0.0415348 
1 1.305 0.99835 0.996746 0.99367 0.00333161 -219.267 0.0439239 
1 1.31 0.998472 0.996982 0.994113 0.00274086 -219.299 0.0409117 
1 1.31 0.99843 0.996901 0.993959 0.00291718 -219.298 0.0404802 
1 1.315 0.998352 0.996749 0.993669 0.00318206 -219.258 0.0448722 
1 1.315 0.998246 0.996538 0.993254 0.0032611 -219.207 0.0461881 
1 1.32 0.998316 0.996675 0.993518 0.00305789 -219.236 0.0440516 
1 1.32 0.998352 0.996751 0.99368 0.00332152 -219.263 0.045382 
1 1.325 0.998194 0.996438 0.993068 0.00351837 -219.191 0.0486624 
1 1.325 0.998158 0.996366 0.992926 0.00353261 -219.168 0.0487282 
1 1.33 0.998182 0.996417 0.993038 0.0037545 -219.191 0.0479835 
1 1.33 0.998156 0.996362 0.992916 0.0034917 -219.174 0.0478469 
1 1.335 0.998148 0.996347 0.992893 0.00359027 -219.17 0.0486747 
1 1.335 0.997954 0.995967 0.992162 0.00413587 -219.087 0.0531212 
1 1.34 0.99808 0.996213 0.992628 0.00364728 -219.136 0.0507482 
1 1.34 0.998064 0.996178 0.992549 0.00343969 -219.125 0.0485027 
1 1.345 0.997874 0.995808 0.991845 0.0040922 -219.054 0.0545041 
1 1.345 0.998004 0.996065 0.99235 0.00394468 -219.121 0.0499219 
1 1.35 0.997712 0.995487 0.99122 0.00431149 -218.978 0.057536 
1 1.35 0.997874 0.995809 0.991854 0.00420742 -219.055 0.0542918 
