sizes temp ene 
10 3.195 -93.9935 
10 3.195 -94.4002 
10 3.195 -93.9826 
10 3.2 -93.5803 
10 3.2 -93.3989 
10 3.2 -93.4614 
10 3.2 -93.555 
10 3.2 -93.3717 
10 3.2 -93.4931 
10 3.2 -93.984 
10 3.2 -93.7022 
10 3.2 -93.2141 
10 3.2 -93.5877 
10 3.2 -93.8702 
10 3.2 -93.4678 
10 3.2 -93.5756 
10 3.2 -93.5753 
10 3.2 -93.7446 
10 3.2 -92.8419 
10 3.2 -93.9273 
10 3.2 -93.6454 
10 3.2 -93.5831 
10 3.2 -94.2698 
10 3.2 -93.4457 
10 3.2 -93.5269 
10 3.2 -93.239 
10 3.2 -94.0348 
10 3.2 -93.4382 
10 3.205 -93.3878 
10 3.205 -93.1779 
10 3.205 -93.2091 
10 3.205 -92.9348 
10 3.205 -93.9076 
10 3.205 -93.4591 
10 3.205 -93.6194 
10 3.205 -93.2226 
10 3.205 -93.5209 
10 3.205 -93.2395 
10 3.205 -93.7392 
10 3.205 -93.6703 
10 3.205 -93.6871 
10 3.205 -93.4934 
10 3.205 -93.7136 
10 3.205 -93.2101 
10 3.205 -93.3229 
10 3.205 -93.0666 
10 3.205 -93.2418 
10 3.205 -93.8734 
10 3.205 -93.3649 
10 3.205 -93.59 
10 3.205 -93.3778 
10 3.205 -93.195 
10 3.205 -93.4186 
10 3.21 -93.1459 
10 3.21 -93.7566 
10 3.21 -92.8427 
10 3.21 -93.1666 
10 3.21 -93.102 
10 3.21 -93.1499 
10 3.21 -92.8718 
10 3.21 -93.041 
10 3.21 -93.0658 
10 3.21 -92.9873 
10 3.21 -93.1582 
10 3.21 -93.474 
10 3.21 -92.8083 
10 3.21 -93.2844 
10 3.21 -92.9582 
10 3.21 -93.8178 
10 3.21 -93.5357 
10 3.21 -93.3879 
10 3.21 -93.1002 
10 3.21 -93.1366 
10 3.21 -92.6778 
10 3.21 -92.9572 
10 3.21 -92.8498 
10 3.21 -92.8158 
10 3.21 -92.886 
10 3.215 -93.067 
10 3.215 -92.6667 
10 3.215 -92.8616 
10 3.215 -92.9578 
10 3.215 -92.5537 
10 3.215 -92.558 
10 3.215 -92.5073 
10 3.215 -92.3591 
10 3.215 -92.8949 
10 3.215 -93.0294 
10 3.215 -92.2828 
10 3.215 -92.6544 
10 3.215 -92.6266 
10 3.215 -92.6258 
10 3.215 -93.0754 
10 3.215 -93.5629 
10 3.215 -93.5696 
10 3.215 -93.2678 
10 3.215 -92.7528 
10 3.215 -92.9933 
10 3.215 -92.6987 
10 3.215 -92.626 
10 3.215 -92.8591 
10 3.215 -92.9923 
10 3.215 -92.5263 
10 3.22 -92.7986 
10 3.22 -92.8311 
10 3.22 -92.4851 
10 3.22 -92.4304 
10 3.22 -92.5776 
10 3.22 -92.3729 
10 3.22 -92.5955 
10 3.22 -92.1686 
10 3.22 -92.9486 
10 3.22 -92.9018 
10 3.22 -93.0114 
10 3.22 -92.963 
10 3.22 -91.7126 
10 3.22 -92.3504 
10 3.22 -92.8202 
10 3.22 -92.9497 
10 3.22 -92.9277 
10 3.22 -92.509 
10 3.22 -92.6017 
10 3.22 -92.5487 
10 3.22 -92.7123 
10 3.22 -93.0326 
10 3.22 -92.9666 
10 3.22 -92.6217 
10 3.22 -92.4412 
10 3.225 -92.8464 
10 3.225 -92.2522 
10 3.225 -92.3995 
10 3.225 -91.7971 
10 3.225 -91.8658 
10 3.225 -92.2651 
10 3.225 -93.0872 
