J: 8.40325 1.21945 -0.0635372 -0.019928 
nth step2 temperature e 
3 4096 1.5 -215.399 
3 4096 1.5 -215.169 
3 4096 1.5 -215.468 
3 4096 1.5 -215.322 
3 4096 1.5 -215.36 
3 4096 1.5 -215.449 
3 4096 1.5 -215.243 
3 4096 1.5 -215.401 
3 4096 1.5 -215.313 
3 4096 1.5 -215.211 
3 4096 1.5 -215.371 
3 4096 1.5 -215.218 
3 4096 1.5 -215.293 
3 4096 1.5 -215.389 
3 4096 1.5 -215.108 
3 4096 1.5 -215.39 
3 4096 1.5 -215.283 
3 4096 1.5 -215.24 
3 4096 1.5 -215.151 
3 4096 1.5 -215.461 
3 4096 1.5 -215.253 
3 4096 1.5 -215.112 
3 4096 1.5 -215.341 
3 4096 1.5 -215.484 
3 4096 1.5 -215.347 
3 4096 1.505 -215.242 
3 4096 1.505 -215.146 
3 4096 1.505 -215.275 
3 4096 1.505 -215.038 
3 4096 1.505 -215.218 
3 4096 1.505 -215.29 
3 4096 1.505 -215.199 
3 4096 1.505 -215.06 
3 4096 1.505 -215.226 
3 4096 1.505 -215.364 
3 4096 1.505 -215.271 
3 4096 1.505 -215.282 
3 4096 1.505 -215.269 
3 4096 1.505 -215.409 
3 4096 1.505 -215.189 
3 4096 1.505 -215.216 
3 4096 1.505 -215.255 
3 4096 1.505 -215.197 
3 4096 1.505 -215.287 
3 4096 1.505 -215.293 
3 4096 1.505 -215.188 
3 4096 1.505 -215.054 
3 4096 1.505 -215.45 
3 4096 1.505 -215.25 
3 4096 1.505 -215.203 
3 4096 1.51 -214.787 
3 4096 1.51 -214.902 
3 4096 1.51 -215.007 
3 4096 1.51 -215.028 
3 4096 1.51 -214.954 
3 4096 1.51 -215.086 
3 4096 1.51 -214.982 
3 4096 1.51 -215.201 
3 4096 1.51 -215.214 
3 4096 1.51 -215.047 
3 4096 1.51 -215.348 
3 4096 1.51 -215.234 
3 4096 1.51 -215.087 
3 4096 1.51 -215.402 
3 4096 1.51 -215.209 
3 4096 1.51 -214.887 
3 4096 1.51 -215.062 
3 4096 1.51 -215.01 
3 4096 1.51 -215.106 
3 4096 1.51 -215.154 
3 4096 1.51 -215.055 
3 4096 1.51 -215.052 
3 4096 1.51 -215.213 
3 4096 1.51 -215.137 
3 4096 1.51 -215.084 
3 4096 1.515 -215.007 
3 4096 1.515 -214.934 
3 4096 1.515 -215.09 
3 4096 1.515 -215.077 
3 4096 1.515 -215.116 
3 4096 1.515 -215.154 
3 4096 1.515 -215.22 
3 4096 1.515 -214.994 
3 4096 1.515 -215.238 
3 4096 1.515 -215.105 
3 4096 1.515 -215.094 
3 4096 1.515 -214.922 
3 4096 1.515 -215.144 
3 4096 1.515 -214.952 
3 4096 1.515 -214.984 
3 4096 1.515 -215.018 
3 4096 1.515 -215.114 
3 4096 1.515 -215.081 
3 4096 1.515 -214.979 
3 4096 1.515 -214.875 
3 4096 1.515 -215.019 
3 4096 1.515 -215.092 
3 4096 1.515 -215.067 
3 4096 1.515 -214.898 
3 4096 1.515 -215.084 
3 4096 1.52 -215.052 
3 4096 1.52 -214.889 
3 4096 1.52 -214.916 
3 4096 1.52 -214.976 
3 4096 1.52 -214.99 
3 4096 1.52 -214.94 
3 4096 1.52 -214.941 
3 4096 1.52 -214.772 
3 4096 1.52 -215.007 
3 4096 1.52 -214.887 
3 4096 1.52 -214.741 
3 4096 1.52 -214.864 
3 4096 1.52 -215.036 
3 4096 1.52 -214.902 
