sizes temp ene 
10 2.5 -164.778 
10 2.5 -164.739 
10 2.5 -165.775 
10 2.5 -165.009 
10 2.5 -164.506 
10 2.5 -164.939 
10 2.5 -164.285 
10 2.5 -164.727 
10 2.5 -163.585 
10 2.5 -165.012 
10 2.5 -164.951 
10 2.5 -164.978 
10 2.5 -164.595 
10 2.5 -164.099 
10 2.5 -164.16 
10 2.5 -164.518 
10 2.5 -164.498 
10 2.5 -164.421 
10 2.5 -164.807 
10 2.5 -163.61 
10 2.5 -164.172 
10 2.5 -164.74 
10 2.5 -163.804 
10 2.5 -164.793 
10 2.5 -163.91 
10 2.505 -163.012 
10 2.505 -164.09 
10 2.505 -164.068 
10 2.505 -163.404 
10 2.505 -163.771 
10 2.505 -163.689 
10 2.505 -163.595 
10 2.505 -163.821 
10 2.505 -164.275 
10 2.505 -164.33 
10 2.505 -163.632 
10 2.505 -164.09 
10 2.505 -163.91 
10 2.505 -163.963 
10 2.505 -163.976 
10 2.505 -163.97 
10 2.505 -163.736 
10 2.505 -164.21 
10 2.505 -164.057 
10 2.505 -163.361 
10 2.505 -164.345 
10 2.505 -163.896 
10 2.505 -163.484 
10 2.505 -163.147 
10 2.505 -165.044 
10 2.51 -162.128 
10 2.51 -163.091 
10 2.51 -163.609 
10 2.51 -162.634 
10 2.51 -163.57 
10 2.51 -163.89 
10 2.51 -163.863 
10 2.51 -163.548 
10 2.51 -163.494 
10 2.51 -162.68 
10 2.51 -162.937 
10 2.51 -163.098 
10 2.51 -164.037 
10 2.51 -164.013 
10 2.51 -163.113 
10 2.51 -162.491 
10 2.51 -163.058 
10 2.51 -162.716 
10 2.51 -162.448 
10 2.51 -164.032 
10 2.51 -163.859 
10 2.51 -163.171 
10 2.51 -163.097 
10 2.51 -163.765 
10 2.51 -163.571 
10 2.515 -162.612 
10 2.515 -162.399 
10 2.515 -162.087 
10 2.515 -162.961 
10 2.515 -162.061 
10 2.515 -162.402 
10 2.515 -162.347 
10 2.515 -162.48 
10 2.515 -162.958 
10 2.515 -163.754 
10 2.515 -163.005 
10 2.515 -162.63 
10 2.515 -162.296 
10 2.515 -162.594 
10 2.515 -162.518 
10 2.515 -162.4 
10 2.515 -162.042 
10 2.515 -162.375 
10 2.515 -163.046 
10 2.515 -163.033 
10 2.515 -162.869 
10 2.515 -162.191 
10 2.515 -161.977 
10 2.515 -163.277 
10 2.515 -162.886 
10 2.52 -162.209 
10 2.52 -162.156 
10 2.52 -162.75 
10 2.52 -161.149 
10 2.52 -160.717 
10 2.52 -161.873 
10 2.52 -162.019 
10 2.52 -160.867 
10 2.52 -162.307 
10 2.52 -162.405 
10 2.52 -161.606 
10 2.52 -162.899 
10 2.52 -162.113 
10 2.52 -162.688 
10 2.52 -161.589 
10 2.52 -162.011 
10 2.52 -161.598 
10 2.52 -162.234 
10 2.52 -162.221 
10 2.52 -162.233 
10 2.52 -161.734 
10 2.52 -161.788 
10 2.52 -161.965 
10 2.52 -162.345 
10 2.52 -162.352 
10 2.525 -162.182 
10 2.525 -161.858 
10 2.525 -161.321 
10 2.525 -160.861 
10 2.525 -161.655 
10 2.525 -161.196 
10 2.525 -161.62 
10 2.525 -161.535 
10 2.525 -160.689 
10 2.525 -160.982 
10 2.525 -160.68 
10 2.525 -161.175 
10 2.525 -161.622 
10 2.525 -161.041 
10 2.525 -161.414 
10 2.525 -161.721 
10 2.525 -161.467 
10 2.525 -160.78 
10 2.525 -161.937 
10 2.525 -161.289 
10 2.525 -161.687 
10 2.525 -161.198 
10 2.525 -161.327 
10 2.525 -161.092 
10 2.525 -160.713 
10 2.53 -160.715 
10 2.53 -160.269 
10 2.53 -160.368 
10 2.53 -160.314 
10 2.53 -160.69 
10 2.53 -160.779 
