J: 3.37764 1.11093 0 0 
nth step2 temperature e 
1 1024 1.54 -217.573 
1 1024 1.54 -217.689 
1 1024 1.54 -217.379 
1 1024 1.54 -217.388 
1 1024 1.54 -217.512 
1 1024 1.54 -217.711 
1 1024 1.54 -217.774 
1 1024 1.54 -217.381 
1 1024 1.54 -217.684 
1 1024 1.54 -217.47 
1 1024 1.54 -217.228 
1 1024 1.54 -217.499 
1 1024 1.54 -217.531 
1 1024 1.54 -217.521 
1 1024 1.545 -217.67 
1 1024 1.545 -217.687 
1 1024 1.545 -217.396 
1 1024 1.545 -217.661 
1 1024 1.545 -217.561 
1 1024 1.545 -217.601 
1 1024 1.545 -217.326 
1 1024 1.545 -217.412 
1 1024 1.545 -217.211 
1 1024 1.545 -217.27 
1 1024 1.545 -217.395 
1 1024 1.545 -217.611 
1 1024 1.545 -217.729 
1 1024 1.545 -217.784 
1 1024 1.545 -217.751 
1 1024 1.545 -217.298 
1 1024 1.545 -217.459 
1 1024 1.545 -217.441 
1 1024 1.545 -217.514 
1 1024 1.545 -217.573 
1 1024 1.545 -217.675 
1 1024 1.545 -217.531 
1 1024 1.545 -217.831 
1 1024 1.545 -217.299 
1 1024 1.545 -217.155 
1 1024 1.55 -217.68 
1 1024 1.55 -217.438 
1 1024 1.55 -217.785 
1 1024 1.55 -217.741 
1 1024 1.55 -217.441 
1 1024 1.55 -216.991 
1 1024 1.55 -217.244 
1 1024 1.55 -217.492 
1 1024 1.55 -217.283 
1 1024 1.55 -217.413 
1 1024 1.55 -217.51 
1 1024 1.55 -217.426 
1 1024 1.55 -217.422 
1 1024 1.55 -217.527 
1 1024 1.55 -217.523 
1 1024 1.55 -217.3 
1 1024 1.55 -217.57 
1 1024 1.55 -217.522 
1 1024 1.55 -217.499 
1 1024 1.55 -217.38 
1 1024 1.55 -217.443 
1 1024 1.55 -217.471 
1 1024 1.55 -217.119 
1 1024 1.55 -217.602 
1 1024 1.55 -217.17 
1 1024 1.555 -217.42 
1 1024 1.555 -217.529 
1 1024 1.555 -217.529 
1 1024 1.555 -217.198 
1 1024 1.555 -217.303 
1 1024 1.555 -217.298 
1 1024 1.555 -217.516 
1 1024 1.555 -217.773 
1 1024 1.555 -217.657 
1 1024 1.555 -217.867 
1 1024 1.555 -217.593 
1 1024 1.555 -217.266 
1 1024 1.555 -217.39 
1 1024 1.555 -217.137 
1 1024 1.555 -217.23 
1 1024 1.555 -217.42 
1 1024 1.555 -217.365 
1 1024 1.555 -217.594 
1 1024 1.555 -217.253 
1 1024 1.555 -217.141 
1 1024 1.555 -217.223 
1 1024 1.555 -217.478 
1 1024 1.555 -217.384 
1 1024 1.555 -217.254 
1 1024 1.555 -217.133 
1 1024 1.56 -217.548 
1 1024 1.56 -217.587 
1 1024 1.56 -217.24 
1 1024 1.56 -217.217 
1 1024 1.56 -217.667 
1 1024 1.56 -217.355 
1 1024 1.56 -217.41 
1 1024 1.56 -217.231 
1 1024 1.56 -217.435 
1 1024 1.56 -217.746 
1 1024 1.56 -217.241 
1 1024 1.56 -217.14 
1 1024 1.56 -217.423 
1 1024 1.56 -217.541 
1 1024 1.56 -217.11 
1 1024 1.56 -217.614 
1 1024 1.56 -217.109 
1 1024 1.56 -217.39 
