J: 8.67113 1.22595 -0.0682711 -0.0198965 
nth step2 temperature e 
3 1024 1.54 -214.421 
3 1024 1.54 -214.035 
3 1024 1.54 -214.265 
3 1024 1.54 -214.145 
3 1024 1.54 -214.213 
3 1024 1.54 -213.909 
3 1024 1.54 -214.508 
3 1024 1.54 -213.922 
3 1024 1.54 -214.644 
3 1024 1.54 -214.516 
3 1024 1.54 -214.587 
3 1024 1.54 -214.284 
3 1024 1.54 -214.622 
3 1024 1.54 -214.369 
3 1024 1.54 -214.537 
3 1024 1.545 -213.889 
3 1024 1.545 -214.197 
3 1024 1.545 -214.612 
3 1024 1.545 -213.915 
3 1024 1.545 -214.205 
3 1024 1.545 -214.133 
3 1024 1.545 -214.239 
3 1024 1.545 -214.29 
3 1024 1.545 -214.421 
3 1024 1.545 -213.873 
3 1024 1.545 -214.03 
3 1024 1.545 -214.255 
3 1024 1.545 -214.026 
3 1024 1.545 -213.461 
3 1024 1.545 -214.459 
3 1024 1.545 -214.268 
3 1024 1.545 -214.032 
3 1024 1.545 -213.924 
3 1024 1.545 -214.385 
3 1024 1.545 -214.272 
3 1024 1.545 -213.987 
3 1024 1.545 -214.141 
3 1024 1.545 -213.975 
3 1024 1.545 -214.169 
3 1024 1.545 -214.098 
3 1024 1.55 -213.998 
3 1024 1.55 -213.97 
3 1024 1.55 -214.046 
3 1024 1.55 -214.212 
3 1024 1.55 -214.197 
3 1024 1.55 -213.934 
3 1024 1.55 -213.784 
3 1024 1.55 -214.052 
3 1024 1.55 -214.059 
3 1024 1.55 -213.962 
3 1024 1.55 -214.215 
3 1024 1.55 -213.973 
3 1024 1.55 -214.348 
3 1024 1.55 -214.1 
3 1024 1.55 -214.4 
3 1024 1.55 -213.715 
3 1024 1.55 -213.759 
3 1024 1.55 -213.795 
3 1024 1.55 -214.219 
3 1024 1.55 -214.129 
3 1024 1.55 -214.198 
3 1024 1.55 -214.102 
3 1024 1.55 -213.908 
3 1024 1.55 -213.873 
3 1024 1.55 -213.978 
3 1024 1.555 -214.025 
3 1024 1.555 -213.994 
3 1024 1.555 -214.247 
3 1024 1.555 -213.925 
3 1024 1.555 -214.136 
3 1024 1.555 -214.159 
3 1024 1.555 -214.192 
3 1024 1.555 -213.766 
3 1024 1.555 -213.914 
3 1024 1.555 -214.515 
3 1024 1.555 -213.814 
3 1024 1.555 -214.466 
3 1024 1.555 -213.91 
3 1024 1.555 -213.88 
3 1024 1.555 -214.149 
3 1024 1.555 -213.616 
3 1024 1.555 -214.023 
3 1024 1.555 -213.57 
3 1024 1.555 -213.646 
3 1024 1.555 -213.562 
3 1024 1.555 -213.693 
3 1024 1.555 -213.947 
3 1024 1.555 -213.81 
3 1024 1.555 -213.845 
